,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
29244,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,1,Blue,top,Clovus,ORDER Academy,Camille,Graves,Ornn,Mordekaiser,Poppy,Maokai,2203,1,8,1,5,21,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.8171,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12879,350.7671,0.16711600000000001,15,0.4085,4,0.1089,4,37.0,1.0077,14883,10113,275.4335,0.22877399999999998,12908.0,,197.0,181.0,16,4,0,5.3654,3166.0,3623.0,49.0,3298.0,4703.0,82.0,-132.0,-1080.0,-33.0,4764.0,5966.0,76.0,4723.0,6343.0,106.0,41.0,-377.0,-30.0
29245,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,2,Blue,jng,Mog,ORDER Academy,Zac,Graves,Ornn,Mordekaiser,Poppy,Maokai,2203,1,2,1,10,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.8171,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12143,330.7217,0.157566,14,0.3813,6,0.1634,13,44.0,1.1984,11633,6863,186.9178,0.155255,10875.0,,154.0,25.0,129,70,20,4.1943,2561.0,2569.0,47.0,3013.0,3208.0,64.0,-452.0,-639.0,-17.0,4629.0,4615.0,70.0,4468.0,5074.0,94.0,161.0,-459.0,-24.0
29246,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,3,Blue,bot,Framer,ORDER Academy,Miss Fortune,Graves,Ornn,Mordekaiser,Poppy,Maokai,2203,1,8,2,9,21,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5719,0.8171,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,21756,592.5374,0.282303,15,0.4085,14,0.3813,7,50.0,1.3618,18363,13593,370.2133,0.307496,16675.0,,340.0,316.0,24,16,0,9.2601,3853.0,3338.0,72.0,3045.0,3058.0,77.0,808.0,280.0,-5.0,6495.0,5704.0,127.0,4954.0,4904.0,133.0,1541.0,800.0,-6.0
29247,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,4,Blue,mid,unknown player,ORDER Academy,Lissandra,Graves,Ornn,Mordekaiser,Poppy,Maokai,2203,1,1,2,10,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.8171,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21939,597.5216,0.28467800000000004,14,0.3813,4,0.1089,12,36.0,0.9805,13101,8331,226.8997,0.18846300000000002,12800.0,,279.0,259.0,20,20,0,7.5987,3325.0,4717.0,88.0,3390.0,4913.0,91.0,-65.0,-196.0,-3.0,5015.0,7253.0,135.0,5750.0,8296.0,154.0,-735.0,-1043.0,-19.0
29248,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,5,Blue,sup,unknown player,ORDER Academy,Sett,Graves,Ornn,Mordekaiser,Poppy,Maokai,2203,1,2,3,13,21,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5719,0.8171,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8349,227.3899,0.10833599999999999,50,1.3618,23,0.6264,13,108.0,2.9414,10075,5305,144.4848,0.120012,9075.0,,53.0,49.0,4,0,0,1.4435,2559.0,2603.0,12.0,2025.0,2273.0,12.0,534.0,330.0,0.0,3925.0,4061.0,21.0,3329.0,4044.0,22.0,596.0,17.0,-1.0
29249,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,6,Red,top,Nobody,Gravitas Academy,Fiora,Syndra,Jarvan IV,Thresh,Zoe,LeBlanc,2203,0,5,4,2,9,21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2451,0.8171,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15822,430.9215,0.229804,11,0.2996,2,0.0545,3,17.0,0.463,14664,9894,269.4689,0.250264,14758.0,,304.0,264.0,40,40,0,8.2796,3298.0,4703.0,82.0,3166.0,3623.0,49.0,132.0,1080.0,33.0,4723.0,6343.0,106.0,4764.0,5966.0,76.0,-41.0,377.0,30.0
29250,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,7,Red,jng,unknown player,Gravitas Academy,Trundle,Syndra,Jarvan IV,Thresh,Zoe,LeBlanc,2203,0,0,4,6,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2451,0.8171,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7235,197.0495,0.105084,8,0.2179,5,0.1362,10,32.0,0.8715,10426,5656,154.0445,0.143069,9950.0,,189.0,32.0,157,96,35,5.1475,3013.0,3208.0,64.0,2561.0,2569.0,47.0,452.0,639.0,17.0,4468.0,5074.0,94.0,4629.0,4615.0,70.0,-161.0,459.0,24.0
29251,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,8,Red,mid,Bambi,Gravitas Academy,Corki,Syndra,Jarvan IV,Thresh,Zoe,LeBlanc,2203,0,4,4,3,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2451,0.8171,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23364,636.3323,0.339346,17,0.463,9,0.2451,9,47.0,1.2801,17151,12381,337.2038,0.31316900000000003,17058.0,,363.0,311.0,52,29,4,9.8865,3390.0,4913.0,91.0,3325.0,4717.0,88.0,65.0,196.0,3.0,5750.0,8296.0,154.0,5015.0,7253.0,135.0,735.0,1043.0,19.0
29252,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,9,Red,bot,unknown player,Gravitas Academy,Varus,Syndra,Jarvan IV,Thresh,Zoe,LeBlanc,2203,0,0,5,4,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2451,0.8171,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,16590,451.8384,0.240959,18,0.4902,9,0.2451,11,41.0,1.1167,13383,8613,234.5801,0.217862,12925.0,,328.0,323.0,5,0,0,8.9333,3045.0,3058.0,77.0,3853.0,3338.0,72.0,-808.0,-280.0,5.0,4954.0,4904.0,133.0,6495.0,5704.0,127.0,-1541.0,-800.0,6.0
29253,ESPORTSTMNT03/1380735,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380735?gameHash=c349a99e6021413c,OCS,2020,,0,2020-05-21 09:59:28,1,10.1,10,Red,sup,TrAshley,Gravitas Academy,Janna,Syndra,Jarvan IV,Thresh,Zoe,LeBlanc,2203,0,0,4,3,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2451,0.8171,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5839,159.0286,0.0848076,46,1.2528,19,0.5175,13,98.0,2.6691,7760,2990,81.4344,0.07563550000000001,7100.0,,46.0,46.0,0,0,0,1.2528,2025.0,2273.0,12.0,2559.0,2603.0,12.0,-534.0,-330.0,0.0,3329.0,4044.0,22.0,3925.0,4061.0,21.0,-596.0,-17.0,1.0
