,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2892,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,1,Blue,top,Evi,DetonatioN FocusMe,Gangplank,Soraka,Elise,LeBlanc,Yasuo,Ornn,1477,1,3,0,8,13,6,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5281,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12737,517.4137,0.238977,11,0.4469,3,0.1219,4,22.0,0.8937,10563,7274,295.4909,0.241747,9533.0,,197.0,181.0,16,7,0,8.0027,3424.0,4882.0,82.0,2700.0,4340.0,57.0,724.0,542.0,25.0,5558.0,7559.0,130.0,4222.0,7195.0,99.0,1336.0,364.0,31.0
2893,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,2,Blue,jng,Steal,DetonatioN FocusMe,Jarvan IV,Soraka,Elise,LeBlanc,Yasuo,Ornn,1477,1,2,2,9,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5281,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2540,103.1821,0.0476566,9,0.3656,16,0.65,8,44.0,1.7874,8091,4802,195.0711,0.15959500000000001,6600.0,,127.0,19.0,108,73,4,5.1591,2738.0,2514.0,56.0,2727.0,2525.0,49.0,11.0,-11.0,7.0,4171.0,4226.0,91.0,4303.0,4596.0,82.0,-132.0,-370.0,9.0
2894,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,3,Blue,mid,Ceros,DetonatioN FocusMe,Heimerdinger,Soraka,Elise,LeBlanc,Yasuo,Ornn,1477,1,3,0,8,13,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5281,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16421,667.0684,0.308098,16,0.65,6,0.2437,10,27.0,1.0968,10833,7544,306.459,0.25072,10300.0,,220.0,190.0,30,17,8,8.937,3584.0,5154.0,91.0,3222.0,4674.0,82.0,362.0,480.0,9.0,5571.0,7895.0,144.0,5014.0,7100.0,125.0,557.0,795.0,19.0
2895,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,4,Blue,bot,Yutapon,DetonatioN FocusMe,Aphelios,Soraka,Elise,LeBlanc,Yasuo,Ornn,1477,1,3,1,6,13,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5281,0.7718,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14414,585.5383,0.270442,10,0.4062,5,0.2031,3,30.0,1.2187,10500,7211,292.9316,0.239654,9100.0,,200.0,184.0,16,4,4,8.1246,3718.0,3346.0,85.0,2976.0,3124.0,75.0,742.0,222.0,10.0,5956.0,5354.0,120.0,4806.0,4914.0,110.0,1150.0,440.0,10.0
2896,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,5,Blue,sup,Gaeng,DetonatioN FocusMe,Galio,Soraka,Elise,LeBlanc,Yasuo,Ornn,1477,1,2,3,9,13,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5281,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7186,291.916,0.134827,32,1.2999,6,0.2437,12,49.0,1.9905,6547,3258,132.3494,0.10828399999999999,6300.0,,36.0,36.0,0,0,0,1.4624,2181.0,2719.0,12.0,2016.0,1987.0,13.0,165.0,732.0,-1.0,3438.0,3925.0,19.0,2994.0,3153.0,22.0,444.0,772.0,-3.0
2897,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,6,Red,top,Paz,V3 Esports,Aatrox,Syndra,Sett,Akali,Thresh,Mordekaiser,1477,0,2,1,1,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2437,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6436,261.4489,0.265413,10,0.4062,0,0.0,4,15.0,0.6093,7972,4683,190.237,0.23871799999999999,7125.0,,172.0,157.0,15,11,0,6.9871,2700.0,4340.0,57.0,3424.0,4882.0,82.0,-724.0,-542.0,-25.0,4222.0,7195.0,99.0,5558.0,7559.0,130.0,-1336.0,-364.0,-31.0
2898,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,7,Red,jng,Bugi,V3 Esports,Diana,Syndra,Sett,Akali,Thresh,Mordekaiser,1477,0,0,3,5,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2437,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4254,172.8097,0.17543,10,0.4062,5,0.2031,8,25.0,1.0156,6864,3575,145.2268,0.18224100000000001,5750.0,,126.0,15.0,111,85,8,5.1185,2727.0,2525.0,49.0,2738.0,2514.0,56.0,-11.0,11.0,-7.0,4303.0,4596.0,82.0,4171.0,4226.0,91.0,132.0,370.0,-9.0
2899,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,8,Red,mid,Ace,V3 Esports,Cassiopeia,Syndra,Sett,Akali,Thresh,Mordekaiser,1477,0,2,2,2,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2437,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4964,201.652,0.204709,13,0.5281,2,0.0812,6,21.0,0.8531,7522,4233,171.9567,0.215781,7810.0,,164.0,159.0,5,5,0,6.6622,3222.0,4674.0,82.0,3584.0,5154.0,91.0,-362.0,-480.0,-9.0,5014.0,7100.0,125.0,5571.0,7895.0,144.0,-557.0,-795.0,-19.0
2900,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,9,Red,bot,Archer,V3 Esports,Miss Fortune,Syndra,Sett,Akali,Thresh,Mordekaiser,1477,0,2,3,4,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2437,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7081,287.6506,0.292012,11,0.4469,4,0.1625,5,19.0,0.7718,8514,5225,212.2546,0.266345,8325.0,,194.0,186.0,8,8,0,7.8808,2976.0,3124.0,75.0,3718.0,3346.0,85.0,-742.0,-222.0,-10.0,4806.0,4914.0,110.0,5956.0,5354.0,120.0,-1150.0,-440.0,-10.0
2901,ESPORTSTMNT01/1294233,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1294233?gameHash=6762c2c72bc47359&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 03:57:59,1,10.02,10,Red,sup,Raina,V3 Esports,Leona,Syndra,Sett,Akali,Thresh,Mordekaiser,1477,0,0,4,3,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2437,0.7718,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1514,61.503,0.0624356,26,1.0562,16,0.65,9,57.0,2.3155,5190,1901,77.2241,0.0969141,4525.0,,41.0,41.0,0,0,0,1.6655,2016.0,1987.0,13.0,2181.0,2719.0,12.0,-165.0,-732.0,1.0,2994.0,3153.0,22.0,3438.0,3925.0,19.0,-444.0,-772.0,3.0
