,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
876,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,1,Blue,top,Ruin,Counter Logic Gaming,Ornn,Irelia,Qiyana,Gangplank,Aphelios,Varus,2413,0,0,4,3,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12556,312.2089,0.192967,18,0.4476,11,0.2735,5,37.0,0.92,11138,5940,147.7,0.184495,10945.0,,246.0,234.0,12,12,0,6.1169,2889.0,4264.0,69.0,3230.0,4369.0,79.0,-341.0,-105.0,-10.0,4673.0,6514.0,115.0,5197.0,7569.0,133.0,-524.0,-1055.0,-18.0
877,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,2,Blue,jng,Wiggily,Counter Logic Gaming,Rek'Sai,Irelia,Qiyana,Gangplank,Aphelios,Varus,2413,0,1,3,3,4,15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0995,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9954,247.5093,0.152978,34,0.8454,13,0.3232,20,56.0,1.3925,11649,6451,160.4061,0.20036700000000002,10775.0,,227.0,38.0,189,137,8,5.6444,3568.0,3396.0,70.0,2981.0,2935.0,56.0,587.0,461.0,14.0,5136.0,4934.0,96.0,4789.0,5025.0,88.0,347.0,-91.0,8.0
878,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,3,Blue,mid,Crown,Counter Logic Gaming,Cassiopeia,Irelia,Qiyana,Gangplank,Aphelios,Varus,2413,0,2,3,2,4,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0995,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13909,345.8516,0.213761,22,0.547,15,0.373,16,52.0,1.293,14446,9248,229.9544,0.287242,14100.0,,323.0,290.0,33,32,0,8.0315,3564.0,4404.0,85.0,3562.0,4930.0,89.0,2.0,-526.0,-4.0,5210.0,6626.0,130.0,6291.0,8692.0,166.0,-1081.0,-2066.0,-36.0
879,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,4,Blue,bot,Stixxay,Counter Logic Gaming,Senna,Irelia,Qiyana,Gangplank,Aphelios,Varus,2413,0,1,1,3,4,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0995,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,23772,591.0982,0.36534099999999997,23,0.5719,17,0.4227,16,44.0,1.0941,13469,8271,205.661,0.256896,13200.0,,313.0,304.0,9,9,0,7.7828,3075.0,2630.0,71.0,2994.0,2371.0,72.0,81.0,259.0,-1.0,4998.0,4717.0,126.0,5073.0,4752.0,118.0,-75.0,-35.0,8.0
880,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,5,Blue,sup,Smoothie,Counter Logic Gaming,Leona,Irelia,Qiyana,Gangplank,Aphelios,Varus,2413,0,0,4,3,4,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0995,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4877,121.2681,0.07495239999999999,70,1.7406,17,0.4227,20,103.0,2.5611,7484,2286,56.8421,0.0710002,7100.0,,40.0,40.0,0,0,0,0.9946,2029.0,2345.0,9.0,1997.0,2284.0,11.0,32.0,61.0,-2.0,3179.0,3450.0,19.0,3428.0,3356.0,17.0,-249.0,94.0,2.0
881,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,6,Red,top,Huni,Dignitas,Renekton,Akali,Lucian,Rumble,LeBlanc,Kennen,2413,1,2,0,5,15,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10139,252.1094,0.142001,13,0.3232,24,0.5968,9,67.0,1.666,14021,8823,219.3867,0.20736100000000002,12025.0,,265.0,256.0,9,0,1,6.5893,3230.0,4369.0,79.0,2889.0,4264.0,69.0,341.0,105.0,10.0,5197.0,7569.0,133.0,4673.0,6514.0,115.0,524.0,1055.0,18.0
882,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,7,Red,jng,Grig,Dignitas,Elise,Akali,Lucian,Rumble,LeBlanc,Kennen,2413,1,1,0,8,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11341,281.9975,0.158835,37,0.92,21,0.5222,13,87.0,2.1633,11626,6428,159.8342,0.151072,11225.0,,194.0,35.0,159,98,17,4.8239,2981.0,2935.0,56.0,3568.0,3396.0,70.0,-587.0,-461.0,-14.0,4789.0,5025.0,88.0,5136.0,4934.0,96.0,-347.0,91.0,-8.0
883,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,8,Red,mid,Froggen,Dignitas,Viktor,Akali,Lucian,Rumble,LeBlanc,Kennen,2413,1,5,1,7,15,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24263,603.3071,0.33981300000000003,20,0.4973,13,0.3232,9,61.0,1.5168,16385,11187,278.1683,0.262921,16175.0,,350.0,315.0,35,24,4,8.7029,3562.0,4930.0,89.0,3564.0,4404.0,85.0,-2.0,526.0,4.0,6291.0,8692.0,166.0,5210.0,6626.0,130.0,1081.0,2066.0,36.0
884,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,9,Red,bot,Johnsun,Dignitas,Ashe,Akali,Lucian,Rumble,LeBlanc,Kennen,2413,1,5,1,6,15,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.4724,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20850,518.4418,0.292013,25,0.6216,24,0.5968,13,94.0,2.3373,17386,12188,303.0584,0.286447,16525.0,,347.0,298.0,49,37,4,8.6283,2994.0,2371.0,72.0,3075.0,2630.0,71.0,-81.0,-259.0,1.0,5073.0,4752.0,118.0,4998.0,4717.0,126.0,75.0,35.0,-8.0
885,ESPORTSTMNT02/1270576,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270576?gameHash=a054564b4232b1fc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 22:32:55,1,10.01,10,Red,sup,aphromoo,Dignitas,Tahm Kench,Akali,Lucian,Rumble,LeBlanc,Kennen,2413,1,2,2,8,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.373,0.4724,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4808,119.5524,0.067338,56,1.3925,8,0.1989,19,91.0,2.2627,9121,3923,97.5466,0.0921981,7650.0,,28.0,28.0,0,0,0,0.6962,1997.0,2284.0,11.0,2029.0,2345.0,9.0,-32.0,-61.0,2.0,3428.0,3356.0,17.0,3179.0,3450.0,19.0,249.0,-94.0,-2.0
