,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
1236,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,1,Blue,top,Yoshino,Team Flash,Renekton,Senna,Morgana,Rek'Sai,Cassiopeia,Orianna,1576,0,2,3,1,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904,0.9898,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9612,365.9391,0.289448,10,0.3807,4,0.1523,2,21.0,0.7995,10213,6722,255.9137,0.279043,10100.0,,252.0,248.0,4,4,0,9.5939,3658.0,4469.0,92.0,3327.0,4869.0,74.0,331.0,-400.0,18.0,5727.0,7358.0,150.0,5250.0,7862.0,133.0,477.0,-504.0,17.0
1237,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,2,Blue,jng,YiJin,Team Flash,Sejuani,Senna,Morgana,Rek'Sai,Cassiopeia,Orianna,1576,0,1,4,3,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904,0.9898,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5619,213.9213,0.169206,9,0.3426,4,0.1523,10,26.0,0.9898,7552,4061,154.6066,0.16858599999999999,7350.0,,132.0,20.0,112,85,8,5.0254,2963.0,2927.0,53.0,3164.0,3090.0,58.0,-201.0,-163.0,-5.0,4482.0,4475.0,86.0,4496.0,4644.0,86.0,-14.0,-169.0,0.0
1238,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,3,Blue,mid,Kati,Team Flash,Irelia,Senna,Morgana,Rek'Sai,Cassiopeia,Orianna,1576,0,1,3,2,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904,0.9898,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10061,383.033,0.302969,9,0.3426,5,0.1904,6,24.0,0.9137,9837,6346,241.599,0.263435,9583.0,,248.0,239.0,9,9,0,9.4416,3479.0,5043.0,100.0,3207.0,4582.0,88.0,272.0,461.0,12.0,5395.0,7659.0,153.0,5052.0,7362.0,145.0,343.0,297.0,8.0
1239,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,4,Blue,bot,Slayder,Team Flash,Kai'Sa,Senna,Morgana,Rek'Sai,Cassiopeia,Orianna,1576,0,0,5,1,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1904,0.9898,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5092,193.8579,0.153337,9,0.3426,3,0.1142,4,22.0,0.8376,8633,5142,195.7614,0.213457,7850.0,,213.0,196.0,17,14,0,8.1091,3126.0,3098.0,78.0,4832.0,3362.0,82.0,-1706.0,-264.0,-4.0,4846.0,5272.0,128.0,6776.0,5727.0,146.0,-1930.0,-455.0,-18.0
1240,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,5,Blue,sup,CBL,Team Flash,Leona,Senna,Morgana,Rek'Sai,Cassiopeia,Orianna,1576,0,1,6,1,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904,0.9898,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2824,107.5127,0.0850397,29,1.1041,11,0.4188,10,55.0,2.0939,5309,1818,69.2132,0.0754794,4950.0,,29.0,29.0,0,0,0,1.1041,1965.0,2223.0,11.0,2604.0,2693.0,15.0,-639.0,-470.0,-4.0,2880.0,3280.0,18.0,3585.0,4182.0,22.0,-705.0,-902.0,-4.0
1241,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,6,Red,top,TH,EVOS Esports,Mordekaiser,Lucian,Gragas,Akali,Lee Sin,Taliyah,1576,1,4,2,7,21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7995,0.9898,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16300,620.5584,0.273169,9,0.3426,5,0.1904,5,25.0,0.9518,11389,7898,300.6853,0.22476999999999997,10525.0,,214.0,205.0,9,8,0,8.1472,3327.0,4869.0,74.0,3658.0,4469.0,92.0,-331.0,400.0,-18.0,5250.0,7862.0,133.0,5727.0,7358.0,150.0,-477.0,504.0,-17.0
1242,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,7,Red,jng,Sorn,EVOS Esports,Jarvan IV,Lucian,Gragas,Akali,Lee Sin,Taliyah,1576,1,0,2,17,21,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7995,0.9898,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5636,214.5685,0.0944528,7,0.2665,6,0.2284,8,31.0,1.1802,8375,4884,185.9391,0.138998,7400.0,,120.0,20.0,100,61,2,4.5685,3164.0,3090.0,58.0,2963.0,2927.0,53.0,201.0,163.0,5.0,4496.0,4644.0,86.0,4482.0,4475.0,86.0,14.0,169.0,0.0
1243,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,8,Red,mid,Pake,EVOS Esports,Ryze,Lucian,Gragas,Akali,Lee Sin,Taliyah,1576,1,3,1,6,21,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7995,0.9898,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,9118,347.132,0.152807,16,0.6091,6,0.2284,7,33.0,1.2563,10757,7266,276.6244,0.20678400000000002,9550.0,,236.0,197.0,39,30,6,8.9848,3207.0,4582.0,88.0,3479.0,5043.0,100.0,-272.0,-461.0,-12.0,5052.0,7362.0,145.0,5395.0,7659.0,153.0,-343.0,-297.0,-8.0
1244,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,9,Red,bot,Divkid,EVOS Esports,Miss Fortune,Lucian,Gragas,Akali,Lee Sin,Taliyah,1576,1,13,0,4,21,5,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7995,0.9898,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,22983,874.9873,0.385168,13,0.4949,5,0.1904,4,27.0,1.0279,14334,10843,412.8046,0.308578,12750.0,,253.0,207.0,46,22,9,9.632,4832.0,3362.0,82.0,3126.0,3098.0,78.0,1706.0,264.0,4.0,6776.0,5727.0,146.0,4846.0,5272.0,128.0,1930.0,455.0,18.0
1245,ESPORTSTMNT02/1271443,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1271443?gameHash=e61923f1effb0c1e,VCS,2020,Spring,0,2020-01-31 09:52:44,1,10.01,10,Red,sup,Bie,EVOS Esports,Braum,Lucian,Gragas,Akali,Lee Sin,Taliyah,1576,1,1,0,16,21,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7995,0.9898,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5633,214.4543,0.0944025,29,1.1041,7,0.2665,12,56.0,2.132,7738,4247,161.6878,0.12087,6950.0,,31.0,31.0,0,0,0,1.1802,2604.0,2693.0,15.0,1965.0,2223.0,11.0,639.0,470.0,4.0,3585.0,4182.0,22.0,2880.0,3280.0,18.0,705.0,902.0,4.0
