,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
864,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,1,Blue,top,Licorice,Cloud9,Aatrox,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,3,1,1,9,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8009,326.0109,0.216325,12,0.4885,6,0.2442,5,32.0,1.3026,9860,6577,267.7205,0.23150900000000002,8475.0,,213.0,193.0,20,6,2,8.6703,3323.0,4983.0,86.0,3012.0,4420.0,76.0,311.0,563.0,10.0,5193.0,8018.0,125.0,4681.0,6176.0,102.0,512.0,1842.0,23.0
865,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,2,Blue,jng,Blaber,Cloud9,Lee Sin,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,1,1,7,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4477,182.2388,0.120925,10,0.4071,7,0.2849,6,29.0,1.1805,8160,4877,198.521,0.171673,6575.0,,113.0,15.0,98,60,9,4.5997,2801.0,2882.0,55.0,3025.0,2927.0,61.0,-224.0,-45.0,-6.0,4189.0,4560.0,78.0,4790.0,4787.0,91.0,-601.0,-227.0,-13.0
866,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,3,Blue,mid,Nisqy,Cloud9,Veigar,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,4,0,2,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10967,446.4179,0.296221,16,0.6513,2,0.0814,7,25.0,1.0176,10501,7218,293.8128,0.25406999999999996,8950.0,,203.0,185.0,18,12,6,8.2632,3142.0,4568.0,79.0,3450.0,5002.0,92.0,-308.0,-434.0,-13.0,5414.0,7071.0,124.0,5020.0,7257.0,136.0,394.0,-186.0,-12.0
867,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,4,Blue,bot,Zven,Cloud9,Aphelios,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,1,0,5,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11278,459.0773,0.30462100000000003,9,0.3664,6,0.2442,4,26.0,1.0583,10312,7029,286.1194,0.24741799999999997,8700.0,,243.0,224.0,19,15,0,9.8915,3396.0,3524.0,95.0,3276.0,3133.0,86.0,120.0,391.0,9.0,5068.0,5661.0,140.0,4922.0,5213.0,127.0,146.0,448.0,13.0
868,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,5,Blue,sup,Vulcan,Cloud9,Tahm Kench,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,0,1,3,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2292,93.2972,0.061907500000000004,34,1.384,5,0.2035,14,54.0,2.1981,5991,2708,110.2307,0.09533,5050.0,,30.0,26.0,4,0,0,1.2212,2113.0,2410.0,12.0,2215.0,2977.0,19.0,-102.0,-567.0,-7.0,3085.0,3333.0,18.0,3582.0,4101.0,25.0,-497.0,-768.0,-7.0
869,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,6,Red,top,Impact,Team Liquid,Mordekaiser,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,1,2,1,3,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7258,295.441,0.29794699999999996,9,0.3664,1,0.0407,2,19.0,0.7734,7559,4276,174.057,0.21316999999999997,6685.0,,162.0,162.0,0,0,0,6.5943,3012.0,4420.0,76.0,3323.0,4983.0,86.0,-311.0,-563.0,-10.0,4681.0,6176.0,102.0,5193.0,8018.0,125.0,-512.0,-1842.0,-23.0
870,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,7,Red,jng,Shernfire,Team Liquid,Jarvan IV,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,1,2,2,3,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3853,156.8385,0.158169,6,0.2442,7,0.2849,5,25.0,1.0176,7330,4047,164.7354,0.201755,6600.0,,138.0,17.0,121,99,0,5.6174,3025.0,2927.0,61.0,2801.0,2882.0,55.0,224.0,45.0,6.0,4790.0,4787.0,91.0,4189.0,4560.0,78.0,601.0,227.0,13.0
871,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,8,Red,mid,Jensen,Team Liquid,Azir,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,0,3,1,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6585,268.0461,0.27032,8,0.3256,3,0.1221,4,13.0,0.5292,8174,4891,199.0909,0.24382600000000001,7825.0,,206.0,195.0,11,11,0,8.3853,3450.0,5002.0,92.0,3142.0,4568.0,79.0,308.0,434.0,13.0,5020.0,7257.0,136.0,5414.0,7071.0,124.0,-394.0,186.0,12.0
872,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,9,Red,bot,Doublelift,Team Liquid,Senna,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,0,1,2,3,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5694,231.7775,0.233744,10,0.4071,3,0.1221,5,17.0,0.692,8151,4868,198.1547,0.242679,8025.0,,204.0,204.0,0,0,0,8.3039,3276.0,3133.0,86.0,3396.0,3524.0,95.0,-120.0,-391.0,-9.0,4922.0,5213.0,127.0,5068.0,5661.0,140.0,-146.0,-448.0,-13.0
873,ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 21:37:53,1,10.01,10,Red,sup,CoreJJ,Team Liquid,Thresh,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,1,1,0,3,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,970,39.4844,0.039819400000000005,28,1.1398,5,0.2035,10,48.0,1.9539,5260,1977,80.4749,0.09857039999999999,5175.0,,34.0,34.0,0,0,0,1.384,2215.0,2977.0,19.0,2113.0,2410.0,12.0,102.0,567.0,7.0,3582.0,4101.0,25.0,3085.0,3333.0,18.0,497.0,768.0,7.0
