,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
29232,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,1,Blue,top,Nightfaller,QUT Tigers,Mordekaiser,Bard,Zoe,Cassiopeia,Nocturne,,1628,0,3,5,0,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.9214,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10326,380.5651,0.24581,7,0.258,4,0.1474,2,17.0,0.6265,8320,4723,174.0663,0.219133,8000.0,,177.0,173.0,4,1,0,6.5233,3419.0,3989.0,67.0,3415.0,3522.0,61.0,4.0,467.0,6.0,5151.0,6086.0,101.0,5444.0,6034.0,93.0,-293.0,52.0,8.0
29233,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,2,Blue,jng,Higoodbye,QUT Tigers,Graves,Bard,Zoe,Cassiopeia,Nocturne,,1628,0,1,4,2,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.258,0.9214,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10981,404.7052,0.261403,3,0.1106,5,0.1843,4,16.0,0.5897,8345,4748,174.9877,0.220293,7525.0,,172.0,30.0,142,119,0,6.3391,3111.0,3424.0,63.0,4248.0,3758.0,64.0,-1137.0,-334.0,-1.0,4768.0,5404.0,96.0,6378.0,5993.0,101.0,-1610.0,-589.0,-5.0
29234,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,3,Blue,mid,Tekker,QUT Tigers,Rumble,Bard,Zoe,Cassiopeia,Nocturne,,1628,0,2,2,1,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.9214,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10498,386.9042,0.24990500000000002,16,0.5897,2,0.0737,7,26.0,0.9582,9581,5984,220.5405,0.277636,9495.0,,214.0,214.0,0,0,0,7.887,2660.0,3982.0,64.0,3409.0,4555.0,80.0,-749.0,-573.0,-16.0,4348.0,6640.0,115.0,5835.0,7984.0,130.0,-1487.0,-1344.0,-15.0
29235,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,4,Blue,bot,unknown player,QUT Tigers,Senna,Bard,Zoe,Cassiopeia,Nocturne,,1628,0,1,4,3,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.9214,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7562,278.6978,0.180013,24,0.8845,14,0.516,7,59.0,2.1744,6244,2647,97.5553,0.12281900000000001,5475.0,,31.0,31.0,0,0,0,1.1425,2106.0,2145.0,5.0,3647.0,3554.0,77.0,-1541.0,-1409.0,-72.0,3212.0,3791.0,11.0,6582.0,6104.0,136.0,-3370.0,-2313.0,-125.0
29236,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,5,Blue,sup,unknown player,QUT Tigers,Soraka,Bard,Zoe,Cassiopeia,Nocturne,,1628,0,0,3,3,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.9214,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2641,97.3342,0.06286900000000001,11,0.4054,0,0.0,5,17.0,0.6265,7048,3451,127.1867,0.16012,6825.0,,146.0,146.0,0,0,0,5.3808,2372.0,2781.0,46.0,2572.0,2665.0,18.0,-200.0,116.0,28.0,3900.0,4576.0,80.0,4208.0,3824.0,25.0,-308.0,752.0,55.0
29237,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,6,Red,top,unknown player,Dire Cubs,Kled,Varus,Ornn,Syndra,Maokai,Fiora,1628,1,3,4,7,18,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6634,0.9214,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11745,432.8624,0.23024,12,0.4423,2,0.0737,3,32.0,1.1794,10804,7207,265.6143,0.20327699999999999,8155.0,,200.0,192.0,8,4,1,7.371,3415.0,3522.0,61.0,3419.0,3989.0,67.0,-4.0,-467.0,-6.0,5444.0,6034.0,93.0,5151.0,6086.0,101.0,293.0,-52.0,-8.0
29238,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,7,Red,jng,Udysof,Dire Cubs,Evelynn,Varus,Ornn,Syndra,Maokai,Fiora,1628,1,6,1,8,18,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6634,0.9214,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13554,499.5332,0.265702,10,0.3686,5,0.1843,5,35.0,1.2899,11184,7587,279.6192,0.213995,9325.0,,172.0,12.0,160,90,32,6.3391,4248.0,3758.0,64.0,3111.0,3424.0,63.0,1137.0,334.0,1.0,6378.0,5993.0,101.0,4768.0,5404.0,96.0,1610.0,589.0,5.0
29239,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,8,Red,mid,Wayy,Dire Cubs,Azir,Varus,Ornn,Syndra,Maokai,Fiora,1628,1,2,2,7,18,7,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6634,0.9214,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7950,292.9975,0.155846,14,0.516,5,0.1843,8,39.0,1.4373,10430,6833,251.8305,0.19272899999999998,9150.0,,226.0,204.0,22,8,6,8.3292,3409.0,4555.0,80.0,2660.0,3982.0,64.0,749.0,573.0,16.0,5835.0,7984.0,130.0,4348.0,6640.0,115.0,1487.0,1344.0,15.0
29240,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,9,Red,bot,Kalroc,Dire Cubs,Aphelios,Varus,Ornn,Syndra,Maokai,Fiora,1628,1,6,0,2,18,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634,0.9214,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12848,473.5135,0.251862,9,0.3317,7,0.258,5,37.0,1.3636,13744,10147,373.9681,0.286198,11585.0,,288.0,252.0,36,22,1,10.6143,3647.0,3554.0,77.0,2106.0,2145.0,5.0,1541.0,1409.0,72.0,6582.0,6104.0,136.0,3212.0,3791.0,11.0,3370.0,2313.0,125.0
29241,ESPORTSTMNT03/1380725,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380725?gameHash=5889b514717e5f0d,OCS,2020,,0,2020-05-21 09:12:26,1,10.1,10,Red,sup,Cupcake,Dire Cubs,Nautilus,Varus,Ornn,Syndra,Maokai,Fiora,1628,1,1,0,8,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634,0.9214,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4915,181.1425,0.09634989999999999,29,1.0688,10,0.3686,7,53.0,1.9533,7277,3680,135.6265,0.1038,6375.0,,39.0,38.0,1,1,0,1.4373,2572.0,2665.0,18.0,2372.0,2781.0,46.0,200.0,-116.0,-28.0,4208.0,3824.0,25.0,3900.0,4576.0,80.0,308.0,-752.0,-55.0
