,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22536,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,1,Blue,top,Xuanri,LinGan e-Sports,Ornn,Thresh,Pantheon,Renekton,Aatrox,Sett,1300,0,0,6,1,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,4439,204.8769,0.207896,10,0.4615,4,0.1846,5,20.0,0.9231,6145,3217,148.4769,0.19178599999999998,5675.0,,147.0,142.0,5,0,0,6.7846,2860.0,4158.0,68.0,3283.0,4748.0,73.0,-423.0,-590.0,-5.0,4409.0,6583.0,108.0,5265.0,7676.0,125.0,-856.0,-1093.0,-17.0
22537,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,2,Blue,jng,bans,LinGan e-Sports,Lee Sin,Thresh,Pantheon,Renekton,Aatrox,Sett,1300,0,0,1,3,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,3675,169.6154,0.17211500000000002,10,0.4615,6,0.2769,4,24.0,1.1077,6259,3331,153.7385,0.198581,6075.0,,125.0,12.0,113,91,0,5.7692,3087.0,3480.0,65.0,4388.0,4336.0,75.0,-1301.0,-856.0,-10.0,4522.0,5406.0,97.0,6498.0,6659.0,116.0,-1976.0,-1253.0,-19.0
22538,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,3,Blue,mid,ZBB,LinGan e-Sports,Galio,Thresh,Pantheon,Renekton,Aatrox,Sett,1300,0,1,2,0,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,3774,174.1846,0.176752,11,0.5077,2,0.0923,4,13.0,0.6,6586,3658,168.8308,0.218073,6200.0,,156.0,152.0,4,4,0,7.2,2728.0,4186.0,63.0,3399.0,4905.0,92.0,-671.0,-719.0,-29.0,4416.0,7006.0,112.0,5531.0,8271.0,157.0,-1115.0,-1265.0,-45.0
22539,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,4,Blue,bot,SR99,LinGan e-Sports,Varus,Thresh,Pantheon,Renekton,Aatrox,Sett,1300,0,1,4,1,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,6333,292.2923,0.2966,7,0.3231,3,0.1385,3,13.0,0.6,7572,4644,214.3385,0.276848,7550.0,,183.0,179.0,4,4,0,8.4462,3344.0,2813.0,85.0,3410.0,3391.0,85.0,-66.0,-578.0,0.0,5308.0,4450.0,128.0,6060.0,5565.0,140.0,-752.0,-1115.0,-12.0
22540,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,5,Blue,sup,Par,LinGan e-Sports,Braum,Thresh,Pantheon,Renekton,Aatrox,Sett,1300,0,1,3,1,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,3131,144.5077,0.146637,22,1.0154,8,0.3692,9,37.0,1.7077,4852,1924,88.8,0.114711,4725.0,,32.0,32.0,0,0,0,1.4769,2107.0,2355.0,11.0,2249.0,2671.0,11.0,-142.0,-316.0,0.0,3608.0,4085.0,25.0,3650.0,3816.0,19.0,-42.0,269.0,6.0
22541,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,6,Red,top,New,Legend Esport Gaming,Vladimir,Kalista,Aphelios,Wukong,LeBlanc,Kindred,1300,1,1,1,7,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,7548,348.3692,0.170046,9,0.4154,2,0.0923,2,20.0,0.9231,7734,4806,221.8154,0.166964,6550.0,,161.0,147.0,14,5,1,7.4308,3283.0,4748.0,73.0,2860.0,4158.0,68.0,423.0,590.0,5.0,5265.0,7676.0,125.0,4409.0,6583.0,108.0,856.0,1093.0,17.0
22542,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,7,Red,jng,August,Legend Esport Gaming,Nidalee,Kalista,Aphelios,Wukong,LeBlanc,Kindred,1300,1,8,0,5,16,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,10960,505.8462,0.246914,16,0.7385,9,0.4154,5,43.0,1.9846,10158,7230,333.6923,0.25116900000000003,8110.0,,153.0,11.0,142,96,12,7.0615,4388.0,4336.0,75.0,3087.0,3480.0,65.0,1301.0,856.0,10.0,6498.0,6659.0,116.0,4522.0,5406.0,97.0,1976.0,1253.0,19.0
22543,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,8,Red,mid,Andy,Legend Esport Gaming,Yasuo,Kalista,Aphelios,Wukong,LeBlanc,Kindred,1300,1,1,0,7,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,6306,291.0462,0.142065,11,0.5077,7,0.3231,4,30.0,1.3846,9149,6221,287.1231,0.21611799999999998,6250.0,,226.0,213.0,13,8,1,10.4308,3399.0,4905.0,92.0,2728.0,4186.0,63.0,671.0,719.0,29.0,5531.0,8271.0,157.0,4416.0,7006.0,112.0,1115.0,1265.0,45.0
22544,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,9,Red,bot,Able,Legend Esport Gaming,Ezreal,Kalista,Aphelios,Wukong,LeBlanc,Kindred,1300,1,6,0,7,16,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,17341,800.3538,0.390669,2,0.0923,6,0.2769,1,18.0,0.8308,10837,7909,365.0308,0.274756,7658.0,,210.0,198.0,12,8,4,9.6923,3410.0,3391.0,85.0,3344.0,2813.0,85.0,66.0,578.0,0.0,6060.0,5565.0,140.0,5308.0,4450.0,128.0,752.0,1115.0,12.0
22545,6105-7606,complete,https://lpl.qq.com/es/stats.shtml?bmid=6105,LDL,2020,Spring,0,2020-04-15 10:00:00,1,10.06,10,Red,sup,Mo,Legend Esport Gaming,Taric,Kalista,Aphelios,Wukong,LeBlanc,Kindred,1300,1,0,2,11,16,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7385,0.8769,,,,,,,,,,,,,,,,,,,,,,,,,,2233,103.0615,0.0503064,22,1.0154,5,0.2308,10,38.0,1.7538,5547,2619,120.8769,0.09099249999999999,5325.0,,26.0,26.0,0,0,0,1.2,2249.0,2671.0,11.0,2107.0,2355.0,11.0,142.0,316.0,0.0,3650.0,3816.0,19.0,3608.0,4085.0,25.0,42.0,-269.0,-6.0
