,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
18816,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,1,Blue,top,Alois,Defusekids,Gangplank,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,1,2,8,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29143,712.2525,0.413253,19,0.4644,5,0.1222,5,29.0,0.7088,18543,13259,324.0489,0.311512,17258.0,,418.0,398.0,20,17,0,10.2159,3099.0,4463.0,72.0,3350.0,4273.0,80.0,-251.0,190.0,-8.0,5605.0,8239.0,140.0,5816.0,7686.0,137.0,-211.0,553.0,3.0
18817,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,2,Blue,jng,Hades,Defusekids,Lee Sin,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,1,5,5,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5842,142.778,0.0828406,15,0.3666,16,0.391,10,43.0,1.0509,10604,5320,130.0204,0.124993,10475.0,,191.0,37.0,154,116,0,4.668,2738.0,2777.0,55.0,2746.0,2767.0,53.0,-8.0,10.0,2.0,4511.0,4683.0,85.0,4532.0,4184.0,73.0,-21.0,499.0,12.0
18818,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,3,Blue,mid,Chapapi,Defusekids,Azir,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,5,2,3,11,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15745,384.8065,0.22326700000000002,22,0.5377,19,0.4644,11,62.0,1.5153,16329,11045,269.9389,0.259496,16425.0,,390.0,354.0,36,35,0,9.5316,3197.0,4864.0,88.0,3390.0,4858.0,96.0,-193.0,6.0,-8.0,5569.0,8260.0,153.0,5748.0,7925.0,153.0,-179.0,335.0,0.0
18819,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,4,Blue,bot,Goose,Defusekids,Aphelios,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,2,3,4,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15430,377.1079,0.2188,17,0.4155,12,0.2933,3,55.0,1.3442,15076,9792,239.3157,0.23005799999999998,13325.0,,344.0,326.0,18,18,0,8.4073,3104.0,3079.0,78.0,3188.0,3279.0,88.0,-84.0,-200.0,-10.0,4836.0,5137.0,123.0,5453.0,4908.0,135.0,-617.0,229.0,-12.0
18820,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,5,Blue,sup,Nightmares,Defusekids,Thresh,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,2,5,5,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4361,106.5825,0.06183969999999999,72,1.7597,16,0.391,23,99.0,2.4196,8431,3147,76.9124,0.0739404,9025.0,,39.0,39.0,0,0,0,0.9532,2083.0,2145.0,14.0,2010.0,2445.0,14.0,73.0,-300.0,0.0,3317.0,3711.0,20.0,3882.0,4045.0,21.0,-565.0,-334.0,-1.0
18821,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,6,Red,top,Werlyb,MAD Lions Madrid,Renekton,Xerath,Kalista,Senna,Aatrox,Olaf,2455,1,1,2,4,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5795,141.6293,0.0878723,25,0.611,16,0.391,11,61.0,1.4908,15741,10457,255.5682,0.209244,15050.0,,359.0,347.0,12,4,5,8.7739,3350.0,4273.0,80.0,3099.0,4463.0,72.0,251.0,-190.0,8.0,5816.0,7686.0,137.0,5605.0,8239.0,140.0,211.0,-553.0,-3.0
18822,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,7,Red,jng,Koldo,MAD Lions Madrid,Gragas,Xerath,Kalista,Senna,Aatrox,Olaf,2455,1,2,3,6,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155,0.6843,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10255,250.6314,0.155501,37,0.9043,12,0.2933,18,79.0,1.9308,12201,6917,169.0509,0.13840999999999998,12000.0,,206.0,34.0,172,106,11,5.0346,2746.0,2767.0,53.0,2738.0,2777.0,55.0,8.0,-10.0,-2.0,4532.0,4184.0,73.0,4511.0,4683.0,85.0,21.0,-499.0,-12.0
18823,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,8,Red,mid,Hatrixx,MAD Lions Madrid,Ekko,Xerath,Kalista,Senna,Aatrox,Olaf,2455,1,6,0,6,17,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155,0.6843,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20430,499.3075,0.30979,13,0.3177,12,0.2933,6,49.0,1.1976,20380,15096,368.945,0.30206900000000003,18750.0,,440.0,390.0,50,23,11,10.7536,3390.0,4858.0,96.0,3197.0,4864.0,88.0,193.0,-6.0,8.0,5748.0,7925.0,153.0,5569.0,8260.0,153.0,179.0,-335.0,0.0
18824,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,9,Red,bot,Flakked,MAD Lions Madrid,Varus,Xerath,Kalista,Senna,Aatrox,Olaf,2455,1,5,2,7,17,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4155,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23212,567.2994,0.35197399999999995,24,0.5866,31,0.7576,12,93.0,2.2729,17939,12655,309.2872,0.253226,14575.0,,375.0,352.0,23,16,0,9.165,3188.0,3279.0,88.0,3104.0,3079.0,78.0,84.0,200.0,10.0,5453.0,4908.0,135.0,4836.0,5137.0,123.0,617.0,-229.0,12.0
18825,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,10,Red,sup,Prime,MAD Lions Madrid,Nautilus,Xerath,Kalista,Senna,Aatrox,Olaf,2455,1,3,4,7,17,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4155,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6256,152.8961,0.0948626,52,1.2709,19,0.4644,15,119.0,2.9084,10134,4850,118.5336,0.09705060000000001,8175.0,,53.0,53.0,0,0,0,1.2953,2010.0,2445.0,14.0,2083.0,2145.0,14.0,-73.0,300.0,0.0,3882.0,4045.0,21.0,3317.0,3711.0,20.0,565.0,334.0,1.0
