,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
29220,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,1,Blue,top,Vans,Legacy Genesis,Poppy,Yasuo,Taliyah,Syndra,,,2453,1,2,2,12,21,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18094,442.5764,0.167326,19,0.4647,12,0.2935,5,62.0,1.5165,14031,8751,214.0481,0.198049,12625.0,,252.0,243.0,9,1,2,6.1639,2641.0,3851.0,53.0,3215.0,4147.0,67.0,-574.0,-296.0,-14.0,5186.0,7336.0,116.0,4793.0,6410.0,107.0,393.0,926.0,9.0
29221,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,2,Blue,jng,Falkner,Legacy Genesis,Lee Sin,Yasuo,Taliyah,Syndra,,,2453,1,3,4,10,21,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137,0.9784,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10910,266.8569,0.100891,22,0.5381,8,0.1957,15,46.0,1.1252,12699,7419,181.4676,0.167905,11200.0,,159.0,31.0,128,83,4,3.8891,3012.0,2980.0,57.0,2979.0,2956.0,58.0,33.0,24.0,-1.0,4421.0,4555.0,81.0,4086.0,4445.0,85.0,335.0,110.0,-4.0
29222,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,3,Blue,mid,Buggy,Legacy Genesis,LeBlanc,Yasuo,Taliyah,Syndra,,,2453,1,8,1,10,21,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29366,718.2878,0.271565,8,0.1957,14,0.3424,4,43.0,1.0518,15431,10151,248.2919,0.22973200000000002,14810.0,,254.0,208.0,46,35,4,6.2128,3288.0,4407.0,61.0,3264.0,4089.0,74.0,24.0,318.0,-13.0,5072.0,6715.0,101.0,4964.0,6955.0,124.0,108.0,-240.0,-23.0
29223,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,4,Blue,bot,Kedu,Legacy Genesis,Miss Fortune,Yasuo,Taliyah,Syndra,,,2453,1,6,5,12,21,19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5137,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,42403,1037.1708,0.392127,11,0.2691,10,0.2446,5,42.0,1.0273,18784,13504,330.3057,0.305614,16200.0,,403.0,355.0,48,40,4,9.8573,3363.0,2915.0,73.0,3153.0,2656.0,57.0,210.0,259.0,16.0,5627.0,5040.0,126.0,4455.0,4181.0,89.0,1172.0,859.0,37.0
29224,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,5,Blue,sup,Nausicaa,Legacy Genesis,Thresh,Yasuo,Taliyah,Syndra,,,2453,1,2,7,11,21,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5137,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7363,180.0978,0.06809019999999999,66,1.6143,16,0.3914,29,108.0,2.6417,9641,4361,106.6694,0.09869960000000001,8425.0,,42.0,38.0,4,2,2,1.0273,1943.0,1938.0,10.0,2190.0,2088.0,12.0,-247.0,-150.0,-2.0,3304.0,3419.0,18.0,3024.0,3291.0,16.0,280.0,128.0,2.0
29225,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,6,Red,top,Landon,RMIT Redbacks,Mordekaiser,Jarvan IV,Soraka,Varus,Tahm Kench,Morgana,2453,0,8,5,6,19,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22607,552.9637,0.35949699999999996,22,0.5381,4,0.0978,9,38.0,0.9295,14988,9708,237.4562,0.26558400000000004,14800.0,,257.0,237.0,20,16,0,6.2862,3215.0,4147.0,67.0,2641.0,3851.0,53.0,574.0,296.0,14.0,4793.0,6410.0,107.0,5186.0,7336.0,116.0,-393.0,-926.0,-9.0
29226,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,7,Red,jng,Wash,RMIT Redbacks,Sejuani,Jarvan IV,Soraka,Varus,Tahm Kench,Morgana,2453,0,2,3,9,19,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7690,188.0962,0.12228699999999999,12,0.2935,25,0.6115,13,75.0,1.8345,10591,5311,129.9062,0.145298,10000.0,,169.0,37.0,132,96,3,4.1337,2979.0,2956.0,58.0,3012.0,2980.0,57.0,-33.0,-24.0,1.0,4086.0,4445.0,85.0,4421.0,4555.0,81.0,-335.0,-110.0,4.0
29227,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,8,Red,mid,Chungy,RMIT Redbacks,Tristana,Jarvan IV,Soraka,Varus,Tahm Kench,Morgana,2453,0,4,4,6,19,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4647,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15405,376.8039,0.244971,23,0.5626,10,0.2446,10,55.0,1.3453,14856,9576,234.2275,0.261973,14850.0,,319.0,276.0,43,36,0,7.8027,3264.0,4089.0,74.0,3288.0,4407.0,61.0,-24.0,-318.0,13.0,4964.0,6955.0,124.0,5072.0,6715.0,101.0,-108.0,240.0,23.0
29228,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,9,Red,bot,Frosts,RMIT Redbacks,Irelia,Jarvan IV,Soraka,Varus,Tahm Kench,Morgana,2453,0,5,5,6,19,21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4647,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13485,329.841,0.214439,21,0.5137,12,0.2935,9,46.0,1.1252,14868,9588,234.521,0.262302,14575.0,,298.0,286.0,12,8,0,7.289,3153.0,2656.0,57.0,3363.0,2915.0,73.0,-210.0,-259.0,-16.0,4455.0,4181.0,89.0,5627.0,5040.0,126.0,-1172.0,-859.0,-37.0
29229,ESPORTSTMNT03/1380702,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380702?gameHash=1582ec6474f72a4c,OCS,2020,,0,2020-05-21 07:57:09,1,10.1,10,Red,sup,Dottie,RMIT Redbacks,Leona,Jarvan IV,Soraka,Varus,Tahm Kench,Morgana,2453,0,0,4,9,19,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4647,0.9784,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3698,90.4525,0.0588058,63,1.541,8,0.1957,24,112.0,2.7395,7650,2370,57.9698,0.0648425,7350.0,,31.0,31.0,0,0,0,0.7583,2190.0,2088.0,12.0,1943.0,1938.0,10.0,247.0,150.0,2.0,3024.0,3291.0,16.0,3304.0,3419.0,18.0,-280.0,-128.0,-2.0
