,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
61788,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,1,Blue,top,Sinmivak,7more7 Pompa Team,Renekton,Veigar,Shen,Tristana,Syndra,Braum,2507,0,1,4,7,11,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2633,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13134,314.3359,0.173762,22,0.5265,8,0.1915,12,46.0,1.1009,13738,8348,199.7926,0.21524899999999997,13780.0,,306.0,296.0,10,4,2,7.3235,3022.0,4378.0,73.0,2741.0,4206.0,58.0,281.0,172.0,15.0,4662.0,6725.0,121.0,4212.0,6530.0,101.0,450.0,195.0,20.0
61789,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,2,Blue,jng,Bruness,7more7 Pompa Team,Nidalee,Veigar,Shen,Tristana,Syndra,Braum,2507,0,0,6,8,11,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2633,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8965,214.5592,0.11860699999999999,36,0.8616,16,0.3829,13,85.0,2.0343,10710,5320,127.3235,0.137174,10375.0,,171.0,29.0,142,99,3,4.0925,3212.0,3320.0,61.0,3077.0,3085.0,60.0,135.0,235.0,1.0,4876.0,4991.0,91.0,4919.0,5210.0,95.0,-43.0,-219.0,-4.0
61790,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,3,Blue,mid,Czajek,7more7 Pompa Team,Cassiopeia,Veigar,Shen,Tristana,Syndra,Braum,2507,0,4,2,7,11,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2633,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,34576,827.507,0.45743900000000004,17,0.4069,8,0.1915,10,45.0,1.077,15814,10424,249.4775,0.268777,15350.0,,354.0,290.0,64,55,0,8.4723,3433.0,4613.0,97.0,3325.0,4922.0,87.0,108.0,-309.0,10.0,5682.0,7595.0,154.0,4739.0,6907.0,126.0,943.0,688.0,28.0
61791,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,4,Blue,bot,defles,7more7 Pompa Team,Kalista,Veigar,Shen,Tristana,Syndra,Braum,2507,0,6,3,4,11,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2633,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16698,399.633,0.220914,17,0.4069,18,0.4308,6,70.0,1.6753,17182,11792,282.2178,0.30404899999999996,17200.0,,380.0,315.0,65,53,0,9.0945,3203.0,3295.0,81.0,2981.0,2891.0,5.0,222.0,404.0,76.0,4978.0,5100.0,123.0,4050.0,4412.0,13.0,928.0,688.0,110.0
61792,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,5,Blue,sup,Pyrka,7more7 Pompa Team,Taric,Veigar,Shen,Tristana,Syndra,Braum,2507,0,0,3,11,11,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2633,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2213,52.9637,0.0292779,74,1.771,7,0.1675,24,97.0,2.3215,8289,2899,69.3817,0.07475119999999999,8050.0,,35.0,31.0,4,0,0,0.8377,2056.0,2295.0,11.0,3550.0,3170.0,78.0,-1494.0,-875.0,-67.0,3358.0,3511.0,20.0,4907.0,5033.0,114.0,-1549.0,-1522.0,-94.0
61793,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,6,Red,top,Onyoz,Five Kings,Poppy,Caitlyn,Sett,Lux,Thresh,Nautilus,2507,1,1,2,11,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4308,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10582,253.2589,0.117155,26,0.6223,10,0.2393,12,52.0,1.2445,12135,6745,161.428,0.152402,12310.0,,233.0,233.0,0,0,0,5.5764,2741.0,4206.0,58.0,3022.0,4378.0,73.0,-281.0,-172.0,-15.0,4212.0,6530.0,101.0,4662.0,6725.0,121.0,-450.0,-195.0,-20.0
61794,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,7,Red,jng,Fokkus,Five Kings,Graves,Caitlyn,Sett,Lux,Thresh,Nautilus,2507,1,6,0,10,18,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4308,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20646,494.1205,0.228575,11,0.2633,17,0.4069,10,64.0,1.5317,16959,11569,276.8807,0.261398,14925.0,,295.0,62.0,233,150,9,7.0602,3077.0,3085.0,60.0,3212.0,3320.0,61.0,-135.0,-235.0,-1.0,4919.0,5210.0,95.0,4876.0,4991.0,91.0,43.0,219.0,4.0
61795,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,8,Red,mid,tibor,Five Kings,Taliyah,Caitlyn,Sett,Lux,Thresh,Nautilus,2507,1,7,3,7,18,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4308,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27470,657.4392,0.304124,22,0.5265,6,0.1436,10,50.0,1.1966,16536,11146,266.7571,0.251841,16450.0,,302.0,270.0,32,28,0,7.2278,3325.0,4922.0,87.0,3433.0,4613.0,97.0,-108.0,309.0,-10.0,4739.0,6907.0,126.0,5682.0,7595.0,154.0,-943.0,-688.0,-28.0
61796,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,9,Red,bot,Lakinther,Five Kings,Senna,Caitlyn,Sett,Lux,Thresh,Nautilus,2507,1,4,1,13,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4308,0.6941,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20591,492.8041,0.22796599999999997,53,1.2684,33,0.7898,11,129.0,3.0874,12764,7374,176.4819,0.166614,11000.0,,83.0,82.0,1,0,0,1.9864,2981.0,2891.0,5.0,3203.0,3295.0,81.0,-222.0,-404.0,-76.0,4050.0,4412.0,13.0,4978.0,5100.0,123.0,-928.0,-688.0,-110.0
61797,ESPORTSTMNT06/1320217,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1320217?gameHash=51a333d2ee0f8bd0,EM,2020,Summer,0,2020-08-17 15:36:56,1,10.16,10,Red,sup,Pattarek,Five Kings,Galio,Caitlyn,Sett,Lux,Thresh,Nautilus,2507,1,0,5,12,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4308,0.6941,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11036,264.1245,0.122181,6,0.1436,6,0.1436,6,28.0,0.6701,12814,7424,177.6785,0.167744,11500.0,,249.0,249.0,0,0,0,5.9593,3550.0,3170.0,78.0,2056.0,2295.0,11.0,1494.0,875.0,67.0,4907.0,5033.0,114.0,3358.0,3511.0,20.0,1549.0,1522.0,94.0
