,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22680,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,1,Blue,top,M1kuya,Shu Dai Xiong Gaming,Renekton,Olaf,Thresh,Taric,Sylas,LeBlanc,1925,0,0,6,0,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.187,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,6727,209.6727,0.135183,14,0.4364,2,0.0623,4,30.0,0.9351,9971,5768,179.7818,0.20052799999999998,10000.0,,246.0,226.0,20,13,0,7.6675,2956.0,4088.0,71.0,3236.0,4676.0,76.0,-280.0,-588.0,-5.0,4360.0,5999.0,102.0,4996.0,7785.0,126.0,-636.0,-1786.0,-24.0
22682,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,2,Blue,jng,YourRiver,Shu Dai Xiong Gaming,Taliyah,Olaf,Thresh,Taric,Sylas,LeBlanc,1925,0,1,2,4,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,11111,346.3169,0.22328299999999998,11,0.3429,5,0.1558,7,33.0,1.0286,9365,5162,160.8935,0.17946199999999998,8175.0,,155.0,19.0,136,93,5,4.8312,2878.0,3043.0,49.0,3085.0,2664.0,53.0,-207.0,379.0,-4.0,5033.0,5169.0,86.0,4516.0,4270.0,84.0,517.0,899.0,2.0
22684,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,3,Blue,mid,Duye,Shu Dai Xiong Gaming,Ornn,Olaf,Thresh,Taric,Sylas,LeBlanc,1925,0,1,3,3,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,3528,109.9636,0.0708975,16,0.4987,6,0.187,11,33.0,1.0286,9501,5298,165.1325,0.18419000000000002,9575.0,,219.0,219.0,0,0,0,6.826,3297.0,4337.0,74.0,3564.0,4757.0,93.0,-267.0,-420.0,-19.0,4706.0,6169.0,106.0,5264.0,7301.0,145.0,-558.0,-1132.0,-39.0
22686,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,4,Blue,bot,X41007,Shu Dai Xiong Gaming,Caitlyn,Olaf,Thresh,Taric,Sylas,LeBlanc,1925,0,2,1,3,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,18569,578.774,0.373156,14,0.4364,12,0.374,5,52.0,1.6208,13633,9430,293.9221,0.327831,12325.0,,328.0,312.0,16,16,0,10.2234,3585.0,3386.0,83.0,2825.0,3218.0,67.0,760.0,168.0,16.0,6106.0,5861.0,143.0,5202.0,5491.0,122.0,904.0,370.0,21.0
22688,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,5,Blue,sup,Shadow,Shu Dai Xiong Gaming,Morgana,Olaf,Thresh,Taric,Sylas,LeBlanc,1925,0,2,3,4,6,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,9827,306.2961,0.19748,51,1.5896,10,0.3117,15,79.0,2.4623,7309,3106,96.8104,0.10798900000000002,5525.0,,18.0,18.0,0,0,0,0.561,2530.0,2352.0,1.0,1879.0,2019.0,12.0,651.0,333.0,-11.0,3982.0,3710.0,8.0,3028.0,3469.0,21.0,954.0,241.0,-13.0
22690,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,6,Red,top,Coten,Team WE Academy,Aatrox,Aphelios,Kalista,Sett,Senna,Miss Fortune,1925,1,2,1,7,15,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4675,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,15571,485.3299,0.232483,13,0.4052,7,0.2182,7,34.0,1.0597,12574,8371,260.9143,0.20917,12325.0,,263.0,237.0,26,8,2,8.1974,3236.0,4676.0,76.0,2956.0,4088.0,71.0,280.0,588.0,5.0,4996.0,7785.0,126.0,4360.0,5999.0,102.0,636.0,1786.0,24.0
22692,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,7,Red,jng,Magic,Team WE Academy,Elise,Aphelios,Kalista,Sett,Senna,Miss Fortune,1925,1,1,1,7,15,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4675,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,9267,288.8416,0.13836099999999998,28,0.8727,7,0.2182,10,64.0,1.9948,10012,5809,181.0597,0.145155,9050.0,,158.0,17.0,141,101,9,4.9247,3085.0,2664.0,53.0,2878.0,3043.0,49.0,207.0,-379.0,4.0,4516.0,4270.0,84.0,5033.0,5169.0,86.0,-517.0,-899.0,-2.0
22694,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,8,Red,mid,Shanks,Team WE Academy,Azir,Aphelios,Kalista,Sett,Senna,Miss Fortune,1925,1,8,0,3,15,6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4675,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,24696,769.7455,0.368724,11,0.3429,12,0.374,3,36.0,1.1221,16879,12676,395.0961,0.316736,14925.0,,359.0,308.0,51,33,5,11.1896,3564.0,4757.0,93.0,3297.0,4337.0,74.0,267.0,420.0,19.0,5264.0,7301.0,145.0,4706.0,6169.0,106.0,558.0,1132.0,39.0
22696,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,9,Red,bot,Simple,Team WE Academy,Varus,Aphelios,Kalista,Sett,Senna,Miss Fortune,1925,1,4,0,5,15,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4675,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,13857,431.9065,0.20689200000000002,9,0.2805,14,0.4364,1,50.0,1.5584,14093,9890,308.2597,0.24712399999999998,12775.0,,301.0,275.0,26,16,2,9.3818,2825.0,3218.0,67.0,3585.0,3386.0,83.0,-760.0,-168.0,-16.0,5202.0,5491.0,122.0,6106.0,5861.0,143.0,-904.0,-370.0,-21.0
22698,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,10,Red,sup,Zhuo,Team WE Academy,Braum,Aphelios,Kalista,Sett,Senna,Miss Fortune,1925,1,0,4,10,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4675,0.6545,,,,,,,,,,,,,,,,,,,,,,,,,,3586,111.7714,0.0535408,50,1.5584,8,0.2494,16,87.0,2.7117,7477,3274,102.0468,0.081815,6600.0,,32.0,32.0,0,0,0,0.9974,1879.0,2019.0,12.0,2530.0,2352.0,1.0,-651.0,-333.0,11.0,3028.0,3469.0,21.0,3982.0,3710.0,8.0,-954.0,-241.0,13.0
22700,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,100,Blue,team,,Shu Dai Xiong Gaming,,Olaf,Thresh,Taric,Sylas,LeBlanc,1925,0,6,15,14,6,15,0.0,0.0,0.0,0.0,0.0,,,,0.187,0.6545,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,0.0,0.0,0.0,3.0,49762,1551.0234,,106,3.3039,35,1.0909,42,227.0,7.0753,49779,28766,896.6026,,45600.0,-0.198963,,,172,122,5,,15246.0,17206.0,278.0,14589.0,17334.0,301.0,657.0,-128.0,-23.0,24187.0,26908.0,445.0,23006.0,28316.0,498.0,1181.0,-1408.0,-53.0
22702,6107-7614,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 07:12:00,1,10.06,200,Red,team,,Team WE Academy,,Aphelios,Kalista,Sett,Senna,Miss Fortune,1925,1,15,6,32,15,6,3.0,1.0,0.0,0.0,1.0,,,,0.4675,0.6545,1.0,4.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,11.0,2.0,1.0,1.0,3.0,0.0,66977,2087.5948,,111,3.4597,48,1.4961,37,271.0,8.4468,61035,40022,1247.439,,55675.0,0.198963,,,244,158,18,,14589.0,17334.0,301.0,15246.0,17206.0,278.0,-657.0,128.0,23.0,23006.0,28316.0,498.0,24187.0,26908.0,445.0,-1181.0,1408.0,53.0
22752,6107-7617,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 08:07:00,2,10.06,1,Blue,top,Coten,Team WE Academy,Sett,Kalista,Pantheon,Aphelios,Yuumi,Yasuo,1838,0,0,5,3,7,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2285,0.9467,,,,,,,,,,,,,,,,,,,,,,,,,,15561,507.9761,0.26550999999999997,6,0.1959,9,0.2938,0,25.0,0.8161,10497,6472,211.2731,0.23900500000000002,8933.0,,232.0,224.0,8,5,0,7.5734,3102.0,4404.0,81.0,3058.0,4578.0,67.0,44.0,-174.0,14.0,5361.0,7519.0,142.0,5148.0,7958.0,125.0,213.0,-439.0,17.0
22753,6107-7617,complete,https://lpl.qq.com/es/stats.shtml?bmid=6107,LDL,2020,Spring,0,2020-04-16 08:07:00,2,10.06,2,Blue,jng,Magic,Team WE Academy,Elise,Kalista,Pantheon,Aphelios,Yuumi,Yasuo,1838,0,0,5,1,7,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285,0.9467,,,,,,,,,,,,,,,,,,,,,,,,,,5867,191.5234,0.100106,31,1.012,15,0.4897,6,67.0,2.1872,7819,3794,123.852,0.14010699999999998,7200.0,,147.0,21.0,126,86,0,4.7987,2684.0,2699.0,46.0,2999.0,3482.0,64.0,-315.0,-783.0,-18.0,3917.0,4432.0,68.0,4180.0,4868.0,82.0,-263.0,-436.0,-14.0
