,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
672,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,1,Blue,top,Expect,Excel Esports,Mordekaiser,Thresh,Rumble,Rakan,LeBlanc,Zoe,2392,1,4,4,8,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5017,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22263,558.4365,0.23215,20,0.5017,7,0.1756,10,39.0,0.9783,14392,9237,231.6973,0.20537199999999997,13500.0,,289.0,271.0,18,11,4,7.2492,3038.0,4477.0,79.0,3665.0,5044.0,90.0,-627.0,-567.0,-11.0,4555.0,6877.0,123.0,5870.0,8125.0,145.0,-1315.0,-1248.0,-22.0
673,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,2,Blue,jng,Caedrel,Excel Esports,Gragas,Thresh,Rumble,Rakan,LeBlanc,Zoe,2392,1,3,3,12,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5017,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15526,389.4482,0.161899,40,1.0033,20,0.5017,13,86.0,2.1572,11657,6502,163.0936,0.144561,10375.0,,174.0,35.0,139,92,1,4.3645,3093.0,2638.0,56.0,3096.0,2687.0,54.0,-3.0,-49.0,2.0,4381.0,4186.0,82.0,4545.0,4209.0,83.0,-164.0,-23.0,-1.0
674,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,3,Blue,mid,Mickey,Excel Esports,Yasuo,Thresh,Rumble,Rakan,LeBlanc,Zoe,2392,1,3,5,11,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5017,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12747,319.7408,0.132921,23,0.5769,18,0.4515,11,59.0,1.4799,16343,11188,280.6355,0.24875100000000003,14675.0,,361.0,320.0,41,26,4,9.0552,3214.0,4547.0,82.0,3799.0,5070.0,98.0,-585.0,-523.0,-16.0,5344.0,7630.0,149.0,5727.0,8334.0,161.0,-383.0,-704.0,-12.0
675,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,4,Blue,bot,Patrik,Excel Esports,Varus,Thresh,Rumble,Rakan,LeBlanc,Zoe,2392,1,9,2,9,20,18,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5017,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,37632,943.9465,0.392413,16,0.4013,15,0.3763,7,43.0,1.0786,19502,14347,359.8746,0.31898899999999997,17125.0,,380.0,343.0,37,33,0,9.5318,3324.0,3304.0,85.0,3164.0,3305.0,74.0,160.0,-1.0,11.0,5511.0,5386.0,146.0,5014.0,5625.0,128.0,497.0,-239.0,18.0
676,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,5,Blue,sup,Tore,Excel Esports,Braum,Thresh,Rumble,Rakan,LeBlanc,Zoe,2392,1,1,4,17,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5017,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7731,193.9214,0.08061610000000001,66,1.6555,19,0.4766,21,105.0,2.6338,8858,3703,92.8846,0.0823273,7875.0,,39.0,39.0,0,0,0,0.9783,2145.0,2564.0,13.0,2118.0,2512.0,12.0,27.0,52.0,1.0,3379.0,3761.0,22.0,2967.0,3822.0,20.0,412.0,-61.0,2.0
677,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,6,Red,top,Odoamne,FC Schalke 04 Esports,Ornn,Akali,Aphelios,Qiyana,Olaf,Lee Sin,2392,0,3,3,8,18,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4515,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15659,392.7843,0.201524,16,0.4013,16,0.4013,3,47.0,1.1789,12898,7743,194.2224,0.178118,12275.0,,250.0,241.0,9,4,1,6.2709,3665.0,5044.0,90.0,3038.0,4477.0,79.0,627.0,567.0,11.0,5870.0,8125.0,145.0,4555.0,6877.0,123.0,1315.0,1248.0,22.0
678,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,7,Red,jng,Gilius,FC Schalke 04 Esports,Jarvan IV,Akali,Aphelios,Qiyana,Olaf,Lee Sin,2392,0,1,4,10,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4515,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7043,176.6639,0.09064,47,1.1789,29,0.7274,12,98.0,2.4582,10713,5558,139.4147,0.127853,10500.0,,165.0,37.0,128,86,4,4.1388,3096.0,2687.0,54.0,3093.0,2638.0,56.0,3.0,49.0,-2.0,4545.0,4209.0,83.0,4381.0,4186.0,82.0,164.0,23.0,1.0
679,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,8,Red,mid,Abbedagge,FC Schalke 04 Esports,Cassiopeia,Akali,Aphelios,Qiyana,Olaf,Lee Sin,2392,0,7,5,6,18,20,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4515,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25605,642.2659,0.329524,22,0.5518,5,0.1254,12,35.0,0.8779,17570,12415,311.413,0.285595,17785.0,,379.0,311.0,68,38,20,9.5067,3799.0,5070.0,98.0,3214.0,4547.0,82.0,585.0,523.0,16.0,5727.0,8334.0,161.0,5344.0,7630.0,149.0,383.0,704.0,12.0
680,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,9,Red,bot,FORG1VEN,FC Schalke 04 Esports,Xayah,Akali,Aphelios,Qiyana,Olaf,Lee Sin,2392,0,5,4,8,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4515,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22073,553.6706,0.284069,14,0.3512,13,0.3261,1,61.0,1.5301,18929,13774,345.5017,0.316859,17925.0,,399.0,337.0,62,49,10,10.0084,3164.0,3305.0,74.0,3324.0,3304.0,85.0,-160.0,1.0,-11.0,5014.0,5625.0,128.0,5511.0,5386.0,146.0,-497.0,239.0,-18.0
681,ESPORTSTMNT05/1390202,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1390202?gameHash=2c584b319e1509d9&amp;tab=overview,LEC,2020,Spring,0,2020-01-24 20:11:47,1,10.01,10,Red,sup,Dreams,FC Schalke 04 Esports,Nautilus,Akali,Aphelios,Qiyana,Olaf,Lee Sin,2392,0,2,4,11,18,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4515,0.9532,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7323,183.6873,0.0942435,60,1.505,17,0.4264,25,100.0,2.5084,9136,3981,99.8579,0.0915748,8575.0,,37.0,37.0,0,0,0,0.9281,2118.0,2512.0,12.0,2145.0,2564.0,13.0,-27.0,-52.0,-1.0,2967.0,3822.0,20.0,3379.0,3761.0,22.0,-412.0,61.0,-2.0
