,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
30804,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,1,Blue,top,Kahom,optical spectrum E-sports,Kled,Kalista,Nocturne,Syndra,Darius,Jax,1487,0,0,2,2,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.121,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,6488,261.7888,0.214515,11,0.4438,4,0.1614,2,24.0,0.9684,8869,5560,224.3443,0.259729,8750.0,,232.0,224.0,8,8,0,9.3611,3264.0,4621.0,88.0,3099.0,4559.0,68.0,165.0,62.0,20.0,5458.0,7348.0,140.0,5096.0,7664.0,124.0,362.0,-316.0,16.0
30805,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,2,Blue,jng,Cheats,optical spectrum E-sports,Lee Sin,Kalista,Nocturne,Syndra,Darius,Jax,1487,0,1,3,2,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,2174,87.7202,0.0718796,16,0.6456,4,0.1614,8,25.0,1.0087,6760,3451,139.2468,0.161208,6375.0,,119.0,11.0,108,80,8,4.8016,2655.0,2476.0,47.0,3586.0,2799.0,51.0,-931.0,-323.0,-4.0,4148.0,4490.0,83.0,5362.0,4688.0,81.0,-1214.0,-198.0,2.0
30806,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,3,Blue,mid,Wood,optical spectrum E-sports,Lissandra,Kalista,Nocturne,Syndra,Darius,Jax,1487,0,1,3,1,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,7881,317.996,0.26057199999999997,9,0.3631,1,0.0403,4,12.0,0.4842,8615,5306,214.0955,0.247864,8750.0,,227.0,215.0,12,12,0,9.1594,3299.0,4710.0,91.0,3667.0,5070.0,87.0,-368.0,-360.0,4.0,5550.0,7872.0,154.0,6114.0,8391.0,155.0,-564.0,-519.0,-1.0
30807,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,4,Blue,bot,Cherub,optical spectrum E-sports,Ezreal,Kalista,Nocturne,Syndra,Darius,Jax,1487,0,1,4,2,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,10967,442.5151,0.362605,4,0.1614,4,0.1614,2,9.0,0.3631,8895,5586,225.3934,0.260944,9050.0,,218.0,208.0,10,10,0,8.7962,3172.0,3154.0,80.0,3298.0,3171.0,84.0,-126.0,-17.0,-4.0,4956.0,5464.0,134.0,6371.0,6156.0,150.0,-1415.0,-692.0,-16.0
30808,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,5,Blue,sup,Pudding,optical spectrum E-sports,Alistar,Kalista,Nocturne,Syndra,Darius,Jax,1487,0,0,5,2,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,2735,110.3564,0.09042819999999999,29,1.1701,9,0.3631,8,57.0,2.2999,4813,1504,60.6859,0.070255,4750.0,,28.0,28.0,0,0,0,1.1298,2112.0,2356.0,13.0,2365.0,2868.0,0.0,-253.0,-512.0,13.0,3036.0,3374.0,18.0,3556.0,3836.0,0.0,-520.0,-462.0,18.0
30809,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,6,Red,top,AK,Top Esports Challenger,Mordekaiser,Zoe,Varus,Wukong,Ornn,Karma,1487,1,2,1,5,17,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6859,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,11832,477.4176,0.20926399999999998,11,0.4438,4,0.1614,4,32.0,1.2912,8964,5655,228.1775,0.184334,8650.0,,180.0,172.0,8,5,0,7.2629,3099.0,4559.0,68.0,3264.0,4621.0,88.0,-165.0,-62.0,-20.0,5096.0,7664.0,124.0,5458.0,7348.0,140.0,-362.0,316.0,-16.0
30810,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,7,Red,jng,AKi,Top Esports Challenger,Trundle,Zoe,Varus,Wukong,Ornn,Karma,1487,1,2,1,10,17,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6859,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,3605,145.4607,0.06375900000000001,5,0.2017,8,0.3228,6,31.0,1.2508,8211,4902,197.7942,0.159788,7950.0,,120.0,9.0,111,54,9,4.842,3586.0,2799.0,51.0,2655.0,2476.0,47.0,931.0,323.0,4.0,5362.0,4688.0,81.0,4148.0,4490.0,83.0,1214.0,198.0,-2.0
30811,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,8,Red,mid,tanghulu,Top Esports Challenger,Ekko,Zoe,Varus,Wukong,Ornn,Karma,1487,1,5,0,6,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,9968,402.2058,0.176297,12,0.4842,4,0.1614,4,26.0,1.0491,11120,7811,315.1715,0.25461300000000003,9950.0,,239.0,213.0,26,13,4,9.6436,3667.0,5070.0,87.0,3299.0,4710.0,91.0,368.0,360.0,-4.0,6114.0,8391.0,155.0,5550.0,7872.0,154.0,564.0,519.0,1.0
30812,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,9,Red,bot,Photic,Top Esports Challenger,Sivir,Zoe,Varus,Wukong,Ornn,Karma,1487,1,5,0,9,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,22832,921.2643,0.40381300000000003,10,0.4035,7,0.2824,2,34.0,1.3719,12056,8747,352.9388,0.285124,10800.0,,249.0,230.0,19,18,1,10.0471,3298.0,3171.0,84.0,3172.0,3154.0,80.0,126.0,17.0,4.0,6371.0,6156.0,150.0,4956.0,5464.0,134.0,1415.0,692.0,16.0
30813,6262-7832,complete,https://lpl.qq.com/es/stats.shtml?bmid=6262,LDL,2020,Summer,0,2020-06-10 05:16:00,1,10.11,10,Red,sup,xiaohai,Top Esports Challenger,Yuumi,Zoe,Varus,Wukong,Ornn,Karma,1487,1,3,1,11,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,8304,335.0639,0.146867,17,0.6859,0,0.0,9,34.0,1.3719,6872,3563,143.766,0.11614100000000001,6675.0,,0.0,0.0,0,0,0,0.0,2365.0,2868.0,0.0,2112.0,2356.0,13.0,253.0,512.0,-13.0,3556.0,3836.0,0.0,3036.0,3374.0,18.0,520.0,462.0,-18.0
