,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
816,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,1,Blue,top,Tay,INTZ,Mordekaiser,Elise,Taliyah,Rumble,Yasuo,Olaf,2518,0,8,7,3,20,32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4766,1.2391,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,34443,820.7228,0.273327,19,0.4527,4,0.0953,6,38.0,0.9055,16308,10896,259.6346,0.231054,15600.0,,285.0,277.0,8,3,2,6.7911,3428.0,4366.0,75.0,3009.0,4110.0,69.0,419.0,256.0,6.0,5290.0,6383.0,107.0,4845.0,7174.0,112.0,445.0,-791.0,-5.0
817,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,2,Blue,jng,Shini,INTZ,Rek'Sai,Elise,Taliyah,Rumble,Yasuo,Olaf,2518,0,5,6,3,20,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4766,1.2391,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,18719,446.0445,0.148547,39,0.9293,21,0.5004,12,94.0,2.2399,14282,8870,211.3582,0.188091,14225.0,,245.0,56.0,189,119,9,5.838,4130.0,3636.0,63.0,3797.0,4303.0,85.0,333.0,-667.0,-22.0,5576.0,5275.0,96.0,5841.0,6497.0,117.0,-265.0,-1222.0,-21.0
818,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,3,Blue,mid,Envy,INTZ,Jayce,Elise,Taliyah,Rumble,Yasuo,Olaf,2518,0,2,5,8,20,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4766,1.2391,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24376,580.8419,0.193439,11,0.2621,30,0.7149,9,75.0,1.7871,14956,9544,227.4186,0.20238399999999998,14925.0,,325.0,296.0,29,20,0,7.7442,3845.0,4858.0,86.0,3647.0,4273.0,70.0,198.0,585.0,16.0,5496.0,7288.0,132.0,5350.0,6784.0,123.0,146.0,504.0,9.0
819,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,4,Blue,bot,Mills,INTZ,Aphelios,Elise,Taliyah,Rumble,Yasuo,Olaf,2518,0,3,5,7,20,32,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4766,1.2391,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,41198,981.6839,0.326932,18,0.4289,12,0.2859,10,42.0,1.0008,18634,13222,315.0596,0.280379,17500.0,,411.0,355.0,56,52,0,9.7935,3962.0,3072.0,76.0,2961.0,2912.0,68.0,1001.0,160.0,8.0,5859.0,5351.0,133.0,4745.0,5269.0,128.0,1114.0,82.0,5.0
820,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,5,Blue,sup,RedBert,INTZ,Leona,Elise,Taliyah,Rumble,Yasuo,Olaf,2518,0,2,9,8,20,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4766,1.2391,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7278,173.4234,0.057755499999999994,74,1.7633,21,0.5004,28,113.0,2.6926,10038,4626,110.2303,0.0980923,9500.0,,44.0,44.0,0,0,0,1.0485,2901.0,3197.0,14.0,1988.0,2316.0,11.0,913.0,881.0,3.0,4125.0,4843.0,26.0,3174.0,3934.0,22.0,951.0,909.0,4.0
821,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,6,Red,top,Nyu,Redemption eSports Porto Alegre,Ornn,Akali,Lucian,Miss Fortune,Ryze,Gragas,2518,1,2,3,19,32,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7625,1.2391,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15419,367.4106,0.142403,24,0.5719,3,0.0715,12,34.0,0.8102,13174,7762,184.9563,0.152099,11700.0,,231.0,227.0,4,4,0,5.5044,3009.0,4110.0,69.0,3428.0,4366.0,75.0,-419.0,-256.0,-6.0,4845.0,7174.0,112.0,5290.0,6383.0,107.0,-445.0,791.0,5.0
822,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,7,Red,jng,BalKhan,Redemption eSports Porto Alegre,Karthus,Akali,Lucian,Miss Fortune,Ryze,Gragas,2518,1,9,5,13,32,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7625,1.2391,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,34878,831.0882,0.32211799999999996,35,0.834,12,0.2859,11,72.0,1.7156,17031,11619,276.8626,0.22768200000000002,16510.0,,281.0,89.0,192,138,11,6.6958,3797.0,4303.0,85.0,4130.0,3636.0,63.0,-333.0,667.0,22.0,5841.0,6497.0,117.0,5576.0,5275.0,96.0,265.0,1222.0,21.0
823,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,8,Red,mid,Krastyel,Redemption eSports Porto Alegre,Renekton,Akali,Lucian,Miss Fortune,Ryze,Gragas,2518,1,10,4,14,32,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7625,1.2391,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21038,501.3026,0.194298,19,0.4527,15,0.3574,14,47.0,1.1199,18429,13017,310.1747,0.255077,18100.0,,292.0,268.0,24,7,0,6.9579,3647.0,4273.0,70.0,3845.0,4858.0,86.0,-198.0,-585.0,-16.0,5350.0,6784.0,123.0,5496.0,7288.0,132.0,-146.0,-504.0,-9.0
824,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,9,Red,bot,Save,Redemption eSports Porto Alegre,Varus,Akali,Lucian,Miss Fortune,Ryze,Gragas,2518,1,10,5,15,32,20,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7625,1.2391,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,29743,708.7292,0.274694,16,0.3813,22,0.5242,8,54.0,1.2867,19234,13822,329.3566,0.270852,18100.0,,356.0,304.0,52,45,0,8.4829,2961.0,2912.0,68.0,3962.0,3072.0,76.0,-1001.0,-160.0,-8.0,4745.0,5269.0,128.0,5859.0,5351.0,133.0,-1114.0,-82.0,-5.0
825,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,10,Red,sup,BocaJR,Redemption eSports Porto Alegre,Nautilus,Akali,Lucian,Miss Fortune,Ryze,Gragas,2518,1,1,3,18,32,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7625,1.2391,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7199,171.5409,0.06648689999999999,85,2.0254,19,0.4527,27,119.0,2.8356,10224,4812,114.6624,0.0942905,9275.0,,55.0,53.0,2,2,0,1.3106,1988.0,2316.0,11.0,2901.0,3197.0,14.0,-913.0,-881.0,-3.0,3174.0,3934.0,22.0,4125.0,4843.0,26.0,-951.0,-909.0,-4.0
826,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,100,Blue,team,,INTZ,,Elise,Taliyah,Rumble,Yasuo,Olaf,2518,0,20,32,29,20,32,4.0,0.0,0.0,0.0,1.0,,,,0.4766,1.2391,0.0,3.0,4.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,9.0,1.0,1.0,0.0,2.0,126014,3002.7164,,161,3.8364,88,2.0969,65,362.0,8.6259,74218,47156,1123.6537,,71750.0,-0.026609800000000003,,1028.0,282,194,11,31.2153,18266.0,19129.0,314.0,15402.0,17914.0,303.0,2864.0,1215.0,11.0,26346.0,29140.0,494.0,23955.0,29658.0,502.0,2391.0,-518.0,-8.0
827,ESPORTSTMNT03/1301242,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301242?gameHash=d80454f4f436d4e5,CBLOL,2020,Split 1,0,2020-01-25 18:06:22,1,10.01,200,Red,team,,Redemption eSports Porto Alegre,,Akali,Lucian,Miss Fortune,Ryze,Gragas,2518,1,32,20,79,32,20,5.0,0.0,0.0,0.0,0.0,,,,0.7625,1.2391,1.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,2.0,0.0,108277,2580.0715,,179,4.2653,71,1.6918,72,326.0,7.7681,78092,51030,1215.9651,,73685.0,0.026609800000000003,,941.0,274,196,11,28.9515,15402.0,17914.0,303.0,18266.0,19129.0,314.0,-2864.0,-1215.0,-11.0,23955.0,29658.0,502.0,26346.0,29140.0,494.0,-2391.0,518.0,8.0
948,ESPORTSTMNT03/1301287,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301287?gameHash=23b9e19a23f095d0,CBLOL,2020,Split 1,0,2020-01-26 17:55:16,1,10.01,1,Blue,top,Nyu,Redemption eSports Porto Alegre,Ornn,Mordekaiser,Akali,Lucian,Elise,Karthus,1443,1,0,1,7,22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148,1.0395,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6466,268.8565,0.128116,10,0.4158,0,0.0,4,18.0,0.7484,8195,4976,206.9023,0.158879,7350.0,,176.0,172.0,4,0,0,7.3181,3223.0,4728.0,74.0,3546.0,4884.0,85.0,-323.0,-156.0,-11.0,4922.0,7213.0,121.0,5589.0,7559.0,134.0,-667.0,-346.0,-13.0
949,ESPORTSTMNT03/1301287,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301287?gameHash=23b9e19a23f095d0,CBLOL,2020,Split 1,0,2020-01-26 17:55:16,1,10.01,2,Blue,jng,BalKhan,Redemption eSports Porto Alegre,Rek'Sai,Mordekaiser,Akali,Lucian,Elise,Karthus,1443,1,6,0,10,22,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9148,1.0395,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10832,450.395,0.214623,9,0.3742,8,0.3326,9,35.0,1.4553,9840,6621,275.3015,0.21140599999999998,8150.0,,118.0,12.0,106,54,10,4.9064,3336.0,3194.0,56.0,2706.0,2344.0,46.0,630.0,850.0,10.0,5881.0,5885.0,85.0,4046.0,4009.0,72.0,1835.0,1876.0,13.0
