,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
2376,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,1,Blue,top,SoaR,OZ Gaming,Kennen,Elise,Irelia,Lucian,Nautilus,Thresh,1903,0,1,4,0,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261,0.5675,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14359,452.7273,0.392859,16,0.5045,4,0.1261,7,28.0,0.8828,9575,5417,170.7935,0.204207,9410.0,,224.0,218.0,6,3,0,7.0625,3360.0,4890.0,79.0,2743.0,4389.0,62.0,617.0,501.0,17.0,4968.0,7390.0,122.0,5350.0,7603.0,108.0,-382.0,-213.0,14.0
2377,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,2,Blue,jng,BroCColi,OZ Gaming,Rek'Sai,Elise,Irelia,Lucian,Nautilus,Thresh,1903,0,1,3,2,4,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1261,0.5675,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3886,122.5223,0.10632,14,0.4414,20,0.6306,15,45.0,1.4188,7998,3840,121.072,0.144761,7650.0,,135.0,28.0,107,84,1,4.2564,3360.0,3491.0,64.0,3122.0,3378.0,63.0,238.0,113.0,1.0,4921.0,4931.0,95.0,5002.0,4923.0,91.0,-81.0,8.0,4.0
2378,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,3,Blue,mid,Ian,OZ Gaming,Ryze,Elise,Irelia,Lucian,Nautilus,Thresh,1903,0,1,2,0,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261,0.5675,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8273,260.8408,0.226347,18,0.5675,3,0.0946,8,24.0,0.7567,12512,8354,263.3946,0.314918,11150.0,,331.0,299.0,32,32,0,10.4362,3169.0,4899.0,82.0,3710.0,5109.0,97.0,-541.0,-210.0,-15.0,4926.0,7790.0,138.0,5753.0,8123.0,155.0,-827.0,-333.0,-17.0
2379,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,4,Blue,bot,Pilot,OZ Gaming,Aphelios,Elise,Irelia,Lucian,Nautilus,Thresh,1903,0,1,2,2,4,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1261,0.5675,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6143,193.6837,0.168071,13,0.4099,8,0.2522,4,27.0,0.8513,11305,7147,225.3389,0.26942,9930.0,,281.0,260.0,21,21,0,8.8597,3360.0,2994.0,75.0,3063.0,3023.0,80.0,297.0,-29.0,-5.0,5563.0,5454.0,131.0,4647.0,5069.0,126.0,916.0,385.0,5.0
2380,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,5,Blue,sup,Motive,OZ Gaming,Braum,Elise,Irelia,Lucian,Nautilus,Thresh,1903,0,0,3,3,4,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1261,0.5675,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3889,122.6169,0.106402,39,1.2296,8,0.2522,15,56.0,1.7656,5927,1769,55.7751,0.0666938,5495.0,,35.0,35.0,0,0,0,1.1035,2029.0,2344.0,13.0,2145.0,2649.0,16.0,-116.0,-305.0,-3.0,3039.0,3491.0,22.0,3218.0,3862.0,25.0,-179.0,-371.0,-3.0
2381,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,6,Red,top,Rich,Team Dynamics,Aatrox,Akali,Rumble,Sett,Mordekaiser,Ornn,1903,1,2,2,7,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414,0.5675,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14256,449.4798,0.30040500000000003,14,0.4414,9,0.2838,5,37.0,1.1666,13607,9449,297.9191,0.23670300000000002,11825.0,,268.0,234.0,34,12,14,8.4498,2743.0,4389.0,62.0,3360.0,4890.0,79.0,-617.0,-501.0,-17.0,5350.0,7603.0,108.0,4968.0,7390.0,122.0,382.0,213.0,-14.0
2382,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,7,Red,jng,Beyond,Team Dynamics,Jarvan IV,Akali,Rumble,Sett,Mordekaiser,Ornn,1903,1,1,0,11,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414,0.5675,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2767,87.2412,0.0583066,9,0.2838,12,0.3783,9,52.0,1.6395,11108,6950,219.1277,0.174103,9475.0,,186.0,47.0,139,71,7,5.8644,3122.0,3378.0,63.0,3360.0,3491.0,64.0,-238.0,-113.0,-1.0,5002.0,4923.0,91.0,4921.0,4931.0,95.0,81.0,-8.0,-4.0
2383,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,8,Red,mid,Kuzan,Team Dynamics,LeBlanc,Akali,Rumble,Sett,Mordekaiser,Ornn,1903,1,4,0,7,14,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414,0.5675,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,15349,483.9411,0.323436,9,0.2838,13,0.4099,5,40.0,1.2612,12868,8710,274.619,0.218191,11025.0,,259.0,247.0,12,8,2,8.1661,3710.0,5109.0,97.0,3169.0,4899.0,82.0,541.0,210.0,15.0,5753.0,8123.0,155.0,4926.0,7790.0,138.0,827.0,333.0,17.0
2384,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,9,Red,bot,deokdam,Team Dynamics,Miss Fortune,Akali,Rumble,Sett,Mordekaiser,Ornn,1903,1,4,2,5,14,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4414,0.5675,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,8604,271.2769,0.181305,12,0.3783,4,0.1261,4,29.0,0.9143,13758,9600,302.68,0.240486,10650.0,,279.0,254.0,25,13,7,8.7966,3063.0,3023.0,80.0,3360.0,2994.0,75.0,-297.0,29.0,5.0,4647.0,5069.0,126.0,5563.0,5454.0,131.0,-916.0,-385.0,-5.0
2385,ESPORTSTMNT04/1120557,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1120557?gameHash=f5bec07774ed5a5e,CK,2020,Spring,0,2020-02-06 08:34:59,1,10.02,10,Red,sup,GuGer,Team Dynamics,Bard,Akali,Rumble,Sett,Mordekaiser,Ornn,1903,1,3,0,9,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414,0.5675,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6480,204.309,0.136548,78,2.4593,23,0.7252,18,136.0,4.288,9368,5210,164.2669,0.130517,8050.0,,56.0,55.0,1,0,0,1.7656,2145.0,2649.0,16.0,2029.0,2344.0,13.0,116.0,305.0,3.0,3218.0,3862.0,25.0,3039.0,3491.0,22.0,179.0,371.0,3.0
