,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
144,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,1,Blue,top,Cult,LGD Gaming,Renekton,Pantheon,Elise,Rumble,Mordekaiser,Ornn,2283,1,2,4,7,17,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4468,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,11722,308.0683,0.147071,16,0.4205,7,0.184,4,31.0,0.8147,12720,7787,204.6518,0.19378399999999998,11900.0,,273.0,257.0,16,9,0,7.1748,3276.0,4345.0,66.0,2963.0,4413.0,71.0,313.0,-68.0,-5.0,5200.0,7033.0,107.0,4100.0,5983.0,94.0,1100.0,1050.0,13.0
145,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,2,Blue,jng,Peanut,LGD Gaming,Gragas,Pantheon,Elise,Rumble,Mordekaiser,Ornn,2283,1,1,3,10,17,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4468,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,14743,387.4639,0.184974,31,0.8147,20,0.5256,12,80.0,2.1025,10489,5556,146.0184,0.138265,8535.0,,161.0,38.0,123,82,8,4.2313,3099.0,3357.0,50.0,2833.0,2977.0,50.0,266.0,380.0,0.0,4809.0,4926.0,75.0,4361.0,4669.0,83.0,448.0,257.0,-8.0
146,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,3,Blue,mid,Yuuki,LGD Gaming,Irelia,Pantheon,Elise,Rumble,Mordekaiser,Ornn,2283,1,4,2,4,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4468,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,14684,385.9133,0.18423399999999998,11,0.2891,4,0.1051,7,27.0,0.7096,15244,10311,270.9855,0.256594,14133.0,,322.0,311.0,11,11,0,8.4625,3801.0,5267.0,97.0,3275.0,4077.0,73.0,526.0,1190.0,24.0,6299.0,8004.0,150.0,5224.0,6601.0,130.0,1075.0,1403.0,20.0
147,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,4,Blue,bot,Kramer,LGD Gaming,Aphelios,Pantheon,Elise,Rumble,Mordekaiser,Ornn,2283,1,10,1,4,17,11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4468,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,32646,857.9763,0.409596,15,0.3942,21,0.5519,2,45.0,1.1827,18038,13105,344.4152,0.32612399999999997,16650.0,,354.0,312.0,42,35,0,9.3035,3136.0,2930.0,78.0,3475.0,3468.0,98.0,-339.0,-538.0,-20.0,4818.0,4757.0,121.0,5265.0,5287.0,146.0,-447.0,-530.0,-25.0
148,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,5,Blue,sup,Chance,LGD Gaming,Braum,Pantheon,Elise,Rumble,Mordekaiser,Ornn,2283,1,0,1,15,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4468,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,5908,155.2694,0.0741252,59,1.5506,11,0.2891,17,96.0,2.523,8358,3425,90.0131,0.08523410000000001,7325.0,,34.0,34.0,0,0,0,0.8936,2100.0,2626.0,15.0,2114.0,2823.0,13.0,-14.0,-197.0,2.0,3225.0,4202.0,21.0,3390.0,4182.0,23.0,-165.0,20.0,-2.0
149,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,6,Red,top,Flandre,LNG Esports,Aatrox,Akali,Qiyana,Lucian,Thresh,Yasuo,2283,0,1,5,7,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2891,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,15744,413.7714,0.250681,11,0.2891,9,0.2365,6,35.0,0.9198,12535,7602,199.7898,0.202369,11900.0,,258.0,244.0,14,10,0,6.7806,2963.0,4413.0,71.0,3276.0,4345.0,66.0,-313.0,68.0,5.0,4100.0,5983.0,94.0,5200.0,7033.0,107.0,-1100.0,-1050.0,-13.0
150,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,7,Red,jng,Xx,LNG Esports,Jarvan IV,Akali,Qiyana,Lucian,Thresh,Yasuo,2283,0,3,3,8,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2891,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,7454,195.9001,0.11868499999999998,33,0.8673,11,0.2891,15,73.0,1.9185,12177,7244,190.3811,0.192839,10575.0,,184.0,26.0,158,75,36,4.8357,2833.0,2977.0,50.0,3099.0,3357.0,50.0,-266.0,-380.0,0.0,4361.0,4669.0,83.0,4809.0,4926.0,75.0,-448.0,-257.0,8.0
151,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,8,Red,mid,Maple,LNG Esports,LeBlanc,Akali,Qiyana,Lucian,Thresh,Yasuo,2283,0,1,2,4,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2891,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,10939,287.4901,0.174174,13,0.3417,13,0.3417,7,48.0,1.2615,12358,7425,195.138,0.197657,11875.0,,259.0,231.0,28,21,0,6.8068,3275.0,4077.0,73.0,3801.0,5267.0,97.0,-526.0,-1190.0,-24.0,5224.0,6601.0,130.0,6299.0,8004.0,150.0,-1075.0,-1403.0,-20.0
152,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,9,Red,bot,Asura,LNG Esports,Miss Fortune,Akali,Qiyana,Lucian,Thresh,Yasuo,2283,0,5,2,4,11,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2891,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,23670,622.0762,0.376881,14,0.3679,11,0.2891,5,43.0,1.1301,16784,11851,311.4586,0.315479,16085.0,,369.0,315.0,54,44,4,9.6978,3475.0,3468.0,98.0,3136.0,2930.0,78.0,339.0,538.0,20.0,5265.0,5287.0,146.0,4818.0,4757.0,121.0,447.0,530.0,25.0
153,5656-7252,complete,https://lpl.qq.com/es/stats.shtml?bmid=5656,LPL,2020,Spring,0,2020-01-13 11:26:00,1,10.1,10,Red,sup,Duan,LNG Esports,Leona,Akali,Qiyana,Lucian,Thresh,Yasuo,2283,0,1,5,6,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2891,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,4998,131.3535,0.0795797,59,1.5506,15,0.3942,15,113.0,2.9698,8376,3443,90.4862,0.0916556,7825.0,,35.0,35.0,0,0,0,0.9198,2114.0,2823.0,13.0,2100.0,2626.0,15.0,14.0,197.0,-2.0,3390.0,4182.0,23.0,3225.0,4202.0,21.0,165.0,-20.0,2.0
