,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22008,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,1,Blue,top,Xiaoxu,Royal Club,Wukong,Taric,Aphelios,Malphite,Trundle,Corki,1653,1,2,2,8,21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,13877,503.7024,0.22149699999999997,9,0.3267,0,0.0,0,10.0,0.363,10272,6624,240.4356,0.187119,9408.0,,198.0,189.0,9,2,4,7.1869,3318.0,4553.0,80.0,2538.0,3876.0,56.0,780.0,677.0,24.0,5135.0,7501.0,133.0,4480.0,6682.0,103.0,655.0,819.0,30.0
22009,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,2,Blue,jng,Kiy1n9,Royal Club,Graves,Taric,Aphelios,Malphite,Trundle,Corki,1653,1,5,0,8,21,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7623,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,11341,411.6515,0.181019,4,0.1452,9,0.3267,4,38.0,1.3793,11405,7757,281.5608,0.21912399999999999,10625.0,,189.0,40.0,149,83,18,6.8603,3649.0,3593.0,58.0,2760.0,2845.0,52.0,889.0,748.0,6.0,5435.0,6006.0,105.0,4516.0,4664.0,80.0,919.0,1342.0,25.0
22010,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,3,Blue,mid,Cyl,Royal Club,Galio,Taric,Aphelios,Malphite,Trundle,Corki,1653,1,4,2,6,21,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7623,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,14939,542.2505,0.238448,14,0.5082,5,0.1815,8,24.0,0.8711,11161,7513,272.7042,0.212231,9950.0,,199.0,183.0,16,11,0,7.2232,4049.0,5127.0,92.0,3140.0,4377.0,79.0,909.0,750.0,13.0,5822.0,7342.0,131.0,5419.0,7584.0,137.0,403.0,-242.0,-6.0
22011,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,4,Blue,bot,Such,Royal Club,Varus,Taric,Aphelios,Malphite,Trundle,Corki,1653,1,9,0,6,21,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,18253,662.5408,0.291344,14,0.5082,9,0.3267,6,36.0,1.3067,13329,9681,351.3975,0.273472,11350.0,,234.0,210.0,24,12,4,8.4936,3764.0,3498.0,92.0,2202.0,2926.0,8.0,1562.0,572.0,84.0,5297.0,5408.0,135.0,3647.0,5098.0,19.0,1650.0,310.0,116.0
22012,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,5,Blue,sup,Lele,Royal Club,Tahm Kench,Taric,Aphelios,Malphite,Trundle,Corki,1653,1,1,0,13,21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,4241,153.9383,0.06769249999999999,40,1.4519,4,0.1452,11,44.0,1.5971,7473,3825,138.8385,0.108054,6600.0,,29.0,29.0,0,0,0,1.0526,2180.0,3029.0,13.0,2934.0,3076.0,68.0,-754.0,-47.0,-55.0,3056.0,4058.0,19.0,4607.0,5111.0,119.0,-1551.0,-1053.0,-100.0
22013,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,6,Red,top,BoWen,Rogue Warriors Shark,Mordekaiser,Renekton,Sett,Kalista,Rumble,Rek'Sai,1653,0,1,7,1,4,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,10330,374.9546,0.26911599999999997,9,0.3267,1,0.0363,2,12.0,0.4356,8010,4362,158.3303,0.200986,6950.0,,172.0,168.0,4,4,0,6.2432,2538.0,3876.0,56.0,3318.0,4553.0,80.0,-780.0,-677.0,-24.0,4480.0,6682.0,103.0,5135.0,7501.0,133.0,-655.0,-819.0,-30.0
22014,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,7,Red,jng,jingke,Rogue Warriors Shark,Olaf,Renekton,Sett,Kalista,Rumble,Rek'Sai,1653,0,1,5,2,4,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,7028,255.0998,0.183092,10,0.363,7,0.2541,10,38.0,1.3793,7572,3924,142.4319,0.180806,7325.0,,126.0,26.0,100,74,0,4.5735,2760.0,2845.0,52.0,3649.0,3593.0,58.0,-889.0,-748.0,-6.0,4516.0,4664.0,80.0,5435.0,6006.0,105.0,-919.0,-1342.0,-25.0
22015,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,8,Red,mid,HwQ,Rogue Warriors Shark,Fizz,Renekton,Sett,Kalista,Rumble,Rek'Sai,1653,0,1,4,1,4,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1452,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,7203,261.4519,0.187651,8,0.2904,3,0.1089,3,15.0,0.5445,9990,6342,230.1996,0.29221199999999997,8825.0,,240.0,236.0,4,4,0,8.7114,3140.0,4377.0,79.0,4049.0,5127.0,92.0,-909.0,-750.0,-13.0,5419.0,7584.0,137.0,5822.0,7342.0,131.0,-403.0,242.0,6.0
22016,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,9,Red,bot,yanxuan,Rogue Warriors Shark,Senna,Renekton,Sett,Kalista,Rumble,Rek'Sai,1653,0,1,3,2,4,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,8929,324.1016,0.23261700000000002,26,0.9437,25,0.9074,5,85.0,3.0853,6728,3080,111.7967,0.14192000000000002,5500.0,,50.0,46.0,4,0,0,1.8149,2202.0,2926.0,8.0,3764.0,3498.0,92.0,-1562.0,-572.0,-84.0,3647.0,5098.0,19.0,5297.0,5408.0,135.0,-1650.0,-310.0,-116.0
22017,6100-7581,complete,https://lpl.qq.com/es/stats.shtml?bmid=6100,LDL,2020,Spring,0,2020-04-14 07:07:00,1,10.06,10,Red,sup,xunyu,Rogue Warriors Shark,Nautilus,Renekton,Sett,Kalista,Rumble,Rek'Sai,1653,0,0,2,1,4,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452,0.9074,,,,,,,,,,,,,,,,,,,,,,,,,,4895,177.677,0.127524,8,0.2904,1,0.0363,9,20.0,0.726,7643,3995,145.0091,0.184077,7675.0,,176.0,176.0,0,0,0,6.3884,2934.0,3076.0,68.0,2180.0,3029.0,13.0,754.0,47.0,55.0,4607.0,5111.0,119.0,3056.0,4058.0,19.0,1551.0,1053.0,100.0
