,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
7968,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,1,Blue,top,Ziv,ahq eSports Club,Renekton,,,,,,1961,1,4,1,2,10,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.4895,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18145,555.1759,0.283844,17,0.5201,8,0.2448,6,39.0,1.1933,13173,8897,272.2183,0.24372,13425.0,,279.0,271.0,8,1,0,8.5365,3219.0,4590.0,84.0,2871.0,4127.0,63.0,348.0,463.0,21.0,5171.0,7293.0,141.0,4563.0,6105.0,106.0,608.0,1188.0,35.0
7969,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,2,Blue,jng,Kongyue,ahq eSports Club,Rek'Sai,,,,,,1961,1,2,1,5,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8721,266.8332,0.136423,36,1.1015,15,0.4589,14,79.0,2.4171,10656,6380,195.2065,0.17477,9475.0,,189.0,19.0,170,100,13,5.7828,2920.0,3244.0,59.0,2905.0,2840.0,49.0,15.0,404.0,10.0,4304.0,4952.0,90.0,4465.0,4653.0,86.0,-161.0,299.0,4.0
7970,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,3,Blue,mid,Uniboy,ahq eSports Club,Zoe,,,,,,1961,1,1,0,7,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12839,392.8302,0.20084200000000002,15,0.4589,5,0.153,7,32.0,0.9791,11535,7259,222.101,0.198849,10125.0,,252.0,224.0,28,16,4,7.7104,3286.0,4550.0,90.0,3331.0,4350.0,67.0,-45.0,200.0,23.0,5089.0,7371.0,149.0,4725.0,6897.0,106.0,364.0,474.0,43.0
7971,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,4,Blue,bot,Wako,ahq eSports Club,Miss Fortune,,,,,,1961,1,3,2,6,10,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19432,594.5538,0.303976,13,0.3978,8,0.2448,4,41.0,1.2545,15216,10940,334.7272,0.299686,12600.0,,321.0,299.0,22,21,0,9.8215,3045.0,2930.0,76.0,3724.0,3333.0,91.0,-679.0,-403.0,-15.0,5380.0,5482.0,140.0,5628.0,5592.0,146.0,-248.0,-110.0,-6.0
7972,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,5,Blue,sup,Ysera,ahq eSports Club,Leona,,,,,,1961,1,0,2,7,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.306,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4789,146.5273,0.07491469999999999,51,1.5604,13,0.3978,17,85.0,2.6007,7305,3029,92.6772,0.0829743,6075.0,,31.0,31.0,0,0,0,0.9485,1957.0,2087.0,11.0,2173.0,2422.0,14.0,-216.0,-335.0,-3.0,3056.0,3576.0,19.0,3292.0,3766.0,22.0,-236.0,-190.0,-3.0
7973,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,6,Red,top,Rest,J Team,Gangplank,,,,,,1961,0,1,1,3,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15689,480.0306,0.353205,12,0.3672,0,0.0,4,26.0,0.7955,11219,6943,212.4324,0.23016799999999998,11233.0,,238.0,226.0,12,11,0,7.282,2871.0,4127.0,63.0,3219.0,4590.0,84.0,-348.0,-463.0,-21.0,4563.0,6105.0,106.0,5171.0,7293.0,141.0,-608.0,-1188.0,-35.0
7974,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,7,Red,jng,Hana,J Team,Sejuani,,,,,,1961,0,0,3,6,6,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1836,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5595,171.1882,0.12596,11,0.3366,19,0.5813,13,58.0,1.7746,9200,4924,150.6578,0.163235,9175.0,,172.0,37.0,135,95,12,5.2626,2905.0,2840.0,49.0,2920.0,3244.0,59.0,-15.0,-404.0,-10.0,4465.0,4653.0,86.0,4304.0,4952.0,90.0,161.0,-299.0,-4.0
7975,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,8,Red,mid,Nestea,J Team,Sylas,,,,,,1961,0,2,5,3,6,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1836,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8991,275.0943,0.202413,15,0.4589,5,0.153,6,28.0,0.8567,10150,5874,179.7246,0.19472899999999999,9850.0,,199.0,187.0,12,9,0,6.0887,3331.0,4350.0,67.0,3286.0,4550.0,90.0,45.0,-200.0,-23.0,4725.0,6897.0,106.0,5089.0,7371.0,149.0,-364.0,-474.0,-43.0
7976,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,9,Red,bot,Lilv,J Team,Kalista,,,,,,1961,0,3,0,3,6,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1836,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10365,317.1341,0.233346,13,0.3978,15,0.4589,3,48.0,1.4686,14516,10240,313.3095,0.339467,15025.0,,381.0,337.0,44,37,0,11.6573,3724.0,3333.0,91.0,3045.0,2930.0,76.0,679.0,403.0,15.0,5628.0,5592.0,146.0,5380.0,5482.0,140.0,248.0,110.0,6.0
7977,ESPORTSTMNT02/1286996,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1286996?gameHash=c679b7d08fa0d0dc&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 10:25:30,1,10.03,10,Red,sup,Woody,J Team,Thresh,,,,,,1961,0,0,2,6,6,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1836,0.4895,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3779,115.6247,0.08507619999999999,50,1.5298,14,0.4284,17,97.0,2.9679,6460,2184,66.823,0.07240089999999999,6075.0,,33.0,33.0,0,0,0,1.0097,2173.0,2422.0,14.0,1957.0,2087.0,11.0,216.0,335.0,3.0,3292.0,3766.0,22.0,3056.0,3576.0,19.0,236.0,190.0,3.0
