,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
744,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,1,Blue,top,ZionSpartan,Golden Guardians Academy,Aatrox,Elise,Qiyana,Pantheon,Ornn,Cassiopeia,1845,1,3,2,4,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5203,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10549,343.0569,0.18146900000000002,18,0.5854,3,0.0976,8,32.0,1.0407,11890,7851,255.3171,0.20924299999999998,10900.0,,234.0,214.0,20,12,4,7.6098,3143.0,4385.0,64.0,3357.0,4419.0,70.0,-214.0,-34.0,-6.0,5119.0,7386.0,114.0,4765.0,6643.0,108.0,354.0,743.0,6.0
745,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,2,Blue,jng,Hard,Golden Guardians Academy,Lee Sin,Elise,Qiyana,Pantheon,Ornn,Cassiopeia,1845,1,2,2,6,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5203,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5053,164.3252,0.08692439999999999,18,0.5854,5,0.1626,11,35.0,1.1382,9556,5517,179.4146,0.147035,9200.0,,133.0,21.0,112,57,7,4.3252,2941.0,2693.0,44.0,2991.0,2959.0,54.0,-50.0,-266.0,-10.0,4132.0,4571.0,72.0,4192.0,4285.0,77.0,-60.0,286.0,-5.0
746,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,3,Blue,mid,Ablazeolive,Golden Guardians Academy,Ryze,Elise,Qiyana,Pantheon,Ornn,Cassiopeia,1845,1,5,2,9,16,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5203,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17823,579.6098,0.306601,15,0.4878,3,0.0976,6,30.0,0.9756,13488,9449,307.2846,0.251835,12150.0,,259.0,243.0,16,16,0,8.4228,3160.0,4318.0,68.0,3838.0,5063.0,96.0,-678.0,-745.0,-28.0,4928.0,6875.0,119.0,5772.0,7432.0,144.0,-844.0,-557.0,-25.0
747,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,4,Blue,bot,Gorica,Golden Guardians Academy,Aphelios,Elise,Qiyana,Pantheon,Ornn,Cassiopeia,1845,1,5,1,9,16,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5203,0.748,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18617,605.4309,0.320259,6,0.1951,11,0.3577,4,27.0,0.878,14471,10432,339.252,0.278035,12750.0,,281.0,261.0,20,12,3,9.1382,3257.0,3177.0,88.0,3109.0,2960.0,78.0,148.0,217.0,10.0,4917.0,5398.0,139.0,4886.0,5042.0,129.0,31.0,356.0,10.0
748,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,5,Blue,sup,huhi,Golden Guardians Academy,Braum,Elise,Qiyana,Pantheon,Ornn,Cassiopeia,1845,1,1,0,12,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5203,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6089,198.0163,0.104746,44,1.4309,9,0.2927,13,75.0,2.439,8311,4272,138.9268,0.113852,7575.0,,39.0,39.0,0,0,0,1.2683,2129.0,2811.0,14.0,1990.0,2840.0,13.0,139.0,-29.0,1.0,3135.0,4215.0,23.0,2924.0,4633.0,23.0,211.0,-418.0,0.0
749,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,6,Red,top,FakeGod,100 Thieves Academy,Camille,Akali,Rumble,Lucian,Mordekaiser,Lissandra,1845,0,2,4,2,7,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2276,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10896,354.3415,0.266042,10,0.3252,5,0.1626,3,24.0,0.7805,11504,7465,242.7642,0.269257,11258.0,,254.0,244.0,10,9,0,8.2602,3357.0,4419.0,70.0,3143.0,4385.0,64.0,214.0,34.0,6.0,4765.0,6643.0,108.0,5119.0,7386.0,114.0,-354.0,-743.0,-6.0
750,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,7,Red,jng,Contractz,100 Thieves Academy,Rek'Sai,Akali,Rumble,Lucian,Mordekaiser,Lissandra,1845,0,3,4,3,7,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2276,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6999,227.6098,0.17089100000000002,26,0.8455,13,0.4228,9,66.0,2.1463,8989,4950,160.9756,0.178538,8300.0,,140.0,20.0,120,71,23,4.5528,2991.0,2959.0,54.0,2941.0,2693.0,44.0,50.0,266.0,10.0,4192.0,4285.0,77.0,4132.0,4571.0,72.0,60.0,-286.0,5.0
751,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,8,Red,mid,Soligo,100 Thieves Academy,LeBlanc,Akali,Rumble,Lucian,Mordekaiser,Lissandra,1845,0,1,1,5,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2276,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11373,369.8537,0.277688,19,0.6179,4,0.1301,10,32.0,1.0407,10712,6673,217.0081,0.240688,10525.0,,246.0,237.0,9,8,1,8.0,3838.0,5063.0,96.0,3160.0,4318.0,68.0,678.0,745.0,28.0,5772.0,7432.0,144.0,4928.0,6875.0,119.0,844.0,557.0,25.0
752,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,9,Red,bot,Prismal,100 Thieves Academy,Senna,Akali,Rumble,Lucian,Mordekaiser,Lissandra,1845,0,1,4,3,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2276,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8860,288.1301,0.21633000000000002,11,0.3577,4,0.1301,8,26.0,0.8455,10598,6559,213.3008,0.236576,10800.0,,240.0,240.0,0,0,0,7.8049,3109.0,2960.0,78.0,3257.0,3177.0,88.0,-148.0,-217.0,-10.0,4886.0,5042.0,129.0,4917.0,5398.0,139.0,-31.0,-356.0,-10.0
753,ESPORTSTMNT02/1270478,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270478?gameHash=0faf3e034f49b5bc&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-25 01:11:28,1,10.01,10,Red,sup,Breezyyy,100 Thieves Academy,Tahm Kench,Akali,Rumble,Lucian,Mordekaiser,Lissandra,1845,0,0,3,1,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2276,0.748,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2828,91.9675,0.06904969999999999,39,1.2683,5,0.1626,10,66.0,2.1463,6117,2078,67.5772,0.0749414,6000.0,,43.0,39.0,4,0,0,1.3984,1990.0,2840.0,13.0,2129.0,2811.0,14.0,-139.0,29.0,-1.0,2924.0,4633.0,23.0,3135.0,4215.0,23.0,-211.0,418.0,0.0
