,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
29388,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,1,Blue,top,KronG,RunAway,Kennen,,Irelia,Sett,Olaf,Rek'Sai,2704,1,7,3,3,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4438,0.6879,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27777,616.3536,0.273113,22,0.4882,3,0.0666,5,37.0,0.821,17479,11687,259.3269,0.231604,16925.0,,333.0,315.0,18,15,0,7.3891,3320.0,4439.0,75.0,2943.0,4584.0,68.0,377.0,-145.0,7.0,4993.0,7290.0,125.0,4802.0,7636.0,121.0,191.0,-346.0,4.0
29389,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,2,Blue,jng,Moojin,RunAway,Trundle,,Irelia,Sett,Olaf,Rek'Sai,2704,1,1,1,15,20,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4438,0.6879,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9456,209.8225,0.09297480000000001,18,0.3994,26,0.5769,18,83.0,1.8417,13421,7629,169.2825,0.151187,12150.0,,211.0,64.0,147,97,7,4.682,3050.0,2792.0,50.0,2960.0,2961.0,56.0,90.0,-169.0,-6.0,4150.0,4264.0,74.0,4586.0,4550.0,84.0,-436.0,-286.0,-10.0
29390,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,3,Blue,mid,Mask,RunAway,Jayce,,Irelia,Sett,Olaf,Rek'Sai,2704,1,4,2,13,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4438,0.6879,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,36623,812.6405,0.36009,18,0.3994,16,0.355,6,55.0,1.2204,18124,12332,273.6391,0.24438600000000002,17050.0,,390.0,374.0,16,9,0,8.6538,3165.0,4906.0,81.0,3557.0,5117.0,103.0,-392.0,-211.0,-22.0,5032.0,7666.0,143.0,5932.0,8032.0,160.0,-900.0,-366.0,-17.0
29391,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,4,Blue,bot,5kid,RunAway,Vayne,,Irelia,Sett,Olaf,Rek'Sai,2704,1,8,1,6,20,11,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4438,0.6879,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,22767,505.1849,0.22385300000000002,20,0.4438,11,0.2441,6,63.0,1.3979,21113,15321,339.963,0.303618,18450.0,,396.0,345.0,51,35,4,8.787,3976.0,2920.0,85.0,3328.0,3201.0,91.0,648.0,-281.0,-6.0,6309.0,5535.0,147.0,5270.0,5721.0,150.0,1039.0,-186.0,-3.0
29392,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,5,Blue,sup,PluTo,RunAway,Nautilus,,Irelia,Sett,Olaf,Rek'Sai,2704,1,0,4,7,20,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4438,0.6879,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5082,112.7663,0.049968,66,1.4645,10,0.2219,22,107.0,2.3743,9284,3492,77.4852,0.0692051,9450.0,,33.0,33.0,0,0,0,0.7322,2029.0,2770.0,12.0,1963.0,2338.0,13.0,66.0,432.0,-1.0,3149.0,3922.0,20.0,3118.0,3292.0,22.0,31.0,630.0,-2.0
29393,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,6,Red,top,Oscar,WhereAreyouFrom,Aatrox,Varus,Graves,Syndra,Kalista,Aphelios,2704,0,3,4,4,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.6879,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15743,349.3269,0.14865899999999999,14,0.3107,8,0.1775,8,52.0,1.1538,15312,9520,211.2426,0.200975,15605.0,,282.0,263.0,19,10,0,6.2574,2943.0,4584.0,68.0,3320.0,4439.0,75.0,-377.0,145.0,-7.0,4802.0,7636.0,121.0,4993.0,7290.0,125.0,-191.0,346.0,-4.0
29394,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,7,Red,jng,Crash,WhereAreyouFrom,Kindred,Varus,Graves,Syndra,Kalista,Aphelios,2704,0,0,4,8,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.6879,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9540,211.6864,0.090085,12,0.2663,24,0.5325,13,70.0,1.5533,14076,8284,183.8166,0.17488299999999998,14050.0,,259.0,61.0,198,125,27,5.747,2960.0,2961.0,56.0,3050.0,2792.0,50.0,-90.0,169.0,6.0,4586.0,4550.0,84.0,4150.0,4264.0,74.0,436.0,286.0,10.0
29395,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,8,Red,mid,cepted,WhereAreyouFrom,LeBlanc,Varus,Graves,Syndra,Kalista,Aphelios,2704,0,3,5,6,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.6879,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30092,667.7219,0.284155,15,0.3328,11,0.2441,9,38.0,0.8432,17337,11545,256.176,0.24372399999999997,16535.0,,344.0,304.0,40,33,4,7.6331,3557.0,5117.0,103.0,3165.0,4906.0,81.0,392.0,211.0,22.0,5932.0,8032.0,160.0,5032.0,7666.0,143.0,900.0,366.0,17.0
29396,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,9,Red,bot,Stitch,WhereAreyouFrom,Ezreal,Varus,Graves,Syndra,Kalista,Aphelios,2704,0,5,3,5,11,20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.6879,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,40554,899.8669,0.382946,20,0.4438,10,0.2219,4,68.0,1.5089,19697,13905,308.5429,0.293544,18733.0,,449.0,392.0,57,30,9,9.963,3328.0,3201.0,91.0,3976.0,2920.0,85.0,-648.0,281.0,6.0,5270.0,5721.0,150.0,6309.0,5535.0,147.0,-1039.0,186.0,3.0
29397,ESPORTSTMNT03/1382237,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1382237?gameHash=edff78566ebffac1&amp;tab=overview,CK,2020,Summer,0,2020-05-28 06:33:46,1,10.1,10,Red,sup,DeuL,WhereAreyouFrom,Karma,Varus,Graves,Syndra,Kalista,Aphelios,2704,0,0,4,11,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2441,0.6879,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9971,221.25,0.0941549,69,1.5311,14,0.3107,22,114.0,2.5296,9907,4115,91.3092,0.086874,8800.0,,54.0,54.0,0,0,0,1.1982,1963.0,2338.0,13.0,2029.0,2770.0,12.0,-66.0,-432.0,1.0,3118.0,3292.0,22.0,3149.0,3922.0,20.0,-31.0,-630.0,2.0
