,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
3012,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,1,Blue,top,Nap,Crest Gaming Act,Sett,Syndra,Rumble,Lucian,Leona,Gangplank,1905,1,1,2,7,13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10482,330.1417,0.198647,14,0.4409,8,0.252,4,39.0,1.2283,10908,6746,212.4724,0.196133,10020.0,,233.0,225.0,8,3,0,7.3386,3409.0,4811.0,81.0,3182.0,4704.0,81.0,227.0,107.0,0.0,4749.0,7208.0,120.0,5717.0,7271.0,126.0,-968.0,-63.0,-6.0
3013,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,2,Blue,jng,Yoshi,Crest Gaming Act,Lee Sin,Syndra,Rumble,Lucian,Leona,Gangplank,1905,1,1,2,9,13,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4094,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4418,139.1496,0.08372660000000001,13,0.4094,17,0.5354,10,51.0,1.6063,9389,5227,164.6299,0.151971,8485.0,,140.0,26.0,114,87,3,4.4094,3161.0,2852.0,49.0,3258.0,3153.0,54.0,-97.0,-301.0,-5.0,4403.0,3949.0,70.0,4918.0,5436.0,91.0,-515.0,-1487.0,-21.0
3014,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,3,Blue,mid,Aria,Crest Gaming Act,Zoe,Syndra,Rumble,Lucian,Leona,Gangplank,1905,1,5,0,3,13,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14818,466.7087,0.280819,17,0.5354,11,0.3465,6,63.0,1.9843,13522,9360,294.8031,0.27213000000000004,12200.0,,286.0,258.0,28,16,0,9.0079,3355.0,4663.0,93.0,3603.0,4929.0,92.0,-248.0,-266.0,1.0,5330.0,7598.0,155.0,5333.0,7671.0,141.0,-3.0,-73.0,14.0
3015,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,4,Blue,bot,Gango,Crest Gaming Act,Senna,Syndra,Rumble,Lucian,Leona,Gangplank,1905,1,5,1,7,13,8,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4094,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18526,583.4961,0.351091,14,0.4409,7,0.2205,7,46.0,1.4488,13654,9492,298.9606,0.275968,11625.0,,251.0,226.0,25,14,0,7.9055,3316.0,3609.0,78.0,2859.0,2598.0,69.0,457.0,1011.0,9.0,5361.0,5823.0,122.0,4428.0,4388.0,114.0,933.0,1435.0,8.0
3016,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,5,Blue,sup,Grendel,Crest Gaming Act,Nautilus,Syndra,Rumble,Lucian,Leona,Gangplank,1905,1,1,3,9,13,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4094,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4523,142.4567,0.0857164,50,1.5748,5,0.1575,16,83.0,2.6142,7732,3570,112.4409,0.103797,6470.0,,33.0,33.0,0,0,0,1.0394,2221.0,2701.0,13.0,2114.0,2479.0,10.0,107.0,222.0,3.0,3320.0,3526.0,20.0,2938.0,3494.0,14.0,382.0,32.0,6.0
3017,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,6,Red,top,Dasher,Fukuoka SoftBank Hawks gaming,Kayle,Draven,Akali,Elise,LeBlanc,Qiyana,1905,0,2,3,4,8,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17217,542.2677,0.380461,13,0.4094,6,0.189,4,25.0,0.7874,11564,7402,233.1339,0.259362,11400.0,,259.0,246.0,13,5,3,8.1575,3182.0,4704.0,81.0,3409.0,4811.0,81.0,-227.0,-107.0,0.0,5717.0,7271.0,126.0,4749.0,7208.0,120.0,968.0,63.0,6.0
3018,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,7,Red,jng,Tussle,Fukuoka SoftBank Hawks gaming,Jarvan IV,Draven,Akali,Elise,LeBlanc,Qiyana,1905,0,2,2,6,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3000,94.4882,0.0662939,20,0.6299,11,0.3465,16,49.0,1.5433,8642,4480,141.1024,0.15698,8300.0,,141.0,15.0,126,84,4,4.4409,3258.0,3153.0,54.0,3161.0,2852.0,49.0,97.0,301.0,5.0,4918.0,5436.0,91.0,4403.0,3949.0,70.0,515.0,1487.0,21.0
3019,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,8,Red,mid,Ramune,Fukuoka SoftBank Hawks gaming,Corki,Draven,Akali,Elise,LeBlanc,Qiyana,1905,0,3,2,4,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12642,398.1732,0.27936300000000003,20,0.6299,6,0.189,10,41.0,1.2913,11516,7354,231.622,0.25768,10918.0,,263.0,219.0,44,32,4,8.2835,3603.0,4929.0,92.0,3355.0,4663.0,93.0,248.0,266.0,-1.0,5333.0,7671.0,141.0,5330.0,7598.0,155.0,3.0,73.0,-14.0
3020,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,9,Red,bot,Honey,Fukuoka SoftBank Hawks gaming,Miss Fortune,Draven,Akali,Elise,LeBlanc,Qiyana,1905,0,1,2,3,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9600,302.3622,0.212141,13,0.4094,6,0.189,4,35.0,1.1024,11553,7391,232.7874,0.258977,11700.0,,287.0,251.0,36,28,8,9.0394,2859.0,2598.0,69.0,3316.0,3609.0,78.0,-457.0,-1011.0,-9.0,4428.0,4388.0,114.0,5361.0,5823.0,122.0,-933.0,-1435.0,-8.0
3021,ESPORTSTMNT01/1304081,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304081?gameHash=d3e5c8f0270ce96f&amp;tab=overview,LJL,2020,Spring,0,2020-02-08 09:01:45,1,10.02,10,Red,sup,Pooh,Fukuoka SoftBank Hawks gaming,Braum,Draven,Akali,Elise,LeBlanc,Qiyana,1905,0,0,4,6,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.252,0.6614,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2794,88.0,0.0617418,46,1.4488,4,0.126,15,67.0,2.1102,6074,1912,60.2205,0.0670007,5775.0,,24.0,24.0,0,0,0,0.7559,2114.0,2479.0,10.0,2221.0,2701.0,13.0,-107.0,-222.0,-3.0,2938.0,3494.0,14.0,3320.0,3526.0,20.0,-382.0,-32.0,-6.0
