,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
888,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,1,Blue,top,Ssumday,100 Thieves,Gangplank,Qiyana,Rumble,Senna,Vladimir,Lee Sin,2282,1,5,2,6,14,12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3681,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26491,696.5206,0.319334,13,0.3418,7,0.184,2,29.0,0.7625,19164,14233,374.2244,0.344156,18683.0,,357.0,340.0,17,15,1,9.3865,3259.0,4792.0,82.0,3331.0,5016.0,81.0,-72.0,-224.0,1.0,6639.0,7185.0,132.0,5196.0,7026.0,119.0,1443.0,159.0,13.0
889,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,2,Blue,jng,Meteos,100 Thieves,Gragas,Qiyana,Rumble,Senna,Vladimir,Lee Sin,2282,1,0,2,5,14,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3681,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11198,294.4259,0.134986,31,0.8151,16,0.4207,9,81.0,2.1297,10326,5395,141.8493,0.130454,8825.0,,158.0,31.0,127,86,11,4.1543,2489.0,2066.0,39.0,2808.0,2659.0,58.0,-319.0,-593.0,-19.0,4299.0,4316.0,76.0,4259.0,4819.0,89.0,40.0,-503.0,-13.0
890,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,3,Blue,mid,Ryoma,100 Thieves,Zoe,Qiyana,Rumble,Senna,Vladimir,Lee Sin,2282,1,4,1,9,14,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3681,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20072,527.7476,0.241957,17,0.447,7,0.184,9,35.0,0.9202,12842,7911,208.0018,0.19129000000000002,11475.0,,197.0,177.0,20,16,0,5.1797,2833.0,4210.0,65.0,2828.0,4235.0,65.0,5.0,-25.0,0.0,4337.0,5935.0,98.0,5469.0,7254.0,115.0,-1132.0,-1319.0,-17.0
891,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,4,Blue,bot,Cody Sun,100 Thieves,Miss Fortune,Qiyana,Rumble,Senna,Vladimir,Lee Sin,2282,1,4,1,7,14,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3681,0.6836,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20780,546.3628,0.25049099999999996,18,0.4733,10,0.2629,8,31.0,0.8151,14895,9964,261.9807,0.240932,13350.0,,290.0,276.0,14,12,2,7.6249,3287.0,3111.0,89.0,2968.0,2924.0,76.0,319.0,187.0,13.0,5533.0,5577.0,131.0,4531.0,4595.0,117.0,1002.0,982.0,14.0
892,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,5,Blue,sup,Stunt,100 Thieves,Leona,Qiyana,Rumble,Senna,Vladimir,Lee Sin,2282,1,1,6,6,14,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3681,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4416,116.1087,0.053232400000000006,64,1.6827,19,0.4996,16,106.0,2.787,8784,3853,101.3059,0.0931682,8600.0,,44.0,44.0,0,0,0,1.1569,2105.0,2407.0,16.0,1992.0,1979.0,12.0,113.0,428.0,4.0,3250.0,3309.0,24.0,3145.0,3246.0,21.0,105.0,63.0,3.0
893,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,6,Red,top,Hauntzer,Golden Guardians,Ornn,Akali,Lucian,Aphelios,Lissandra,Elise,2282,0,2,2,7,12,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13273,348.9833,0.1686,19,0.4996,8,0.2103,7,35.0,0.9202,11971,7040,185.1008,0.210256,11225.0,,247.0,231.0,16,12,0,6.4943,3331.0,5016.0,81.0,3259.0,4792.0,82.0,72.0,224.0,-1.0,5196.0,7026.0,119.0,6639.0,7185.0,132.0,-1443.0,-159.0,-13.0
894,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,7,Red,jng,Closer,Golden Guardians,Jarvan IV,Akali,Lucian,Aphelios,Lissandra,Elise,2282,0,2,4,9,12,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3155,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9581,251.9106,0.121702,11,0.2892,26,0.6836,12,54.0,1.4198,10505,5574,146.5557,0.166473,10450.0,,170.0,43.0,127,67,18,4.4698,2808.0,2659.0,58.0,2489.0,2066.0,39.0,319.0,593.0,19.0,4259.0,4819.0,89.0,4299.0,4316.0,76.0,-40.0,503.0,13.0
895,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,8,Red,mid,Goldenglue,Golden Guardians,LeBlanc,Akali,Lucian,Aphelios,Lissandra,Elise,2282,0,6,3,5,12,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27961,735.1709,0.355173,30,0.7888,14,0.3681,9,68.0,1.7879,14077,9146,240.4733,0.273152,13600.0,,257.0,241.0,16,12,0,6.7572,2828.0,4235.0,65.0,2833.0,4210.0,65.0,-5.0,25.0,0.0,5469.0,7254.0,115.0,4337.0,5935.0,98.0,1132.0,1319.0,17.0
896,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,9,Red,bot,FBI,Golden Guardians,Varus,Akali,Lucian,Aphelios,Lissandra,Elise,2282,0,1,1,7,12,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,22796,599.369,0.289565,19,0.4996,14,0.3681,12,39.0,1.0254,14079,9148,240.5259,0.273212,14000.0,,354.0,333.0,21,21,0,9.3076,2968.0,2924.0,76.0,3287.0,3111.0,89.0,-319.0,-187.0,-13.0,4531.0,4595.0,117.0,5533.0,5577.0,131.0,-1002.0,-982.0,-14.0
897,ESPORTSTMNT02/1270592,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270592?gameHash=7fa61eb33bd32bfc&amp;tab=overview,LCS,2020,Spring,0,2020-01-25 23:39:30,1,10.01,10,Red,sup,Keith,Golden Guardians,Braum,Akali,Lucian,Aphelios,Lissandra,Elise,2282,0,1,4,7,12,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155,0.6836,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5114,134.461,0.06496030000000001,48,1.2621,12,0.3155,18,88.0,2.3138,7506,2575,67.7038,0.0769069,7350.0,,35.0,35.0,0,0,0,0.9202,1992.0,1979.0,12.0,2105.0,2407.0,16.0,-113.0,-428.0,-4.0,3145.0,3246.0,21.0,3250.0,3309.0,24.0,-105.0,-63.0,-3.0
