,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22188,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,1,Blue,top,xiao7,FunPlus Phoenix Blaze,Renekton,Elise,Wukong,Kalista,Nautilus,Tahm Kench,1308,1,2,1,3,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,3802,174.4037,0.11971400000000001,6,0.2752,5,0.2294,3,18.0,0.8257,10521,7577,347.5688,0.25132600000000005,9500.0,,178.0,170.0,8,1,0,8.1651,4686.0,4195.0,80.0,2608.0,3538.0,54.0,2078.0,657.0,26.0,7750.0,7341.0,142.0,4525.0,6412.0,105.0,3225.0,929.0,37.0
22189,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,2,Blue,jng,Mingjing,FunPlus Phoenix Blaze,Kindred,Elise,Wukong,Kalista,Nautilus,Tahm Kench,1308,1,5,0,4,13,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,10059,461.422,0.316729,8,0.367,8,0.367,6,32.0,1.4679,9614,6670,305.9633,0.221242,7525.0,,150.0,19.0,131,57,44,6.8807,3536.0,3616.0,57.0,2834.0,2591.0,48.0,702.0,1025.0,9.0,5317.0,5799.0,97.0,3956.0,3597.0,62.0,1361.0,2202.0,35.0
22190,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,3,Blue,mid,Insulator,FunPlus Phoenix Blaze,Rumble,Elise,Wukong,Kalista,Nautilus,Tahm Kench,1308,1,3,2,5,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,7289,334.3578,0.22951,8,0.367,1,0.0459,1,14.0,0.6422,8611,5667,259.9541,0.187973,6360.0,,154.0,144.0,10,4,2,7.0642,3691.0,4009.0,74.0,2963.0,4327.0,73.0,728.0,-318.0,1.0,5615.0,6792.0,120.0,4337.0,6183.0,106.0,1278.0,609.0,14.0
22191,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,4,Blue,bot,Savior,FunPlus Phoenix Blaze,Aphelios,Elise,Wukong,Kalista,Nautilus,Tahm Kench,1308,1,3,1,4,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,9232,423.4862,0.290689,7,0.3211,8,0.367,2,27.0,1.2385,9696,6752,309.7248,0.22396100000000002,8200.0,,194.0,183.0,11,8,3,8.8991,3844.0,2972.0,78.0,4184.0,3364.0,73.0,-340.0,-392.0,5.0,6443.0,5631.0,136.0,6253.0,5760.0,132.0,190.0,-129.0,4.0
22192,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,5,Blue,sup,ppgod,FunPlus Phoenix Blaze,Thresh,Elise,Wukong,Kalista,Nautilus,Tahm Kench,1308,1,0,2,7,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5963,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,1377,63.1651,0.0433578,23,1.055,8,0.367,8,51.0,2.3394,6426,3482,159.7248,0.115498,5450.0,,29.0,29.0,0,0,0,1.3303,2640.0,2724.0,14.0,2380.0,2345.0,13.0,260.0,379.0,1.0,4316.0,4073.0,22.0,3621.0,3329.0,24.0,695.0,744.0,-2.0
22193,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,6,Red,top,Spunk,eStar Young,Gnar,Pantheon,Sett,Senna,LeBlanc,Azir,1308,0,0,2,2,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,5297,242.9817,0.222162,6,0.2752,3,0.1376,1,11.0,0.5046,6218,3274,150.1835,0.191138,5725.0,,149.0,149.0,0,0,0,6.8349,2608.0,3538.0,54.0,4686.0,4195.0,80.0,-2078.0,-657.0,-26.0,4525.0,6412.0,105.0,7750.0,7341.0,142.0,-3225.0,-929.0,-37.0
22194,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,7,Red,jng,qianxun,eStar Young,Rek'Sai,Pantheon,Sett,Senna,LeBlanc,Azir,1308,0,1,3,3,6,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2752,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,2797,128.3028,0.117309,3,0.1376,2,0.0917,3,15.0,0.6881,5963,3019,138.4862,0.176251,5350.0,,83.0,6.0,77,56,1,3.8073,2834.0,2591.0,48.0,3536.0,3616.0,57.0,-702.0,-1025.0,-9.0,3956.0,3597.0,62.0,5317.0,5799.0,97.0,-1361.0,-2202.0,-35.0
22195,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,8,Red,mid,wumian,eStar Young,Karma,Pantheon,Sett,Senna,LeBlanc,Azir,1308,0,1,2,3,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,6719,308.211,0.281802,9,0.4128,2,0.0917,3,20.0,0.9174,6599,3655,167.6606,0.213381,6360.0,,157.0,157.0,0,0,0,7.2018,2963.0,4327.0,73.0,3691.0,4009.0,74.0,-728.0,318.0,-1.0,4337.0,6183.0,106.0,5615.0,6792.0,120.0,-1278.0,-609.0,-14.0
22196,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,9,Red,bot,Lad,eStar Young,Varus,Pantheon,Sett,Senna,LeBlanc,Azir,1308,0,3,3,2,6,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2752,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,6476,297.0642,0.27161,9,0.4128,4,0.1835,3,15.0,0.6881,8201,5257,241.1468,0.306904,7585.0,,181.0,176.0,5,1,0,8.3028,4184.0,3364.0,73.0,3844.0,2972.0,78.0,340.0,392.0,-5.0,6253.0,5760.0,132.0,6443.0,5631.0,136.0,-190.0,129.0,-4.0
22197,6101-7591,complete,https://lpl.qq.com/es/stats.shtml?bmid=6101,LDL,2020,Spring,0,2020-04-14 10:43:00,1,10.06,10,Red,sup,Ke,eStar Young,Leona,Pantheon,Sett,Senna,LeBlanc,Azir,1308,0,1,3,4,6,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2752,0.8716,,,,,,,,,,,,,,,,,,,,,,,,,,2554,117.156,0.107117,26,1.1927,7,0.3211,9,46.0,2.1101,4868,1924,88.2569,0.112326,4725.0,,29.0,29.0,0,0,0,1.3303,2380.0,2345.0,13.0,2640.0,2724.0,14.0,-260.0,-379.0,-1.0,3621.0,3329.0,24.0,4316.0,4073.0,22.0,-695.0,-744.0,2.0
