,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22668,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,1,Blue,top,Chelizi,Vici Gaming Potential,Renekton,Syndra,Sett,LeBlanc,Wukong,Rumble,2140,1,3,0,9,16,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4486,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,13639,382.4019,0.281815,17,0.4766,14,0.3925,8,50.0,1.4019,17228,12587,352.9065,0.28076100000000004,15950.0,,353.0,326.0,27,5,3,9.8972,4949.0,5174.0,98.0,2777.0,4135.0,64.0,2172.0,1039.0,34.0,7211.0,7873.0,152.0,4891.0,7052.0,116.0,2320.0,821.0,36.0
22669,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,2,Blue,jng,Noble,Vici Gaming Potential,Nidalee,Syndra,Sett,LeBlanc,Wukong,Rumble,2140,1,4,2,5,16,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4486,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,6018,168.729,0.124347,13,0.3645,19,0.5327,13,66.0,1.8505,12823,8182,229.4019,0.182503,12675.0,,211.0,31.0,180,95,15,5.9159,3753.0,3633.0,55.0,3025.0,2769.0,50.0,728.0,864.0,5.0,5945.0,5887.0,96.0,4548.0,4710.0,80.0,1397.0,1177.0,16.0
22670,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,3,Blue,mid,Strive,Vici Gaming Potential,Qiyana,Syndra,Sett,LeBlanc,Wukong,Rumble,2140,1,4,1,4,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4486,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,9237,258.9813,0.190859,12,0.3364,19,0.5327,10,51.0,1.4299,13246,8605,241.2617,0.191939,11900.0,,268.0,224.0,44,33,7,7.514,3459.0,4522.0,85.0,3882.0,4950.0,96.0,-423.0,-428.0,-11.0,5113.0,6491.0,116.0,5615.0,6797.0,134.0,-502.0,-306.0,-18.0
22671,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,4,Blue,bot,Ahn,Vici Gaming Potential,Aphelios,Syndra,Sett,LeBlanc,Wukong,Rumble,2140,1,4,2,7,16,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4486,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,15943,447.0,0.329421,12,0.3364,11,0.3084,3,44.0,1.2336,16289,11648,326.5794,0.259816,15235.0,,354.0,293.0,61,44,12,9.9252,2994.0,3009.0,71.0,4131.0,3151.0,91.0,-1137.0,-142.0,-20.0,4755.0,5230.0,117.0,6175.0,5777.0,155.0,-1420.0,-547.0,-38.0
22672,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,5,Blue,sup,Jerry,Vici Gaming Potential,Nautilus,Syndra,Sett,LeBlanc,Wukong,Rumble,2140,1,1,1,10,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4486,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,3560,99.8131,0.07355830000000001,61,1.7103,7,0.1963,16,82.0,2.2991,8451,3810,106.8224,0.0849814,7550.0,,34.0,34.0,0,0,0,0.9533,2163.0,2419.0,14.0,2652.0,2762.0,12.0,-489.0,-343.0,2.0,3533.0,4131.0,23.0,3781.0,4030.0,22.0,-248.0,101.0,1.0
22673,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,6,Red,top,Novice,Oh My Dream,Corki,Thresh,Taric,Elise,Taliyah,Kindred,2140,0,1,5,2,6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1682,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,14857,416.5514,0.260896,20,0.5607,2,0.0561,7,30.0,0.8411,13919,9278,260.1308,0.266964,13418.0,,341.0,294.0,47,42,1,9.5607,2777.0,4135.0,64.0,4949.0,5174.0,98.0,-2172.0,-1039.0,-34.0,4891.0,7052.0,116.0,7211.0,7873.0,152.0,-2320.0,-821.0,-36.0
22674,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,7,Red,jng,Beichen,Oh My Dream,Jarvan IV,Thresh,Taric,Elise,Taliyah,Kindred,2140,0,1,3,4,6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,2804,78.6168,0.049239599999999994,9,0.2523,26,0.729,10,74.0,2.0748,9397,4756,133.3458,0.136846,9460.0,,152.0,34.0,118,85,8,4.2617,3025.0,2769.0,50.0,3753.0,3633.0,55.0,-728.0,-864.0,-5.0,4548.0,4710.0,80.0,5945.0,5887.0,96.0,-1397.0,-1177.0,-16.0
22675,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,8,Red,mid,Bright,Oh My Dream,Galio,Thresh,Taric,Elise,Taliyah,Kindred,2140,0,2,3,3,6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,5138,144.0561,0.09022580000000001,15,0.4206,4,0.1121,10,33.0,0.9252,11739,7098,199.0093,0.204236,11850.0,,268.0,243.0,25,25,0,7.514,3882.0,4950.0,96.0,3459.0,4522.0,85.0,423.0,428.0,11.0,5615.0,6797.0,134.0,5113.0,6491.0,116.0,502.0,306.0,18.0
22676,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,9,Red,bot,Eric,Oh My Dream,Varus,Thresh,Taric,Elise,Taliyah,Kindred,2140,0,2,2,3,6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,31246,876.0561,0.5486949999999999,11,0.3084,24,0.6729,4,61.0,1.7103,15522,10881,305.0748,0.31309000000000003,14000.0,,388.0,383.0,5,4,0,10.8785,4131.0,3151.0,91.0,2994.0,3009.0,71.0,1137.0,142.0,20.0,6175.0,5777.0,155.0,4755.0,5230.0,117.0,1420.0,547.0,38.0
22677,6108-7615,complete,https://lpl.qq.com/es/stats.shtml?bmid=6108,LDL,2020,Spring,0,2020-04-16 07:08:00,1,10.06,10,Red,sup,Bafang,Oh My Dream,Tahm Kench,Thresh,Taric,Elise,Taliyah,Kindred,2140,0,0,3,4,6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682,0.6168,,,,,,,,,,,,,,,,,,,,,,,,,,2901,81.3364,0.050943,68,1.9065,7,0.1963,19,92.0,2.5794,7382,2741,76.8505,0.07886510000000001,7275.0,,32.0,32.0,0,0,0,0.8972,2652.0,2762.0,12.0,2163.0,2419.0,14.0,489.0,343.0,-2.0,3781.0,4030.0,22.0,3533.0,4131.0,23.0,248.0,-101.0,-1.0
