,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
6348,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,1,Blue,top,BOSS,Unicorns Of Love.CIS,Sett,Ziggs,Heimerdinger,Zoe,Ezreal,Varus,1415,1,4,2,1,13,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5512,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10842,459.7314,0.22024899999999997,8,0.3392,4,0.1696,2,20.0,0.8481,10833,7671,325.2721,0.25201399999999996,8550.0,,206.0,206.0,0,0,0,8.735,3052.0,4084.0,69.0,2957.0,3697.0,51.0,95.0,387.0,18.0,5263.0,7044.0,123.0,4477.0,6116.0,80.0,786.0,928.0,43.0
6349,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,2,Blue,jng,AHaHaCiK,Unicorns Of Love.CIS,Pantheon,Ziggs,Heimerdinger,Zoe,Ezreal,Varus,1415,1,3,0,2,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7161,303.6466,0.145472,5,0.212,5,0.212,7,26.0,1.1025,7853,4691,198.9117,0.15411,7300.0,,103.0,11.0,92,35,16,4.3675,2535.0,2756.0,47.0,2883.0,2997.0,46.0,-348.0,-241.0,1.0,3992.0,4205.0,64.0,4200.0,4716.0,76.0,-208.0,-511.0,-12.0
6350,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,3,Blue,mid,Nomanz,Unicorns Of Love.CIS,Viktor,Ziggs,Heimerdinger,Zoe,Ezreal,Varus,1415,1,5,1,2,13,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14281,605.5548,0.290111,7,0.2968,7,0.2968,0,19.0,0.8057,10402,7240,306.9965,0.237854,9650.0,,220.0,195.0,25,13,9,9.3286,3146.0,4230.0,71.0,3027.0,4271.0,77.0,119.0,-41.0,-6.0,5491.0,7202.0,131.0,4631.0,6171.0,122.0,860.0,1031.0,9.0
6351,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,4,Blue,bot,Gadget,Unicorns Of Love.CIS,Aphelios,Ziggs,Heimerdinger,Zoe,Ezreal,Varus,1415,1,1,1,8,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13541,574.1767,0.27507800000000004,9,0.3816,6,0.2544,4,21.0,0.8905,10613,7451,315.9435,0.244786,8800.0,,226.0,203.0,23,12,7,9.583,3680.0,3651.0,86.0,3038.0,2341.0,58.0,642.0,1310.0,28.0,6255.0,5890.0,138.0,4591.0,4722.0,105.0,1664.0,1168.0,33.0
6352,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,5,Blue,sup,SaNTaS,Unicorns Of Love.CIS,Braum,Ziggs,Heimerdinger,Zoe,Ezreal,Varus,1415,1,0,0,9,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5512,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3401,144.212,0.0690895,23,0.9753,7,0.2968,6,51.0,2.1625,6548,3386,143.576,0.11123599999999999,5020.0,,34.0,30.0,4,0,0,1.4417,2243.0,2371.0,13.0,2198.0,2488.0,16.0,45.0,-117.0,-3.0,3592.0,3509.0,25.0,3135.0,3588.0,22.0,457.0,-79.0,3.0
6353,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,6,Red,top,Charger,Vega Squadron,Ornn,Karthus,Syndra,Soraka,LeBlanc,Elise,1415,0,2,2,2,4,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1696,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6855,290.6714,0.272619,10,0.424,0,0.0,3,11.0,0.4664,6838,3676,155.8728,0.21090100000000003,6495.0,,138.0,138.0,0,0,0,5.8516,2957.0,3697.0,51.0,3052.0,4084.0,69.0,-95.0,-387.0,-18.0,4477.0,6116.0,80.0,5263.0,7044.0,123.0,-786.0,-928.0,-43.0
6354,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,7,Red,jng,MightyDragon,Vega Squadron,Jarvan IV,Karthus,Syndra,Soraka,LeBlanc,Elise,1415,0,0,1,4,4,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1696,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2336,99.053,0.09290119999999999,8,0.3392,5,0.212,9,27.0,1.1449,5733,2571,109.0177,0.147501,5375.0,,94.0,17.0,77,55,8,3.9859,2883.0,2997.0,46.0,2535.0,2756.0,47.0,348.0,241.0,-1.0,4200.0,4716.0,76.0,3992.0,4205.0,64.0,208.0,511.0,12.0
6355,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,8,Red,mid,Keysie,Vega Squadron,Cassiopeia,Karthus,Syndra,Soraka,LeBlanc,Elise,1415,0,0,4,0,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1696,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8197,347.576,0.325989,9,0.3816,2,0.0848,6,19.0,0.8057,7522,4360,184.8763,0.250146,7685.0,,196.0,182.0,14,11,0,8.311,3027.0,4271.0,77.0,3146.0,4230.0,71.0,-119.0,41.0,6.0,4631.0,6171.0,122.0,5491.0,7202.0,131.0,-860.0,-1031.0,-9.0
6356,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,9,Red,bot,Optimas,Vega Squadron,Jinx,Karthus,Syndra,Soraka,LeBlanc,Elise,1415,0,1,3,1,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1696,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5497,233.0883,0.218612,6,0.2544,2,0.0848,2,11.0,0.4664,7570,4408,186.9117,0.2529,6900.0,,199.0,191.0,8,8,0,8.4382,3038.0,2341.0,58.0,3680.0,3651.0,86.0,-642.0,-1310.0,-28.0,4591.0,4722.0,105.0,6255.0,5890.0,138.0,-1664.0,-1168.0,-33.0
6357,ESPORTSTMNT05/1400808,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1400808?gameHash=0f2b34b522784c0d,LCL,2020,Spring,0,2020-02-22 12:44:41,1,10.03,10,Red,sup,SimSin,Vega Squadron,Tahm Kench,Karthus,Syndra,Soraka,LeBlanc,Elise,1415,0,1,3,2,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1696,0.7208,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2260,95.8304,0.08987869999999999,31,1.3145,2,0.0848,10,46.0,1.9505,5577,2415,102.4028,0.138551,5350.0,,28.0,28.0,0,0,0,1.1873,2198.0,2488.0,16.0,2243.0,2371.0,13.0,-45.0,117.0,3.0,3135.0,3588.0,22.0,3592.0,3509.0,25.0,-457.0,79.0,-3.0
