,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
48,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,1,Blue,top,Doran,DRX,Mordekaiser,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,1,5,1,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13024,431.2583,0.304086,13,0.4305,2,0.0662,3,23.0,0.7616,10442,6470,214.2384,0.22486399999999998,9860.0,,202.0,194.0,8,5,0,6.6887,3422.0,4627.0,82.0,3587.0,4809.0,88.0,-165.0,-182.0,-6.0,5868.0,7156.0,131.0,5114.0,7078.0,134.0,754.0,78.0,-3.0
49,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,2,Blue,jng,Pyosik,DRX,Jarvan IV,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,0,5,1,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3424,113.3775,0.079944,5,0.1656,14,0.4636,5,26.0,0.8609,8194,4222,139.8013,0.146734,7875.0,,158.0,22.0,136,107,0,5.2318,3103.0,3149.0,65.0,2968.0,3581.0,60.0,135.0,-432.0,5.0,4743.0,5380.0,105.0,4495.0,5589.0,100.0,248.0,-209.0,5.0
50,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,3,Blue,mid,Chovy,DRX,Ryze,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,1,3,2,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9705,321.3576,0.22659400000000002,16,0.5298,14,0.4636,7,31.0,1.0265,12063,8091,267.9139,0.281202,12175.0,,323.0,293.0,30,12,7,10.6954,3480.0,4908.0,99.0,3594.0,4772.0,91.0,-114.0,136.0,8.0,5508.0,7811.0,163.0,5272.0,7536.0,140.0,236.0,275.0,23.0
51,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,4,Blue,bot,Deft,DRX,Xayah,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,0,5,2,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0993,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11380,376.8212,0.265702,19,0.6291,6,0.1987,10,28.0,0.9272,11434,7462,247.0861,0.259341,10750.0,,298.0,267.0,31,27,0,9.8675,3304.0,3253.0,87.0,3746.0,2845.0,73.0,-442.0,408.0,14.0,5622.0,5732.0,146.0,5709.0,5056.0,132.0,-87.0,676.0,14.0
52,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,5,Blue,sup,Keria,DRX,Rakan,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,1,3,1,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5297,175.3974,0.123675,53,1.755,20,0.6623,24,88.0,2.9139,6500,2528,83.7086,0.0878586,6350.0,,23.0,23.0,0,0,0,0.7616,2079.0,2459.0,4.0,2240.0,2702.0,13.0,-161.0,-243.0,-9.0,2903.0,3497.0,5.0,3177.0,4112.0,18.0,-274.0,-615.0,-13.0
53,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,6,Red,top,Kiin,Afreeca Freecs,Renekton,Miss Fortune,Akali,Lucian,Lee Sin,Rumble,1812,1,4,1,9,21,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6954,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19838,656.8874,0.33450799999999997,18,0.596,7,0.2318,8,39.0,1.2914,13710,9738,322.4503,0.24984,12225.0,,270.0,243.0,27,12,4,8.9404,3587.0,4809.0,88.0,3422.0,4627.0,82.0,165.0,182.0,6.0,5114.0,7078.0,134.0,5868.0,7156.0,131.0,-754.0,-78.0,3.0
54,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,7,Red,jng,Spirit,Afreeca Freecs,Elise,Miss Fortune,Akali,Lucian,Lee Sin,Rumble,1812,1,2,1,8,21,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6954,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9205,304.8013,0.15521500000000002,46,1.5232,24,0.7947,16,103.0,3.4106,10129,6157,203.8742,0.15796500000000002,8835.0,,175.0,37.0,138,86,8,5.7947,2968.0,3581.0,60.0,3103.0,3149.0,65.0,-135.0,432.0,-5.0,4495.0,5589.0,100.0,4743.0,5380.0,105.0,-248.0,209.0,-5.0
55,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,8,Red,mid,Fly,Afreeca Freecs,Vel'Koz,Miss Fortune,Akali,Lucian,Lee Sin,Rumble,1812,1,5,0,7,21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6954,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15207,503.543,0.25642,17,0.5629,7,0.2318,9,43.0,1.4238,12930,8958,296.6225,0.22982800000000003,11250.0,,255.0,247.0,8,8,0,8.4437,3594.0,4772.0,91.0,3480.0,4908.0,99.0,114.0,-136.0,-8.0,5272.0,7536.0,140.0,5508.0,7811.0,163.0,-236.0,-275.0,-23.0
56,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,9,Red,bot,Mystic,Afreeca Freecs,Varus,Miss Fortune,Akali,Lucian,Lee Sin,Rumble,1812,1,10,1,4,21,3,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6954,0.7947,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11432,378.543,0.19276600000000002,12,0.3974,12,0.3974,4,51.0,1.6887,14647,10675,353.4768,0.27388,13075.0,,275.0,251.0,24,12,8,9.106,3746.0,2845.0,73.0,3304.0,3253.0,87.0,442.0,-408.0,-14.0,5709.0,5056.0,132.0,5622.0,5732.0,146.0,87.0,-676.0,-14.0
57,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,10,Red,sup,Jelly,Afreeca Freecs,Braum,Miss Fortune,Akali,Lucian,Lee Sin,Rumble,1812,1,0,0,13,21,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6954,0.7947,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3623,119.9669,0.061091,44,1.457,3,0.0993,14,61.0,2.0199,7421,3449,114.2053,0.0884869,6400.0,,24.0,24.0,0,0,0,0.7947,2240.0,2702.0,13.0,2079.0,2459.0,4.0,161.0,243.0,9.0,3177.0,4112.0,18.0,2903.0,3497.0,5.0,274.0,615.0,13.0
58,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,100,Blue,team,,DRX,,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,1812,0,3,21,7,3,21,0.0,0.0,0.0,0.0,0.0,,,,0.0993,0.7947,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,8.0,0.0,0.0,0.0,1.0,42830,1418.2119,,106,3.5099,56,1.8543,49,196.0,6.4901,48633,28773,952.7483,,47010.0,-0.09666480000000001,,799.0,205,151,7,33.245,15388.0,18396.0,337.0,16135.0,18709.0,325.0,-747.0,-313.0,12.0,24644.0,29576.0,550.0,23767.0,29371.0,524.0,877.0,205.0,26.0
59,ESPORTSTMNT03/1241386,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241386?gameHash=70ee5d9886465bc5,KeSPA,2020,,0,2020-01-04 05:33:33,1,9.24,200,Red,team,,Afreeca Freecs,,Miss Fortune,Akali,Lucian,Lee Sin,Rumble,1812,1,21,3,41,21,3,3.0,1.0,0.0,0.0,1.0,,,,0.6954,0.7947,1.0,4.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,8.0,4.0,1.0,1.0,1.0,0.0,59305,1963.7417,,137,4.5364,53,1.755,51,297.0,9.8344,58837,38977,1290.6291,,51785.0,0.09666480000000001,,802.0,197,118,20,33.0795,16135.0,18709.0,325.0,15388.0,18396.0,337.0,747.0,313.0,-12.0,23767.0,29371.0,524.0,24644.0,29576.0,550.0,-877.0,-205.0,-26.0
60,ESPORTSTMNT03/1241394,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241394?gameHash=3c389ef679856473,KeSPA,2020,,0,2020-01-04 06:55:30,2,9.24,1,Blue,top,Kiin,Afreeca Freecs,Kennen,Irelia,Syndra,Elise,Jarvan IV,Fiora,1548,1,6,1,8,19,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364,0.8915,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18116,702.1705,0.318098,13,0.5039,4,0.155,6,29.0,1.124,12207,8773,340.0388,0.266928,11350.0,,237.0,229.0,8,4,0,9.186,3479.0,4975.0,94.0,3265.0,4855.0,85.0,214.0,120.0,9.0,6429.0,7831.0,144.0,4803.0,7456.0,132.0,1626.0,375.0,12.0
61,ESPORTSTMNT03/1241394,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241394?gameHash=3c389ef679856473,KeSPA,2020,,0,2020-01-04 06:55:30,2,9.24,2,Blue,jng,Spirit,Afreeca Freecs,Olaf,Irelia,Syndra,Elise,Jarvan IV,Fiora,1548,1,4,1,8,19,4,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7364,0.8915,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7820,303.1008,0.137311,36,1.3953,23,0.8915,13,91.0,3.5271,9481,6047,234.3798,0.18399100000000002,8700.0,,137.0,36.0,101,68,3,5.3101,3267.0,3358.0,70.0,3293.0,3530.0,65.0,-26.0,-172.0,5.0,5002.0,5084.0,98.0,4935.0,5631.0,105.0,67.0,-547.0,-7.0
62,ESPORTSTMNT03/1241394,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241394?gameHash=3c389ef679856473,KeSPA,2020,,0,2020-01-04 06:55:30,2,9.24,3,Blue,mid,Fly,Afreeca Freecs,Ornn,Irelia,Syndra,Elise,Jarvan IV,Fiora,1548,1,3,1,11,19,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7364,0.8915,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10540,408.5271,0.185071,11,0.4264,3,0.1163,3,20.0,0.7752,9226,5792,224.4961,0.176232,8695.0,,152.0,152.0,0,0,0,5.8915,3408.0,4539.0,74.0,3675.0,5166.0,97.0,-267.0,-627.0,-23.0,5572.0,7329.0,117.0,5574.0,7453.0,142.0,-2.0,-124.0,-25.0
63,ESPORTSTMNT03/1241394,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241394?gameHash=3c389ef679856473,KeSPA,2020,,0,2020-01-04 06:55:30,2,9.24,4,Blue,bot,Mystic,Afreeca Freecs,Miss Fortune,Irelia,Syndra,Elise,Jarvan IV,Fiora,1548,1,5,1,9,19,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364,0.8915,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16075,623.062,0.28226,10,0.3876,8,0.3101,2,37.0,1.4341,12139,8705,337.4031,0.264859,10300.0,,257.0,233.0,24,17,0,9.9612,3265.0,3251.0,87.0,3210.0,3085.0,85.0,55.0,166.0,2.0,5460.0,5766.0,150.0,4819.0,5314.0,133.0,641.0,452.0,17.0
64,ESPORTSTMNT03/1241394,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241394?gameHash=3c389ef679856473,KeSPA,2020,,0,2020-01-04 06:55:30,2,9.24,5,Blue,sup,Jelly,Afreeca Freecs,Braum,Irelia,Syndra,Elise,Jarvan IV,Fiora,1548,1,1,0,14,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364,0.8915,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4400,170.5426,0.07725939999999999,30,1.1628,5,0.1938,8,53.0,2.0543,6983,3549,137.5581,0.107991,5900.0,,24.0,24.0,0,0,0,0.9302,1996.0,2648.0,11.0,2067.0,2821.0,15.0,-71.0,-173.0,-4.0,3147.0,4121.0,17.0,3092.0,4074.0,27.0,55.0,47.0,-10.0
65,ESPORTSTMNT03/1241394,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241394?gameHash=3c389ef679856473,KeSPA,2020,,0,2020-01-04 06:55:30,2,9.24,6,Red,top,Doran,DRX,Vladimir,Akali,Lucian,Qiyana,Rek'Sai,Poppy,1548,0,0,3,2,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.8915,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9623,372.9845,0.24968200000000002,13,0.5039,3,0.1163,5,22.0,0.8527,8419,4985,193.2171,0.22384099999999998,8075.0,,223.0,215.0,8,5,0,8.6434,3265.0,4855.0,85.0,3479.0,4975.0,94.0,-214.0,-120.0,-9.0,4803.0,7456.0,132.0,6429.0,7831.0,144.0,-1626.0,-375.0,-12.0
