,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
708,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,1,Blue,top,Fudge,Cloud9 Academy,Ornn,Kennen,Qiyana,Irelia,Nautilus,LeBlanc,2122,1,0,0,10,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10471,296.0697,0.150623,17,0.4807,4,0.1131,5,30.0,0.8483,11688,7084,200.3016,0.17716500000000002,10925.0,,275.0,275.0,0,0,0,7.7757,3040.0,4910.0,80.0,3306.0,5088.0,87.0,-266.0,-178.0,-7.0,4753.0,7469.0,130.0,5302.0,7733.0,135.0,-549.0,-264.0,-5.0
709,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,2,Blue,jng,Inori,Cloud9 Academy,Rek'Sai,Kennen,Qiyana,Irelia,Nautilus,LeBlanc,2122,1,2,4,12,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8496,240.2262,0.12221300000000002,6,0.1697,11,0.311,7,52.0,1.4703,10778,6174,174.5712,0.154405,10600.0,,177.0,17.0,160,112,4,5.0047,3016.0,3232.0,64.0,3784.0,3466.0,62.0,-768.0,-234.0,2.0,4316.0,4771.0,88.0,5421.0,5399.0,103.0,-1105.0,-628.0,-15.0
710,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,3,Blue,mid,Palafox,Cloud9 Academy,Rumble,Kennen,Qiyana,Irelia,Nautilus,LeBlanc,2122,1,4,1,12,20,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19957,564.2884,0.28707699999999997,16,0.4524,6,0.1697,4,43.0,1.2158,14185,9581,270.9048,0.239617,13400.0,,286.0,266.0,20,16,0,8.0867,3273.0,4566.0,89.0,3583.0,5192.0,104.0,-310.0,-626.0,-15.0,5199.0,7589.0,149.0,5474.0,7968.0,161.0,-275.0,-379.0,-12.0
711,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,4,Blue,bot,K1ng,Cloud9 Academy,Varus,Kennen,Qiyana,Irelia,Nautilus,LeBlanc,2122,1,12,2,5,20,10,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655,0.8483,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,25039,707.983,0.36018,11,0.311,17,0.4807,2,46.0,1.3007,17427,12823,362.573,0.320702,15150.0,,360.0,331.0,29,15,7,10.1791,3584.0,3384.0,91.0,3348.0,3613.0,77.0,236.0,-229.0,14.0,5699.0,5424.0,144.0,5001.0,5506.0,123.0,698.0,-82.0,21.0
712,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,5,Blue,sup,Diamond,Cloud9 Academy,Thresh,Kennen,Qiyana,Irelia,Nautilus,LeBlanc,2122,1,2,3,17,20,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5655,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5555,157.0688,0.07990739999999999,45,1.2724,12,0.3393,17,95.0,2.6861,8927,4323,122.2337,0.10811,7900.0,,37.0,37.0,0,0,0,1.0462,2239.0,2787.0,12.0,2110.0,2332.0,12.0,129.0,455.0,0.0,3404.0,4354.0,22.0,3322.0,3880.0,23.0,82.0,474.0,-1.0
713,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,6,Red,top,Jenkins,Team Liquid Academy,Mordekaiser,Akali,Lucian,Elise,Ryze,Pantheon,2122,0,3,3,2,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2828,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18574,525.1838,0.33561599999999997,16,0.4524,3,0.0848,8,36.0,1.0179,14702,10098,285.5231,0.27636700000000003,14450.0,,299.0,287.0,12,4,0,8.4543,3306.0,5088.0,87.0,3040.0,4910.0,80.0,266.0,178.0,7.0,5302.0,7733.0,135.0,4753.0,7469.0,130.0,549.0,264.0,5.0
714,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,7,Red,jng,MikeYeung,Team Liquid Academy,Jarvan IV,Akali,Lucian,Elise,Ryze,Pantheon,2122,0,3,4,6,10,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2828,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5300,149.8586,0.0957664,9,0.2545,4,0.1131,9,30.0,0.8483,10591,5987,169.2837,0.16385,10175.0,,157.0,24.0,133,104,0,4.4392,3784.0,3466.0,62.0,3016.0,3232.0,64.0,768.0,234.0,-2.0,5421.0,5399.0,103.0,4316.0,4771.0,88.0,1105.0,628.0,15.0
715,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,8,Red,mid,Yusui,Team Liquid Academy,Cassiopeia,Akali,Lucian,Elise,Ryze,Pantheon,2122,0,2,4,1,10,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2828,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12952,366.2205,0.234031,16,0.4524,4,0.1131,5,51.0,1.442,12768,8164,230.8388,0.22343400000000002,10900.0,,298.0,262.0,36,20,12,8.426,3583.0,5192.0,104.0,3273.0,4566.0,89.0,310.0,626.0,15.0,5474.0,7968.0,161.0,5199.0,7589.0,149.0,275.0,379.0,12.0
716,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,9,Red,bot,Tactical,Team Liquid Academy,Aphelios,Akali,Lucian,Elise,Ryze,Pantheon,2122,0,2,3,6,10,20,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2828,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15470,437.4175,0.27952899999999997,10,0.2828,6,0.1697,2,29.0,0.82,14182,9578,270.82,0.262135,13400.0,,349.0,301.0,48,44,0,9.868,3348.0,3613.0,77.0,3584.0,3384.0,91.0,-236.0,229.0,-14.0,5001.0,5506.0,123.0,5699.0,5424.0,144.0,-698.0,82.0,-21.0
717,ESPORTSTMNT02/1270462,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270462?gameHash=e95860ff0e6cde2f&amp;tab=overview,LCS.A,2020,Spring,0,2020-01-24 23:24:41,1,10.01,10,Red,sup,Cao,Team Liquid Academy,Leona,Akali,Lucian,Elise,Ryze,Pantheon,2122,0,0,6,7,10,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2828,0.8483,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3047,86.1546,0.055056600000000004,46,1.3007,9,0.2545,15,76.0,2.1489,7316,2712,76.6824,0.0742138,6975.0,,29.0,29.0,0,0,0,0.82,2110.0,2332.0,12.0,2239.0,2787.0,12.0,-129.0,-455.0,0.0,3322.0,3880.0,23.0,3404.0,4354.0,22.0,-82.0,-474.0,1.0
