,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
18828,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,1,Blue,top,Wondro,Cyber Gaming,Gangplank,Rek'Sai,Syndra,,Miss Fortune,Varus,1910,0,3,4,6,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3141,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22512,707.1832,0.352621,13,0.4084,2,0.0628,3,30.0,0.9424,14042,9870,310.0524,0.301604,14258.0,,294.0,277.0,17,11,0,9.2356,3395.0,4600.0,83.0,3033.0,4800.0,75.0,362.0,-200.0,8.0,5611.0,6770.0,127.0,4824.0,7520.0,119.0,787.0,-750.0,8.0
18829,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,2,Blue,jng,Lylajn,Cyber Gaming,Sejuani,Rek'Sai,Syndra,,Miss Fortune,Varus,1910,0,1,2,7,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3141,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5597,175.822,0.0876696,27,0.8482,13,0.4084,9,65.0,2.0419,8873,4701,147.6754,0.143652,8795.0,,137.0,50.0,87,72,1,4.3037,2663.0,2607.0,44.0,2965.0,3175.0,60.0,-302.0,-568.0,-16.0,4612.0,4412.0,72.0,5148.0,5819.0,93.0,-536.0,-1407.0,-21.0
18830,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,3,Blue,mid,Proker,Cyber Gaming,Cassiopeia,Rek'Sai,Syndra,,Miss Fortune,Varus,1910,0,1,4,3,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3141,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13512,424.4607,0.211648,12,0.377,8,0.2513,5,38.0,1.1937,10319,6147,193.0995,0.187838,10225.0,,236.0,205.0,31,27,0,7.4136,3319.0,4534.0,86.0,3540.0,4759.0,100.0,-221.0,-225.0,-14.0,5100.0,7199.0,130.0,5744.0,6912.0,140.0,-644.0,287.0,-10.0
18831,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,4,Blue,bot,PiOk,Cyber Gaming,Aphelios,Rek'Sai,Syndra,,Miss Fortune,Varus,1910,0,4,2,3,10,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3141,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13725,431.1518,0.214984,16,0.5026,9,0.2827,8,36.0,1.1309,13028,8856,278.199,0.270619,12350.0,,261.0,256.0,5,5,0,8.199,3642.0,2979.0,76.0,3759.0,3029.0,91.0,-117.0,-50.0,-15.0,6098.0,5080.0,129.0,5339.0,4862.0,131.0,759.0,218.0,-2.0
18832,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,5,Blue,sup,Pitress,Cyber Gaming,Sett,Rek'Sai,Syndra,,Miss Fortune,Varus,1910,0,1,3,5,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3141,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8496,266.8901,0.133079,39,1.2251,6,0.1885,13,65.0,2.0419,7323,3151,98.9843,0.09628719999999999,7145.0,,36.0,36.0,0,0,0,1.1309,2155.0,2472.0,16.0,2141.0,2546.0,13.0,14.0,-74.0,3.0,4066.0,4123.0,25.0,2955.0,3414.0,18.0,1111.0,709.0,7.0
18833,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,6,Red,top,Delitto,Intrepid Fox Gaming,Zac,Skarner,Akali,Senna,Olaf,Trundle,1910,1,2,2,7,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13150,413.089,0.222448,15,0.4712,17,0.534,6,54.0,1.6963,11303,7131,224.0105,0.184245,10950.0,,204.0,193.0,11,0,5,6.4084,3033.0,4800.0,75.0,3395.0,4600.0,83.0,-362.0,200.0,-8.0,4824.0,7520.0,119.0,5611.0,6770.0,127.0,-787.0,750.0,-8.0
18834,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,7,Red,jng,Appen,Intrepid Fox Gaming,Elise,Skarner,Akali,Senna,Olaf,Trundle,1910,1,4,3,7,15,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4712,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14922,468.7539,0.252423,11,0.3455,9,0.2827,10,45.0,1.4136,11394,7222,226.8691,0.186596,10500.0,,192.0,33.0,159,100,13,6.0314,2965.0,3175.0,60.0,2663.0,2607.0,44.0,302.0,568.0,16.0,5148.0,5819.0,93.0,4612.0,4412.0,72.0,536.0,1407.0,21.0
18835,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,8,Red,mid,Punisher,Intrepid Fox Gaming,Irelia,Skarner,Akali,Senna,Olaf,Trundle,1910,1,5,2,3,15,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712,0.7853,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13304,417.9267,0.22505300000000003,13,0.4084,8,0.2513,3,37.0,1.1623,15257,11085,348.2199,0.286405,13275.0,,323.0,292.0,31,15,7,10.1466,3540.0,4759.0,100.0,3319.0,4534.0,86.0,221.0,225.0,14.0,5744.0,6912.0,140.0,5100.0,7199.0,130.0,644.0,-287.0,10.0
18836,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,9,Red,bot,Gagai,Intrepid Fox Gaming,Kalista,Skarner,Akali,Senna,Olaf,Trundle,1910,1,2,1,8,15,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4712,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11834,371.7487,0.200186,15,0.4712,11,0.3455,7,42.0,1.3194,13381,9209,289.288,0.237934,11575.0,,300.0,283.0,17,4,9,9.4241,3759.0,3029.0,91.0,3642.0,2979.0,76.0,117.0,50.0,15.0,5339.0,4862.0,131.0,6098.0,5080.0,129.0,-759.0,-218.0,2.0
18837,ESPORTSTMNT06/1190151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190151?gameHash=cd649fec708bebc3,EM,2020,Spring,0,2020-04-06 15:17:28,1,10.07,10,Red,sup,Forsaken,Intrepid Fox Gaming,Thresh,Skarner,Akali,Senna,Olaf,Trundle,1910,1,2,2,8,15,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4712,0.7853,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5905,185.4974,0.09988999999999999,43,1.3508,7,0.2199,14,74.0,2.3246,8229,4057,127.445,0.104821,6000.0,,33.0,33.0,0,0,0,1.0366,2141.0,2546.0,13.0,2155.0,2472.0,16.0,-14.0,74.0,-3.0,2955.0,3414.0,18.0,4066.0,4123.0,25.0,-1111.0,-709.0,-7.0
