,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
8004,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,1,Blue,top,Azhi,Berjaya Dragons,Ornn,Bard,Irelia,LeBlanc,Syndra,Diana,1967,1,3,1,9,15,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4575,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8108,247.3208,0.126945,12,0.366,16,0.4881,8,48.0,1.4642,11179,6891,210.1983,0.188691,11050.0,,212.0,203.0,9,0,1,6.4667,3693.0,4208.0,76.0,3101.0,4547.0,74.0,592.0,-339.0,2.0,5597.0,6427.0,108.0,4337.0,6240.0,101.0,1260.0,187.0,7.0
8005,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,2,Blue,jng,Enso,Berjaya Dragons,Gragas,Bard,Irelia,LeBlanc,Syndra,Diana,1967,1,3,1,6,15,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4575,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9740,297.1022,0.152497,32,0.9761,10,0.305,12,68.0,2.0742,10399,6111,186.4057,0.16733199999999998,8900.0,,171.0,30.0,141,72,18,5.2161,3557.0,3211.0,57.0,2837.0,2962.0,57.0,720.0,249.0,0.0,5045.0,4838.0,82.0,4349.0,5270.0,98.0,696.0,-432.0,-16.0
8006,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,3,Blue,mid,Minji,Berjaya Dragons,Zoe,Bard,Irelia,LeBlanc,Syndra,Diana,1967,1,5,0,7,15,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4575,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20520,625.9278,0.321278,13,0.3965,7,0.2135,6,35.0,1.0676,13346,9058,276.2989,0.24803000000000003,11000.0,,276.0,260.0,16,16,0,8.4189,3619.0,4291.0,81.0,3384.0,4405.0,77.0,235.0,-114.0,4.0,5903.0,6798.0,127.0,5031.0,6651.0,124.0,872.0,147.0,3.0
8007,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,4,Blue,bot,K2,Berjaya Dragons,Ezreal,Bard,Irelia,LeBlanc,Syndra,Diana,1967,1,4,2,8,15,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4575,0.6101,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,21075,642.8571,0.329967,21,0.6406,10,0.305,10,65.0,1.9827,15516,11228,342.4911,0.307452,13458.0,,294.0,244.0,50,34,13,8.968,3650.0,3666.0,83.0,3630.0,2913.0,89.0,20.0,753.0,-6.0,6004.0,5559.0,123.0,5301.0,4545.0,135.0,703.0,1014.0,-12.0
8008,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,5,Blue,sup,Chilly,Berjaya Dragons,Nautilus,Bard,Irelia,LeBlanc,Syndra,Diana,1967,1,0,1,9,15,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4575,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4427,135.0381,0.06931269999999999,49,1.4947,17,0.5186,19,86.0,2.6233,7520,3232,98.5867,0.0884952,7375.0,,39.0,39.0,0,0,0,1.1896,2101.0,2243.0,12.0,2308.0,2829.0,15.0,-207.0,-586.0,-3.0,3409.0,3008.0,23.0,3279.0,4192.0,22.0,130.0,-1184.0,1.0
8009,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,6,Red,top,Shinsekai,Resurgence,Soraka,Aphelios,Olaf,Senna,Yuumi,Blitzcrank,1967,0,1,1,4,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6908,210.7168,0.203806,17,0.5186,7,0.2135,8,30.0,0.9151,9096,4808,146.6599,0.17573,9100.0,,176.0,176.0,0,0,0,5.3686,3101.0,4547.0,74.0,3693.0,4208.0,76.0,-592.0,339.0,-2.0,4337.0,6240.0,101.0,5597.0,6427.0,108.0,-1260.0,-187.0,-7.0
8010,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,7,Red,jng,Gengar,Resurgence,Sejuani,Aphelios,Olaf,Senna,Yuumi,Blitzcrank,1967,0,0,3,3,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6120,186.6802,0.180558,11,0.3355,21,0.6406,11,47.0,1.4337,8391,4103,125.1551,0.14996099999999998,8375.0,,170.0,33.0,137,102,4,5.1856,2837.0,2962.0,57.0,3557.0,3211.0,57.0,-720.0,-249.0,0.0,4349.0,5270.0,98.0,5045.0,4838.0,82.0,-696.0,432.0,16.0
8011,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,8,Red,mid,Raven,Resurgence,Qiyana,Aphelios,Olaf,Senna,Yuumi,Blitzcrank,1967,0,2,4,2,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7515,229.2323,0.221714,19,0.5796,14,0.427,12,50.0,1.5252,11179,6891,210.1983,0.251867,11200.0,,250.0,243.0,7,1,0,7.6258,3384.0,4405.0,77.0,3619.0,4291.0,81.0,-235.0,114.0,-4.0,5031.0,6651.0,124.0,5903.0,6798.0,127.0,-872.0,-147.0,-3.0
8012,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,9,Red,bot,Mexi,Resurgence,Miss Fortune,Aphelios,Olaf,Senna,Yuumi,Blitzcrank,1967,0,2,3,2,5,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1525,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10064,306.9853,0.296917,15,0.4575,14,0.427,7,49.0,1.4947,13810,9522,290.4525,0.348034,13025.0,,349.0,325.0,24,24,0,10.6457,3630.0,2913.0,89.0,3650.0,3666.0,83.0,-20.0,-753.0,6.0,5301.0,4545.0,135.0,6004.0,5559.0,123.0,-703.0,-1014.0,12.0
8013,ESPORTSTMNT02/1287017,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1287017?gameHash=d67578b107a8a58f&amp;tab=overview,PCS,2020,Spring,0,2020-02-29 11:22:48,1,10.03,10,Red,sup,Dennis,Resurgence,Thresh,Aphelios,Olaf,Senna,Yuumi,Blitzcrank,1967,0,0,4,4,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525,0.6101,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3288,100.2949,0.0970055,56,1.7082,7,0.2135,17,65.0,1.9827,6324,2036,62.1047,0.07440880000000001,5750.0,,31.0,31.0,0,0,0,0.9456,2308.0,2829.0,15.0,2101.0,2243.0,12.0,207.0,586.0,3.0,3279.0,4192.0,22.0,3409.0,3008.0,23.0,-130.0,1184.0,-1.0
