,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
300,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,1,Blue,top,Aliez,Victory Five,Kennen,Rumble,Elise,Qiyana,Pantheon,Irelia,1645,0,0,6,0,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,7578,276.4012,0.20160699999999998,10,0.3647,3,0.1094,5,18.0,0.6565,7486,3855,140.6079,0.17235699999999998,7210.0,,164.0,157.0,7,4,0,5.9818,3167.0,4823.0,84.0,3175.0,4739.0,74.0,-8.0,84.0,10.0,4449.0,6414.0,115.0,5114.0,7630.0,118.0,-665.0,-1216.0,-3.0
301,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,2,Blue,jng,xiaohan,Victory Five,Olaf,Rumble,Elise,Qiyana,Pantheon,Irelia,1645,0,0,4,1,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,4332,158.0061,0.11525,7,0.2553,11,0.4012,8,34.0,1.2401,7135,3504,127.8055,0.156662,6525.0,,139.0,30.0,109,72,19,5.0699,3101.0,2989.0,67.0,3312.0,3039.0,51.0,-211.0,-50.0,16.0,4288.0,4435.0,90.0,5049.0,5126.0,78.0,-761.0,-691.0,12.0
302,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,3,Blue,mid,Mole,Victory Five,Ryze,Rumble,Elise,Qiyana,Pantheon,Irelia,1645,0,1,5,0,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,14316,522.1641,0.380866,14,0.5106,1,0.0365,8,20.0,0.7295,10705,7074,258.0182,0.316294,10650.0,,245.0,230.0,15,12,1,8.9362,3381.0,4995.0,96.0,3332.0,4991.0,93.0,49.0,4.0,3.0,5271.0,7353.0,148.0,5629.0,7717.0,141.0,-358.0,-364.0,7.0
303,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,4,Blue,bot,y4,Victory Five,Lucian,Rumble,Elise,Qiyana,Pantheon,Irelia,1645,0,0,4,1,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0365,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,7330,267.3556,0.195009,10,0.3647,9,0.3283,2,43.0,1.5684,9978,6347,231.5015,0.28378600000000004,9500.0,,255.0,235.0,20,13,4,9.3009,3229.0,3196.0,85.0,3829.0,3145.0,90.0,-600.0,51.0,-5.0,5135.0,4734.0,123.0,5664.0,5330.0,138.0,-529.0,-596.0,-15.0
304,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,5,Blue,sup,poge,Victory Five,Braum,Rumble,Elise,Qiyana,Pantheon,Irelia,1645,0,0,5,1,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,4032,147.0638,0.107268,34,1.2401,6,0.2188,15,58.0,2.1155,5217,1586,57.848,0.0708997,5025.0,,31.0,31.0,0,0,0,1.1307,2015.0,2261.0,13.0,2558.0,2840.0,12.0,-543.0,-579.0,1.0,2943.0,3571.0,21.0,3781.0,4057.0,19.0,-838.0,-486.0,2.0
305,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,6,Red,top,Jinoo,EDward Gaming,Renekton,Akali,Aphelios,Zoe,LeBlanc,Mordekaiser,1645,1,3,0,8,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8754,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,9369,341.7264,0.188185,16,0.5836,9,0.3283,8,43.0,1.5684,11213,7582,276.5471,0.21342199999999997,10475.0,,226.0,207.0,19,4,8,8.2432,3175.0,4739.0,74.0,3167.0,4823.0,84.0,8.0,-84.0,-10.0,5114.0,7630.0,118.0,4449.0,6414.0,115.0,665.0,1216.0,3.0
306,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,7,Red,jng,Jiejie,EDward Gaming,Taliyah,Akali,Aphelios,Zoe,LeBlanc,Mordekaiser,1645,1,4,0,17,24,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8754,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,13530,493.4954,0.27176300000000003,21,0.766,4,0.1459,8,41.0,1.4954,10426,6795,247.8419,0.191268,8850.0,,149.0,23.0,126,80,8,5.4347,3312.0,3039.0,51.0,3101.0,2989.0,67.0,211.0,50.0,-16.0,5049.0,5126.0,78.0,4288.0,4435.0,90.0,761.0,691.0,-12.0
307,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,8,Red,mid,Scout,EDward Gaming,Cassiopeia,Akali,Aphelios,Zoe,LeBlanc,Mordekaiser,1645,1,8,1,6,24,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8754,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,12974,473.2158,0.26059499999999997,13,0.4742,6,0.2188,5,28.0,1.0213,12207,8576,312.8024,0.241403,10925.0,,223.0,209.0,14,14,0,8.1337,3332.0,4991.0,93.0,3381.0,4995.0,96.0,-49.0,-4.0,-3.0,5629.0,7717.0,141.0,5271.0,7353.0,148.0,358.0,364.0,-7.0
308,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,9,Red,bot,Hope,EDward Gaming,Miss Fortune,Akali,Aphelios,Zoe,LeBlanc,Mordekaiser,1645,1,7,0,4,24,1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8754,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,8934,325.8602,0.179448,12,0.4377,10,0.3647,5,43.0,1.5684,12352,8721,318.0912,0.24548499999999998,10525.0,,257.0,221.0,36,16,8,9.3739,3829.0,3145.0,90.0,3229.0,3196.0,85.0,600.0,-51.0,5.0,5664.0,5330.0,138.0,5135.0,4734.0,123.0,529.0,596.0,15.0
309,5661-7265,complete,https://lpl.qq.com/es/stats.shtml?bmid=5661,LPL,2020,Spring,0,2020-01-16 09:41:00,1,10.1,10,Red,sup,Meiko,EDward Gaming,Leona,Akali,Aphelios,Zoe,LeBlanc,Mordekaiser,1645,1,2,0,12,24,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8754,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,,4979,181.6049,0.100008,44,1.6049,3,0.1094,16,71.0,2.5897,7483,3852,140.4985,0.108422,6450.0,,26.0,26.0,0,0,0,0.9483,2558.0,2840.0,12.0,2015.0,2261.0,13.0,543.0,579.0,-1.0,3781.0,4057.0,19.0,2943.0,3571.0,21.0,838.0,486.0,-2.0
