,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
25380,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,1,Blue,top,klowny,SuppUp eSports,Renekton,Sejuani,Blitzcrank,Irelia,Ornn,Kassadin,1799,0,2,1,2,9,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11192,373.274,0.194701,13,0.4336,1,0.0334,4,26.0,0.8671,12479,8533,284.5914,0.298245,11700.0,,311.0,287.0,24,9,4,10.3724,3358.0,4836.0,91.0,3034.0,4553.0,75.0,324.0,283.0,16.0,5759.0,7754.0,158.0,4520.0,7017.0,114.0,1239.0,737.0,44.0
25381,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,2,Blue,jng,Spooky,SuppUp eSports,Elise,Sejuani,Blitzcrank,Irelia,Ornn,Kassadin,1799,0,0,5,7,9,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6922,230.8616,0.12041800000000001,10,0.3335,9,0.3002,10,39.0,1.3007,9012,5066,168.9605,0.177073,9000.0,,147.0,25.0,122,85,5,4.9027,2759.0,2893.0,53.0,2924.0,3027.0,62.0,-165.0,-134.0,-9.0,4566.0,4844.0,80.0,4236.0,4721.0,89.0,330.0,123.0,-9.0
25382,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,3,Blue,mid,Lukezy,SuppUp eSports,Cassiopeia,Sejuani,Blitzcrank,Irelia,Ornn,Kassadin,1799,0,7,3,1,9,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25170,839.4664,0.43786899999999995,12,0.4002,2,0.0667,3,23.0,0.7671,12501,8555,285.3252,0.299014,12275.0,,247.0,220.0,27,20,3,8.2379,3386.0,4750.0,94.0,3524.0,5065.0,101.0,-138.0,-315.0,-7.0,5985.0,8159.0,149.0,5393.0,7751.0,145.0,592.0,408.0,4.0
25383,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,4,Blue,bot,Vzz,SuppUp eSports,Varus,Sejuani,Blitzcrank,Irelia,Ornn,Kassadin,1799,0,0,5,3,9,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3002,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9933,331.284,0.172799,12,0.4002,6,0.2001,4,27.0,0.9005,8303,4357,145.3141,0.152293,7660.0,,189.0,182.0,7,1,3,6.3035,2893.0,2642.0,69.0,3558.0,3108.0,95.0,-665.0,-466.0,-26.0,4436.0,4565.0,111.0,5281.0,5399.0,144.0,-845.0,-834.0,-33.0
25384,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,5,Blue,sup,whiteinn,SuppUp eSports,Nautilus,Sejuani,Blitzcrank,Irelia,Ornn,Kassadin,1799,0,0,3,4,9,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4266,142.279,0.0742132,37,1.234,5,0.1668,9,64.0,2.1345,6045,2099,70.0056,0.07337569999999999,5725.0,,36.0,36.0,0,0,0,1.2007,1956.0,2881.0,13.0,2248.0,3132.0,14.0,-292.0,-251.0,-1.0,3070.0,4589.0,24.0,3671.0,4261.0,22.0,-601.0,328.0,2.0
25385,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,6,Red,top,Tolkin,mousesports,Maokai,Sett,Pantheon,Kalista,Gragas,Kindred,1799,1,1,1,5,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13647,455.1529,0.21144000000000002,13,0.4336,4,0.1334,4,29.0,0.9672,10988,7042,234.8638,0.186856,10170.0,,234.0,220.0,14,7,0,7.8043,3034.0,4553.0,75.0,3358.0,4836.0,91.0,-324.0,-283.0,-16.0,4520.0,7017.0,114.0,5759.0,7754.0,158.0,-1239.0,-737.0,-44.0
25386,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,7,Red,jng,Obsess,mousesports,Trundle,Sett,Pantheon,Kalista,Gragas,Kindred,1799,1,1,3,7,17,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.567,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5656,188.6381,0.0876315,12,0.4002,5,0.1668,13,40.0,1.3341,9135,5189,173.0628,0.13769,8925.0,,139.0,8.0,131,70,17,4.6359,2924.0,3027.0,62.0,2759.0,2893.0,53.0,165.0,134.0,9.0,4236.0,4721.0,89.0,4566.0,4844.0,80.0,-330.0,-123.0,9.0
25387,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,8,Red,mid,LIDER,mousesports,Akali,Sett,Pantheon,Kalista,Gragas,Kindred,1799,1,7,2,4,17,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14950,498.6103,0.231629,7,0.2335,3,0.1001,4,19.0,0.6337,14336,10390,346.5258,0.275687,13600.0,,272.0,248.0,24,16,8,9.0717,3524.0,5065.0,101.0,3386.0,4750.0,94.0,138.0,315.0,7.0,5393.0,7751.0,145.0,5985.0,8159.0,149.0,-592.0,-408.0,-4.0
25388,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,9,Red,bot,Jeskla,mousesports,Aphelios,Sett,Pantheon,Kalista,Gragas,Kindred,1799,1,7,1,6,17,10,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.567,0.8671,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25599,853.7743,0.396619,14,0.4669,6,0.2001,5,30.0,1.0006,14809,10863,362.3013,0.28823699999999997,12075.0,,284.0,262.0,22,19,0,9.4719,3558.0,3108.0,95.0,2893.0,2642.0,69.0,665.0,466.0,26.0,5281.0,5399.0,144.0,4436.0,4565.0,111.0,845.0,834.0,33.0
25389,ESPORTSTMNT06/1180916,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1180916?gameHash=981268a91963ae48&amp;tab=overview,EM,2020,Spring,0,2020-04-22 17:00:07,1,10.07,10,Red,sup,promisq,mousesports,Thresh,Sett,Pantheon,Kalista,Gragas,Kindred,1799,1,1,3,11,17,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.567,0.8671,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4691,156.4536,0.0726802,39,1.3007,13,0.4336,13,78.0,2.6014,8149,4203,140.1779,0.111529,6675.0,,33.0,33.0,0,0,0,1.1006,2248.0,3132.0,14.0,1956.0,2881.0,13.0,292.0,251.0,1.0,3671.0,4261.0,22.0,3070.0,4589.0,24.0,601.0,-328.0,-2.0
