,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
216,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,1,Blue,top,Curse,Oh My God,Aatrox,Pantheon,Qiyana,Varus,Miss Fortune,Lee Sin,1666,0,3,3,1,5,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1801,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,10253,369.2557,0.282296,10,0.3601,3,0.108,3,20.0,0.7203,10421,6747,242.9892,0.26821999999999996,10250.0,,229.0,208.0,21,10,0,8.2473,3686.0,4476.0,89.0,3592.0,4650.0,83.0,94.0,-174.0,6.0,5998.0,7401.0,141.0,5332.0,7134.0,133.0,666.0,267.0,8.0
217,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,2,Blue,jng,H4cker,Oh My God,Jarvan IV,Pantheon,Qiyana,Varus,Miss Fortune,Lee Sin,1666,0,1,5,3,5,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1801,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,4209,151.5846,0.11588699999999999,29,1.0444,15,0.5402,10,58.0,2.0888,7636,3962,142.6891,0.157501,7640.0,,134.0,21.0,113,91,0,4.8259,2934.0,2741.0,56.0,3659.0,3626.0,67.0,-725.0,-885.0,-11.0,4524.0,4380.0,79.0,5064.0,5331.0,99.0,-540.0,-951.0,-20.0
218,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,3,Blue,mid,icon,Oh My God,Cassiopeia,Pantheon,Qiyana,Varus,Miss Fortune,Lee Sin,1666,0,0,3,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1801,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,5849,210.6483,0.16104100000000002,18,0.6483,5,0.1801,9,25.0,0.9004,9758,6084,219.1116,0.241862,9525.0,,261.0,245.0,16,16,0,9.3998,3305.0,4533.0,92.0,3298.0,4990.0,88.0,7.0,-457.0,4.0,5291.0,7943.0,151.0,5050.0,7689.0,142.0,241.0,254.0,9.0
219,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,4,Blue,bot,Smlz,Oh My God,Aphelios,Pantheon,Qiyana,Varus,Miss Fortune,Lee Sin,1666,0,1,2,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1801,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,12445,448.1993,0.342649,11,0.3962,8,0.2881,4,23.0,0.8283,10034,6360,229.0516,0.252835,9375.0,,255.0,244.0,11,9,0,9.1837,3579.0,3221.0,98.0,3329.0,3428.0,94.0,250.0,-207.0,4.0,5346.0,5503.0,148.0,5406.0,5690.0,150.0,-60.0,-187.0,-2.0
220,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,5,Blue,sup,cold,Oh My God,Braum,Pantheon,Qiyana,Varus,Miss Fortune,Lee Sin,1666,0,0,3,3,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1801,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,3564,128.3553,0.0981278,41,1.4766,7,0.2521,15,57.0,2.0528,5676,2002,72.1008,0.0795808,5075.0,,28.0,28.0,0,0,0,1.0084,2111.0,3040.0,13.0,2123.0,2834.0,14.0,-12.0,206.0,-1.0,3075.0,3883.0,18.0,3082.0,3996.0,19.0,-7.0,-113.0,-1.0
221,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,6,Red,top,Zoom,JD Gaming,Ornn,Akali,Lucian,Rumble,Mordekaiser,Irelia,1666,1,2,1,9,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,6937,249.8319,0.139216,14,0.5042,4,0.1441,5,27.0,0.9724,10648,6974,251.1645,0.19939400000000002,9475.0,,233.0,225.0,8,5,0,8.3914,3592.0,4650.0,83.0,3686.0,4476.0,89.0,-94.0,174.0,-6.0,5332.0,7134.0,133.0,5998.0,7401.0,141.0,-666.0,-267.0,-8.0
222,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,7,Red,jng,Kanavi,JD Gaming,Kindred,Akali,Lucian,Rumble,Mordekaiser,Irelia,1666,1,3,1,11,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5762,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,10794,388.7395,0.216621,7,0.2521,17,0.6122,7,46.0,1.6567,10435,6761,243.4934,0.193304,9060.0,,175.0,24.0,151,94,16,6.3025,3659.0,3626.0,67.0,2934.0,2741.0,56.0,725.0,885.0,11.0,5064.0,5331.0,99.0,4524.0,4380.0,79.0,540.0,951.0,20.0
223,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,8,Red,mid,Yagao,JD Gaming,LeBlanc,Akali,Lucian,Rumble,Mordekaiser,Irelia,1666,1,3,1,8,16,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,12412,447.0108,0.249092,6,0.2161,14,0.5042,4,27.0,0.9724,12041,8367,301.3325,0.239223,9275.0,,269.0,253.0,16,12,4,9.6879,3298.0,4990.0,88.0,3305.0,4533.0,92.0,-7.0,457.0,-4.0,5050.0,7689.0,142.0,5291.0,7943.0,151.0,-241.0,-254.0,-9.0
224,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,9,Red,bot,LokeN,JD Gaming,Caitlyn,Akali,Lucian,Rumble,Mordekaiser,Irelia,1666,1,8,0,4,16,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,15903,572.7371,0.319151,12,0.4322,12,0.4322,8,38.0,1.3685,13778,10104,363.8896,0.288887,11375.0,,300.0,292.0,8,4,0,10.8043,3329.0,3428.0,94.0,3579.0,3221.0,98.0,-250.0,207.0,-4.0,5406.0,5690.0,150.0,5346.0,5503.0,148.0,60.0,187.0,2.0
225,5658-7257,complete,https://lpl.qq.com/es/stats.shtml?bmid=5658,LPL,2020,Spring,0,2020-01-14 11:21:00,1,10.1,10,Red,sup,LvMao,JD Gaming,Nautilus,Akali,Lucian,Rumble,Mordekaiser,Irelia,1666,1,0,2,11,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762,0.7563,,,,,,,,,,,,,,,,,,,,,,,,,,3783,136.2425,0.0759196,42,1.5126,13,0.4682,10,66.0,2.377,6444,2770,99.7599,0.079193,5500.0,,33.0,33.0,0,0,0,1.1885,2123.0,2834.0,14.0,2111.0,3040.0,13.0,12.0,-206.0,1.0,3082.0,3996.0,19.0,3075.0,3883.0,18.0,7.0,113.0,1.0
