,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
29208,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,1,Blue,top,Eloh,Chiefs Academy,Maokai,Syndra,Zoe,Senna,Mordekaiser,Tahm Kench,2756,0,5,4,25,37,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8055,1.5022,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29611,644.6517,0.177548,24,0.5225,4,0.0871,13,41.0,0.8926,13974,8076,175.82,0.157683,14235.0,,189.0,185.0,4,0,0,4.1147,3052.0,4286.0,65.0,3007.0,4761.0,76.0,45.0,-475.0,-11.0,4748.0,6555.0,96.0,4577.0,6423.0,98.0,171.0,132.0,-2.0
29209,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,2,Blue,jng,PADO,Chiefs Academy,Lee Sin,Syndra,Zoe,Senna,Mordekaiser,Tahm Kench,2756,0,4,6,27,37,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8055,1.5022,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19698,428.8389,0.11810999999999999,29,0.6313,8,0.1742,16,51.0,1.1103,15035,9137,198.9187,0.178398,14650.0,,230.0,47.0,183,104,33,5.0073,3243.0,2989.0,57.0,2757.0,2521.0,46.0,486.0,468.0,11.0,4490.0,4177.0,76.0,4523.0,4215.0,69.0,-33.0,-38.0,7.0
29210,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,3,Blue,mid,Dragku,Chiefs Academy,Corki,Syndra,Zoe,Senna,Mordekaiser,Tahm Kench,2756,0,18,5,14,37,32,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8055,1.5022,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,65047,1416.1176,0.390024,16,0.3483,16,0.3483,5,67.0,1.4586,23671,17773,386.9303,0.347011,21808.0,,367.0,284.0,83,42,30,7.9898,3367.0,5011.0,86.0,3315.0,4944.0,91.0,52.0,67.0,-5.0,5324.0,7346.0,125.0,5582.0,7592.0,141.0,-258.0,-246.0,-16.0
29211,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,4,Blue,bot,KimJun,Chiefs Academy,Varus,Syndra,Zoe,Senna,Mordekaiser,Tahm Kench,2756,0,6,5,23,37,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8055,1.5022,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,40052,871.9594,0.24015300000000003,18,0.3919,22,0.479,9,73.0,1.5893,16465,10567,230.0508,0.20631799999999997,14725.0,,267.0,259.0,8,4,0,5.8128,2941.0,3041.0,74.0,3357.0,2731.0,72.0,-416.0,310.0,2.0,4685.0,4896.0,102.0,6094.0,4741.0,107.0,-1409.0,155.0,-5.0
29212,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,5,Blue,sup,Shinki,Chiefs Academy,Nautilus,Syndra,Zoe,Senna,Mordekaiser,Tahm Kench,2756,0,4,12,19,37,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8055,1.5022,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12369,269.2816,0.07416489999999999,74,1.611,9,0.1959,26,119.0,2.5907,11562,5664,123.3091,0.11059000000000001,11200.0,,36.0,36.0,0,0,0,0.7837,2138.0,2192.0,17.0,2352.0,2437.0,11.0,-214.0,-245.0,6.0,3305.0,3199.0,22.0,4424.0,3826.0,20.0,-1119.0,-627.0,2.0
29213,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,6,Red,top,unknown player,UQ Union,Malphite,Ornn,Urgot,Trundle,Sylas,LeBlanc,2756,1,2,9,6,32,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6967,1.5022,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9142,199.0276,0.0627928,14,0.3048,9,0.1959,0,49.0,1.0668,13195,7297,158.8607,0.139034,12800.0,,213.0,209.0,4,1,0,4.6372,3007.0,4761.0,76.0,3052.0,4286.0,65.0,-45.0,475.0,11.0,4577.0,6423.0,98.0,4748.0,6555.0,96.0,-171.0,-132.0,2.0
29214,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,7,Red,jng,Sybol,UQ Union,Sejuani,Ornn,Urgot,Trundle,Sylas,LeBlanc,2756,1,3,8,21,32,37,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6967,1.5022,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15671,341.1684,0.10763800000000001,11,0.2395,12,0.2612,11,68.0,1.4804,15026,9128,198.7228,0.17392,12925.0,,186.0,58.0,128,63,7,4.0493,2757.0,2521.0,46.0,3243.0,2989.0,57.0,-486.0,-468.0,-11.0,4523.0,4215.0,69.0,4490.0,4177.0,76.0,33.0,38.0,-7.0
29215,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,8,Red,mid,Amitle,UQ Union,Cassiopeia,Ornn,Urgot,Trundle,Sylas,LeBlanc,2756,1,8,8,11,32,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6967,1.5022,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,37262,811.2192,0.255938,18,0.3919,5,0.1089,7,54.0,1.1756,18113,12215,265.9289,0.232737,16110.0,,300.0,280.0,20,12,8,6.5312,3315.0,4944.0,91.0,3367.0,5011.0,86.0,-52.0,-67.0,5.0,5582.0,7592.0,141.0,5324.0,7346.0,125.0,258.0,246.0,16.0
29216,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,9,Red,bot,Farmer,UQ Union,Miss Fortune,Ornn,Urgot,Trundle,Sylas,LeBlanc,2756,1,14,4,12,32,37,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6967,1.5022,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,60119,1308.8316,0.412934,17,0.3701,13,0.283,5,58.0,1.2627,22885,16987,369.8186,0.32365900000000003,20255.0,,345.0,300.0,45,45,0,7.5109,3357.0,2731.0,72.0,2941.0,3041.0,74.0,416.0,-310.0,-2.0,6094.0,4741.0,107.0,4685.0,4896.0,102.0,1409.0,-155.0,5.0
29217,ESPORTSTMNT03/1380687,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1380687?gameHash=06d0570899ddc367,OCS,2020,,0,2020-05-21 06:40:15,1,10.1,10,Red,sup,unknown player,UQ Union,Sett,Ornn,Urgot,Trundle,Sylas,LeBlanc,2756,1,5,8,11,32,37,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6967,1.5022,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23396,509.3469,0.160698,57,1.2409,17,0.3701,15,121.0,2.6343,12755,6857,149.2816,0.13065,12225.0,,47.0,47.0,0,0,0,1.0232,2352.0,2437.0,11.0,2138.0,2192.0,17.0,214.0,245.0,-6.0,4424.0,3826.0,20.0,3305.0,3199.0,22.0,1119.0,627.0,-2.0
