,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22404,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,1,Blue,top,Pidgey,V5 87,Ornn,Jarvan IV,Wukong,Aphelios,Thresh,Taric,1264,1,1,0,12,19,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9019,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,7072,335.6962,0.162582,8,0.3797,2,0.0949,3,12.0,0.5696,8323,5469,259.6044,0.196007,7095.0,,140.0,140.0,0,0,0,6.6456,3070.0,3877.0,71.0,2860.0,3947.0,69.0,210.0,-70.0,2.0,6081.0,6764.0,110.0,4211.0,5823.0,104.0,1870.0,941.0,6.0
22405,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,2,Blue,jng,XiaoYang,V5 87,Kindred,Jarvan IV,Wukong,Aphelios,Thresh,Taric,1264,1,11,1,5,19,4,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9019,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,10332,490.443,0.23752800000000002,3,0.1424,6,0.2848,3,19.0,0.9019,11136,8282,393.1329,0.296827,9200.0,,145.0,34.0,111,68,17,6.8829,3956.0,3510.0,61.0,2760.0,2604.0,44.0,1196.0,906.0,17.0,6676.0,6440.0,106.0,4241.0,4305.0,75.0,2435.0,2135.0,31.0
22406,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,3,Blue,mid,Windy,V5 87,Neeko,Jarvan IV,Wukong,Aphelios,Thresh,Taric,1264,1,4,1,11,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,13259,629.3829,0.304819,10,0.4747,6,0.2848,3,23.0,1.0918,8632,5778,274.2722,0.20708200000000002,7450.0,,166.0,162.0,4,4,0,7.8797,3445.0,4591.0,81.0,2781.0,4374.0,65.0,664.0,217.0,16.0,5616.0,7516.0,127.0,4549.0,6897.0,113.0,1067.0,619.0,14.0
22407,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,4,Blue,bot,Ch1rry,V5 87,Varus,Jarvan IV,Wukong,Aphelios,Thresh,Taric,1264,1,2,1,10,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,9662,458.6392,0.222125,7,0.3323,4,0.1899,3,19.0,0.9019,8352,5498,260.981,0.197047,7050.0,,157.0,142.0,15,9,4,7.4525,3334.0,3000.0,76.0,3022.0,2950.0,70.0,312.0,50.0,6.0,5572.0,5523.0,118.0,4699.0,4672.0,115.0,873.0,851.0,3.0
22408,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,5,Blue,sup,Yuen,V5 87,Braum,Jarvan IV,Wukong,Aphelios,Thresh,Taric,1264,1,1,1,13,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,3173,150.6171,0.0729459,23,1.0918,5,0.2373,10,47.0,2.231,5729,2875,136.4715,0.10303599999999999,4735.0,,22.0,22.0,0,0,0,1.0443,2407.0,2429.0,10.0,1969.0,2136.0,12.0,438.0,293.0,-2.0,3778.0,3551.0,17.0,2894.0,3047.0,17.0,884.0,504.0,0.0
22409,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,6,Red,top,Clowz,WanZhen Esports Club,Renekton,Yasuo,Sett,Jayce,Olaf,Lee Sin,1264,0,0,5,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1899,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,4749,225.4272,0.16609000000000002,8,0.3797,1,0.0475,3,15.0,0.712,6094,3240,153.7975,0.201442,6075.0,,152.0,152.0,0,0,0,7.2152,2860.0,3947.0,69.0,3070.0,3877.0,71.0,-210.0,70.0,-2.0,4211.0,5823.0,104.0,6081.0,6764.0,110.0,-1870.0,-941.0,-6.0
22410,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,7,Red,jng,sixsix9,WanZhen Esports Club,Elise,Yasuo,Sett,Jayce,Olaf,Lee Sin,1264,0,2,3,0,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,6952,330.0,0.24313600000000002,14,0.6646,7,0.3323,5,28.0,1.3291,6121,3267,155.0791,0.203121,6075.0,,93.0,10.0,83,67,0,4.4146,2760.0,2604.0,44.0,3956.0,3510.0,61.0,-1196.0,-906.0,-17.0,4241.0,4305.0,75.0,6676.0,6440.0,106.0,-2435.0,-2135.0,-31.0
22411,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,8,Red,mid,Truth,WanZhen Esports Club,Sylas,Yasuo,Sett,Jayce,Olaf,Lee Sin,1264,0,0,3,2,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,7411,351.788,0.259189,12,0.5696,2,0.0949,6,18.0,0.8544,6516,3662,173.8291,0.227681,6160.0,,155.0,151.0,4,4,0,7.3576,2781.0,4374.0,65.0,3445.0,4591.0,81.0,-664.0,-217.0,-16.0,4549.0,6897.0,113.0,5616.0,7516.0,127.0,-1067.0,-619.0,-14.0
22412,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,9,Red,bot,Mine,WanZhen Esports Club,Kalista,Yasuo,Sett,Jayce,Olaf,Lee Sin,1264,0,1,3,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,6031,286.2816,0.21092600000000003,7,0.3323,2,0.0949,1,13.0,0.6171,7199,4345,206.25,0.270148,6975.0,,170.0,166.0,4,4,0,8.0696,3022.0,2950.0,70.0,3334.0,3000.0,76.0,-312.0,-50.0,-6.0,4699.0,4672.0,115.0,5572.0,5523.0,118.0,-873.0,-851.0,-3.0
22413,6103-7598,complete,https://lpl.qq.com/es/stats.shtml?bmid=6103,LDL,2020,Spring,0,2020-04-15 07:14:00,1,10.06,10,Red,sup,1874,WanZhen Esports Club,Nautilus,Yasuo,Sett,Jayce,Olaf,Lee Sin,1264,0,1,5,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899,1.0918,,,,,,,,,,,,,,,,,,,,,,,,,,3450,163.7658,0.12065899999999999,17,0.807,1,0.0475,5,32.0,1.519,4424,1570,74.5253,0.0976074,4125.0,,24.0,24.0,0,0,0,1.1392,1969.0,2136.0,12.0,2407.0,2429.0,10.0,-438.0,-293.0,2.0,2894.0,3047.0,17.0,3778.0,3551.0,17.0,-884.0,-504.0,0.0
