,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
840,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,1,Blue,top,Fitz,FURIA Esports,Renekton,Elise,Rumble,Mordekaiser,Lee Sin,LeBlanc,2082,1,4,3,5,15,9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4323,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20854,600.9798,0.23149,15,0.4323,5,0.1441,4,40.0,1.1527,15408,10885,313.6888,0.256818,14200.0,,320.0,294.0,26,10,4,9.2219,3792.0,4813.0,87.0,3153.0,4547.0,80.0,639.0,266.0,7.0,5574.0,7334.0,137.0,4667.0,7038.0,125.0,907.0,296.0,12.0
841,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,2,Blue,jng,Minerva,FURIA Esports,Jarvan IV,Elise,Rumble,Mordekaiser,Lee Sin,LeBlanc,2082,1,0,2,15,15,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4323,0.6916,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,4357,125.562,0.0483649,15,0.4323,26,0.7493,14,72.0,2.0749,10958,6435,185.4467,0.151827,10100.0,,164.0,32.0,132,87,1,4.7262,3034.0,3125.0,58.0,2899.0,2876.0,59.0,135.0,249.0,-1.0,4593.0,4602.0,87.0,4571.0,4773.0,91.0,22.0,-171.0,-4.0
842,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,3,Blue,mid,Anyyy,FURIA Esports,Zoe,Elise,Rumble,Mordekaiser,Lee Sin,LeBlanc,2082,1,4,0,10,15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4323,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30393,875.879,0.337378,16,0.4611,8,0.2305,6,52.0,1.4986,13551,9028,260.1729,0.21300500000000003,12800.0,,270.0,234.0,36,20,12,7.781,3267.0,4692.0,89.0,3126.0,4749.0,82.0,141.0,-57.0,7.0,5413.0,7148.0,139.0,4939.0,7226.0,136.0,474.0,-78.0,3.0
843,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,4,Blue,bot,Alternative,FURIA Esports,Aphelios,Elise,Rumble,Mordekaiser,Lee Sin,LeBlanc,2082,1,6,1,6,15,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4323,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29792,858.5591,0.330706,18,0.5187,6,0.1729,7,55.0,1.585,16694,12171,350.7493,0.287159,14425.0,,350.0,287.0,63,38,8,10.0865,3432.0,3360.0,97.0,3076.0,3128.0,79.0,356.0,232.0,18.0,5506.0,5808.0,148.0,4771.0,5743.0,128.0,735.0,65.0,20.0
844,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,5,Blue,sup,Damage,FURIA Esports,Nautilus,Elise,Rumble,Mordekaiser,Lee Sin,LeBlanc,2082,1,1,3,8,15,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4323,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4690,135.1585,0.0520614,57,1.6427,10,0.2882,16,102.0,2.9395,8388,3865,111.3833,0.09119160000000001,8050.0,,34.0,34.0,0,0,0,0.9798,2188.0,2523.0,12.0,2030.0,2557.0,13.0,158.0,-34.0,-1.0,3188.0,3594.0,20.0,3022.0,3284.0,18.0,166.0,310.0,2.0
845,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,6,Red,top,Parang,KaBuM! e-Sports,Aatrox,Akali,Qiyana,Lucian,Irelia,Fiora,2082,0,3,1,5,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2594,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22729,655.0144,0.355696,15,0.4323,1,0.0288,5,27.0,0.7781,12795,8272,238.3862,0.257533,12725.0,,265.0,246.0,19,15,0,7.6369,3153.0,4547.0,80.0,3792.0,4813.0,87.0,-639.0,-266.0,-7.0,4667.0,7038.0,125.0,5574.0,7334.0,137.0,-907.0,-296.0,-12.0
846,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,7,Red,jng,Wiz,KaBuM! e-Sports,Nidalee,Akali,Qiyana,Lucian,Irelia,Fiora,2082,0,4,0,2,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2594,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,8967,258.415,0.140329,16,0.4611,22,0.634,14,69.0,1.9885,10923,6400,184.438,0.19925299999999999,10850.0,,198.0,46.0,152,128,3,5.7061,2899.0,2876.0,59.0,3034.0,3125.0,58.0,-135.0,-249.0,1.0,4571.0,4773.0,91.0,4593.0,4602.0,87.0,-22.0,171.0,4.0
847,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,8,Red,mid,Tutsz,KaBuM! e-Sports,Kassadin,Akali,Qiyana,Lucian,Irelia,Fiora,2082,0,2,4,2,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2594,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14951,430.8646,0.233975,11,0.317,4,0.1153,4,22.0,0.634,13029,8506,245.1297,0.264818,12950.0,,322.0,306.0,16,12,0,9.2795,3126.0,4749.0,82.0,3267.0,4692.0,89.0,-141.0,57.0,-7.0,4939.0,7226.0,136.0,5413.0,7148.0,139.0,-474.0,78.0,-3.0
848,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,9,Red,bot,Disave,KaBuM! e-Sports,Senna,Akali,Qiyana,Lucian,Irelia,Fiora,2082,0,0,4,8,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2594,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14980,431.7003,0.234429,12,0.3458,5,0.1441,2,25.0,0.7205,11429,6906,199.0202,0.215006,11375.0,,259.0,245.0,14,14,0,7.464,3076.0,3128.0,79.0,3432.0,3360.0,97.0,-356.0,-232.0,-18.0,4771.0,5743.0,128.0,5506.0,5808.0,148.0,-735.0,-65.0,-20.0
849,ESPORTSTMNT03/1301251,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301251?gameHash=0717ecad97ae838d,CBLOL,2020,Split 1,0,2020-01-25 19:14:07,1,10.01,10,Red,sup,Ceos,KaBuM! e-Sports,Leona,Akali,Qiyana,Lucian,Irelia,Fiora,2082,0,0,6,5,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2594,0.6916,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2273,65.5043,0.0355712,63,1.8156,7,0.2017,24,87.0,2.5072,6559,2036,58.6744,0.0633899,6250.0,,25.0,25.0,0,0,0,0.7205,2030.0,2557.0,13.0,2188.0,2523.0,12.0,-158.0,34.0,1.0,3022.0,3284.0,18.0,3188.0,3594.0,20.0,-166.0,-310.0,-2.0
