,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
18888,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,1,Blue,top,Smacl3r,Kenty,Sett,Cassiopeia,Renekton,Senna,LeBlanc,Thresh,2606,1,0,5,7,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684,0.8058,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11299,260.1458,0.10456199999999999,19,0.4375,10,0.2302,5,48.0,1.1051,13995,8403,193.4689,0.17708800000000002,12208.0,,265.0,259.0,6,2,0,6.1013,2751.0,3437.0,58.0,3267.0,3918.0,67.0,-516.0,-481.0,-9.0,4000.0,5277.0,88.0,5025.0,5954.0,110.0,-1025.0,-677.0,-22.0
18889,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,2,Blue,jng,Warden,Kenty,Rek'Sai,Cassiopeia,Renekton,Senna,LeBlanc,Thresh,2606,1,3,2,10,16,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684,0.8058,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17312,398.5879,0.160207,9,0.2072,23,0.5295,8,65.0,1.4965,15368,9776,225.0806,0.206023,14375.0,,266.0,43.0,223,141,16,6.1243,3316.0,3304.0,62.0,2944.0,2679.0,52.0,372.0,625.0,10.0,4689.0,5284.0,101.0,4363.0,3740.0,69.0,326.0,1544.0,32.0
18890,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,3,Blue,mid,Rimtuolis,Kenty,Ziggs,Cassiopeia,Renekton,Senna,LeBlanc,Thresh,2606,1,7,3,3,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684,0.8058,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,37738,868.8718,0.34923200000000004,20,0.4605,5,0.1151,6,41.0,0.944,17805,12213,281.1896,0.25738,15550.0,,320.0,296.0,24,24,0,7.3676,3194.0,4623.0,85.0,3080.0,4559.0,79.0,114.0,64.0,6.0,4557.0,6516.0,123.0,4708.0,7041.0,127.0,-151.0,-525.0,-4.0
18891,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,4,Blue,bot,Nemky,Kenty,Varus,Cassiopeia,Renekton,Senna,LeBlanc,Thresh,2606,1,6,2,6,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684,0.8058,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,34506,794.4589,0.319323,19,0.4375,36,0.8289,5,86.0,1.98,18523,12931,297.7206,0.272511,17625.0,,353.0,338.0,15,8,4,8.1274,3625.0,2957.0,78.0,3681.0,3318.0,74.0,-56.0,-361.0,4.0,5159.0,4838.0,119.0,5414.0,4797.0,106.0,-255.0,41.0,13.0
18892,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,5,Blue,sup,SpieleAufDeutsch,Kenty,Nautilus,Cassiopeia,Renekton,Senna,LeBlanc,Thresh,2606,1,0,7,6,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3684,0.8058,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7205,165.8864,0.0666759,82,1.888,13,0.2993,23,129.0,2.9701,9720,4128,95.0422,0.08699689999999999,8625.0,,47.0,43.0,4,0,0,1.0821,2586.0,2828.0,19.0,2883.0,2621.0,12.0,-297.0,207.0,7.0,3678.0,3954.0,29.0,4025.0,3419.0,18.0,-347.0,535.0,11.0
18893,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,6,Red,top,Truklax,For The Win Esports,Gangplank,Diana,Kalista,Ornn,Wukong,Syndra,2606,0,8,3,6,19,16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.8058,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31097,715.9708,0.342482,19,0.4375,7,0.1612,4,39.0,0.8979,18735,13143,302.6017,0.286563,17363.0,,336.0,296.0,40,36,0,7.736,3267.0,3918.0,67.0,2751.0,3437.0,58.0,516.0,481.0,9.0,5025.0,5954.0,110.0,4000.0,5277.0,88.0,1025.0,677.0,22.0
18894,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,7,Red,jng,Own3r,For The Win Esports,Lee Sin,Diana,Kalista,Ornn,Wukong,Syndra,2606,0,0,6,11,19,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.8058,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6886,158.5418,0.07583780000000001,23,0.5295,10,0.2302,14,51.0,1.1742,12275,6683,153.868,0.145714,12425.0,,203.0,44.0,159,107,6,4.6738,2944.0,2679.0,52.0,3316.0,3304.0,62.0,-372.0,-625.0,-10.0,4363.0,3740.0,69.0,4689.0,5284.0,101.0,-326.0,-1544.0,-32.0
18895,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,8,Red,mid,Xaky,For The Win Esports,Zoe,Diana,Kalista,Ornn,Wukong,Syndra,2606,0,5,2,8,19,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.8058,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,26537,610.9823,0.292261,13,0.2993,11,0.2533,3,53.0,1.2203,15743,10151,233.7145,0.22132800000000002,15925.0,,296.0,278.0,18,18,0,6.815,3080.0,4559.0,79.0,3194.0,4623.0,85.0,-114.0,-64.0,-6.0,4708.0,7041.0,127.0,4557.0,6516.0,123.0,151.0,525.0,4.0
18896,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,9,Red,bot,Afm,For The Win Esports,Aphelios,Diana,Kalista,Ornn,Wukong,Syndra,2606,0,3,4,12,19,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4375,0.8058,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20722,477.099,0.22821799999999998,20,0.4605,16,0.3684,12,62.0,1.4275,16473,10881,250.5219,0.237244,16300.0,,329.0,301.0,28,23,0,7.5748,3681.0,3318.0,74.0,3625.0,2957.0,78.0,56.0,361.0,-4.0,5414.0,4797.0,106.0,5159.0,4838.0,119.0,255.0,-41.0,-13.0
18897,ESPORTSTMNT06/1190182,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190182?gameHash=9dc711bba5557c48,EM,2020,Spring,0,2020-04-06 16:38:08,1,10.07,10,Red,sup,Joo,For The Win Esports,Leona,Diana,Kalista,Ornn,Wukong,Syndra,2606,0,3,1,10,19,16,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4375,0.8058,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5557,127.9432,0.061201099999999994,81,1.8649,23,0.5295,27,141.0,3.2464,10598,5006,115.2571,0.10915,9575.0,,45.0,45.0,0,0,0,1.0361,2883.0,2621.0,12.0,2586.0,2828.0,19.0,297.0,-207.0,-7.0,4025.0,3419.0,18.0,3678.0,3954.0,29.0,347.0,-535.0,-11.0
