,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
552,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,1,Blue,top,SALUT A TOUS,GameWard,Mordekaiser,Fiora,Jarvan IV,Olaf,Orianna,LeBlanc,2152,1,1,1,2,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3346,0.474,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7776,216.803,0.124448,18,0.5019,4,0.1115,7,42.0,1.171,14185,9519,265.3996,0.23415100000000003,14225.0,,333.0,313.0,20,4,5,9.2844,3484.0,4922.0,99.0,3095.0,4644.0,81.0,389.0,278.0,18.0,5237.0,7667.0,155.0,4702.0,7447.0,127.0,535.0,220.0,28.0
553,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,2,Blue,jng,Karimkt,GameWard,Qiyana,Fiora,Jarvan IV,Olaf,Orianna,LeBlanc,2152,1,1,3,4,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3346,0.474,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7624,212.5651,0.12201500000000001,29,0.8086,18,0.5019,9,67.0,1.868,10103,5437,151.5892,0.133744,9500.0,,161.0,29.0,132,107,2,4.4888,2686.0,2400.0,48.0,3061.0,3238.0,67.0,-375.0,-838.0,-19.0,3750.0,3441.0,68.0,5326.0,5694.0,108.0,-1576.0,-2253.0,-40.0
554,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,3,Blue,mid,Von,GameWard,Cassiopeia,Fiora,Jarvan IV,Olaf,Orianna,LeBlanc,2152,1,9,1,2,12,5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3346,0.474,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,27603,769.6004,0.44176099999999996,17,0.474,13,0.3625,6,59.0,1.645,16993,12327,343.6896,0.303221,15550.0,,353.0,329.0,24,13,0,9.842,3496.0,5184.0,101.0,3470.0,5021.0,97.0,26.0,163.0,4.0,5112.0,7364.0,147.0,6528.0,8416.0,159.0,-1416.0,-1052.0,-12.0
555,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,4,Blue,bot,Seelame,GameWard,Senna,Fiora,Jarvan IV,Olaf,Orianna,LeBlanc,2152,1,0,0,10,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3346,0.474,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14798,412.5836,0.23682899999999998,18,0.5019,10,0.2788,9,47.0,1.3104,14271,9605,267.7974,0.23626599999999998,13375.0,,304.0,296.0,8,8,0,8.4758,3120.0,2806.0,76.0,3111.0,2793.0,78.0,9.0,13.0,-2.0,4738.0,5061.0,125.0,4960.0,5158.0,132.0,-222.0,-97.0,-7.0
556,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,5,Blue,sup,Enjawve,GameWard,Tahm Kench,Fiora,Jarvan IV,Olaf,Orianna,LeBlanc,2152,1,1,0,5,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3346,0.474,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4683,130.5669,0.07494719999999999,49,1.3662,13,0.3625,18,81.0,2.2584,8431,3765,104.9721,0.0926173,7700.0,,41.0,41.0,0,0,0,1.1431,2042.0,2746.0,12.0,2017.0,2609.0,11.0,25.0,137.0,1.0,3192.0,4247.0,27.0,3069.0,3589.0,21.0,123.0,658.0,6.0
557,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,6,Red,top,Kaze,Team MCES,Ornn,Lee Sin,Sylas,Akali,Rumble,Aatrox,2152,0,0,1,1,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.474,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10258,286.0037,0.201592,14,0.3903,2,0.0558,5,28.0,0.7807,11153,6487,180.8643,0.192276,10675.0,,262.0,258.0,4,0,0,7.3048,3095.0,4644.0,81.0,3484.0,4922.0,99.0,-389.0,-278.0,-18.0,4702.0,7447.0,127.0,5237.0,7667.0,155.0,-535.0,-220.0,-28.0
558,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,7,Red,jng,Djoko,Team MCES,Rek'Sai,Lee Sin,Sylas,Akali,Rumble,Aatrox,2152,0,1,3,2,5,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1394,0.474,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6501,181.2546,0.12775899999999998,25,0.697,16,0.4461,12,65.0,1.8123,11081,6415,178.8569,0.190142,10975.0,,230.0,38.0,192,130,4,6.4126,3061.0,3238.0,67.0,2686.0,2400.0,48.0,375.0,838.0,19.0,5326.0,5694.0,108.0,3750.0,3441.0,68.0,1576.0,2253.0,40.0
559,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,8,Red,mid,Jester,Team MCES,Vel'Koz,Lee Sin,Sylas,Akali,Rumble,Aatrox,2152,0,3,3,1,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.474,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,17792,496.0595,0.34965100000000005,21,0.5855,7,0.1952,9,40.0,1.1152,14232,9566,266.71,0.283534,14225.0,,315.0,283.0,32,20,8,8.7825,3470.0,5021.0,97.0,3496.0,5184.0,101.0,-26.0,-163.0,-4.0,6528.0,8416.0,159.0,5112.0,7364.0,147.0,1416.0,1052.0,12.0
560,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,9,Red,bot,Yuuki60,Team MCES,Miss Fortune,Lee Sin,Sylas,Akali,Rumble,Aatrox,2152,0,1,2,1,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.474,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13857,386.3476,0.27232,10,0.2788,9,0.2509,2,33.0,0.9201,13444,8778,244.7398,0.260179,12900.0,,318.0,298.0,20,17,0,8.8662,3111.0,2793.0,78.0,3120.0,2806.0,76.0,-9.0,-13.0,2.0,4960.0,5158.0,132.0,4738.0,5061.0,125.0,222.0,97.0,7.0
561,ESPORTSTMNT01/1270545,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1270545?gameHash=c8418212daf264f6&amp;tab=overview,LFL,2020,Spring,0,2020-01-21 20:16:43,1,10.01,10,Red,sup,Moopz,Team MCES,Thresh,Lee Sin,Sylas,Akali,Rumble,Aatrox,2152,0,0,3,3,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1394,0.474,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2477,69.0613,0.0486784,57,1.5892,21,0.5855,18,101.0,2.816,7158,2492,69.4796,0.0738693,6400.0,,45.0,45.0,0,0,0,1.2546,2017.0,2609.0,11.0,2042.0,2746.0,12.0,-25.0,-137.0,-1.0,3069.0,3589.0,21.0,3192.0,4247.0,27.0,-123.0,-658.0,-6.0
