,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
61752,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,1,Blue,top,Dethron,Iron Wolves,Camille,Karthus,Thresh,Karma,Nautilus,Gnar,1687,0,3,2,1,6,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134,0.8892,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7291,259.3124,0.280294,8,0.2845,6,0.2134,0,22.0,0.7825,11928,8211,292.0332,0.30694299999999997,10533.0,,252.0,236.0,16,1,5,8.9627,3284.0,4449.0,75.0,3417.0,4426.0,80.0,-133.0,23.0,-5.0,4812.0,7044.0,121.0,5568.0,7454.0,136.0,-756.0,-410.0,-15.0
61754,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,2,Blue,jng,AGENTAS,Iron Wolves,Volibear,Karthus,Thresh,Karma,Nautilus,Gnar,1687,0,1,4,2,6,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134,0.8892,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4541,161.5056,0.174573,6,0.2134,5,0.1778,6,26.0,0.9247,8100,4383,155.8862,0.16384400000000002,7850.0,,141.0,18.0,123,91,4,5.0148,3000.0,3253.0,61.0,3066.0,3343.0,65.0,-66.0,-90.0,-4.0,4624.0,5430.0,94.0,5060.0,5786.0,107.0,-436.0,-356.0,-13.0
61756,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,3,Blue,mid,Saulius,Iron Wolves,Azir,Karthus,Thresh,Karma,Nautilus,Gnar,1687,0,1,3,0,6,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134,0.8892,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5587,198.7078,0.214785,14,0.4979,10,0.3557,5,41.0,1.4582,10353,6636,236.0166,0.24806599999999998,10475.0,,237.0,221.0,16,12,4,8.4292,3270.0,4581.0,88.0,3237.0,4761.0,78.0,33.0,-180.0,10.0,5244.0,7556.0,144.0,5420.0,7533.0,133.0,-176.0,23.0,11.0
61758,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,4,Blue,bot,Yashiro,Iron Wolves,Jhin,Karthus,Thresh,Karma,Nautilus,Gnar,1687,0,1,2,2,6,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2134,0.8892,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5705,202.9046,0.219322,15,0.5335,2,0.0711,8,22.0,0.7825,9094,5377,191.2389,0.201002,8700.0,,210.0,198.0,12,8,0,7.4689,3795.0,3254.0,90.0,3550.0,3099.0,86.0,245.0,155.0,4.0,5469.0,5075.0,138.0,5414.0,5311.0,138.0,55.0,-236.0,0.0
61760,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,5,Blue,sup,Xavieles,Iron Wolves,Leona,Karthus,Thresh,Karma,Nautilus,Gnar,1687,0,0,8,5,6,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2134,0.8892,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2888,102.7149,0.111026,32,1.1381,9,0.3201,11,66.0,2.3474,5861,2144,76.2537,0.0801447,5575.0,,37.0,37.0,0,0,0,1.3159,2260.0,2439.0,13.0,2179.0,2949.0,12.0,81.0,-510.0,1.0,3221.0,3796.0,20.0,3569.0,4618.0,20.0,-348.0,-822.0,0.0
61762,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,6,Red,top,F4rg,SAMCLAN Esports Club,Shen,Caitlyn,Azir,Ashe,Camille,Irelia,1687,1,3,1,7,19,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6758,0.8892,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6117,217.5578,0.10065700000000001,13,0.4624,1,0.0356,6,25.0,0.8892,11269,7552,268.5951,0.20749,9850.0,,248.0,240.0,8,8,0,8.8204,3417.0,4426.0,80.0,3284.0,4449.0,75.0,133.0,-23.0,5.0,5568.0,7454.0,136.0,4812.0,7044.0,121.0,756.0,410.0,15.0
61764,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,7,Red,jng,Travanques,SAMCLAN Esports Club,Nidalee,Caitlyn,Azir,Ashe,Camille,Irelia,1687,1,5,1,4,19,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6758,0.8892,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,6944,246.971,0.114265,6,0.2134,9,0.3201,6,40.0,1.4226,11271,7554,268.6663,0.20754499999999998,9550.0,,215.0,18.0,197,119,21,7.6467,3066.0,3343.0,65.0,3000.0,3253.0,61.0,66.0,90.0,4.0,5060.0,5786.0,107.0,4624.0,5430.0,94.0,436.0,356.0,13.0
61766,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,8,Red,mid,Noma,SAMCLAN Esports Club,Ziggs,Caitlyn,Azir,Ashe,Camille,Irelia,1687,1,4,0,10,19,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6758,0.8892,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23701,842.952,0.390005,15,0.5335,8,0.2845,6,33.0,1.1737,12143,8426,299.6799,0.23150300000000001,10700.0,,259.0,247.0,12,12,0,9.2116,3237.0,4761.0,78.0,3270.0,4581.0,88.0,-33.0,180.0,-10.0,5420.0,7533.0,133.0,5244.0,7556.0,144.0,176.0,-23.0,-11.0
61768,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,9,Red,bot,Gotzy,SAMCLAN Esports Club,Ezreal,Caitlyn,Azir,Ashe,Camille,Irelia,1687,1,5,2,9,19,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6758,0.8892,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15098,536.9769,0.248441,10,0.3557,5,0.1778,2,26.0,0.9247,12320,8603,305.9751,0.236366,11950.0,,234.0,226.0,8,8,0,8.3225,3550.0,3099.0,86.0,3795.0,3254.0,90.0,-245.0,-155.0,-4.0,5414.0,5311.0,138.0,5469.0,5075.0,138.0,-55.0,236.0,0.0
61770,ESPORTSTMNT06/1310172,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1310172?gameHash=bbdb1618e3e5c8d2,EM,2020,Summer,0,2020-08-17 15:27:59,1,10.16,10,Red,sup,Calmsky,SAMCLAN Esports Club,Nautilus,Caitlyn,Azir,Ashe,Camille,Irelia,1687,1,2,2,16,19,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6758,0.8892,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8911,316.9295,0.14663199999999998,36,1.2804,6,0.2134,8,68.0,2.4185,7979,4262,151.5827,0.117097,6720.0,,27.0,27.0,0,0,0,0.9603,2179.0,2949.0,12.0,2260.0,2439.0,13.0,-81.0,510.0,-1.0,3569.0,4618.0,20.0,3221.0,3796.0,20.0,348.0,822.0,0.0
