,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
18852,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,1,Blue,top,IceBreaker,WLGaming Esports,Sett,Ezreal,Caitlyn,Lee Sin,Elise,Gragas,1917,0,2,3,4,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3756,1.0329,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14017,438.7167,0.238904,13,0.4069,1,0.0313,3,32.0,1.0016,12452,8266,258.7167,0.24088800000000002,11025.0,,243.0,223.0,20,5,8,7.6056,3097.0,4674.0,79.0,3274.0,4876.0,74.0,-177.0,-202.0,5.0,4895.0,7133.0,124.0,4925.0,7494.0,121.0,-30.0,-361.0,3.0
18853,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,2,Blue,jng,DoubleAiM,WLGaming Esports,Trundle,Ezreal,Caitlyn,Lee Sin,Elise,Gragas,1917,0,0,6,6,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3756,1.0329,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5382,168.4507,0.0917303,10,0.313,20,0.626,10,41.0,1.2833,8374,4188,131.0798,0.12204300000000001,7700.0,,146.0,38.0,108,74,4,4.5696,3115.0,3273.0,60.0,3611.0,3284.0,42.0,-496.0,-11.0,18.0,4712.0,4709.0,91.0,5028.0,4830.0,65.0,-316.0,-121.0,26.0
18854,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,3,Blue,mid,Paris,WLGaming Esports,Taliyah,Ezreal,Caitlyn,Lee Sin,Elise,Gragas,1917,0,5,3,2,12,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3756,1.0329,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,17170,537.4022,0.292644,12,0.3756,6,0.1878,2,27.0,0.8451,13511,9325,291.8623,0.27175,13200.0,,278.0,229.0,49,37,5,8.7011,3892.0,4633.0,77.0,3856.0,4739.0,87.0,36.0,-106.0,-10.0,5618.0,7199.0,127.0,6442.0,7448.0,146.0,-824.0,-249.0,-19.0
18855,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,4,Blue,bot,Bananitoo,WLGaming Esports,Miss Fortune,Ezreal,Caitlyn,Lee Sin,Elise,Gragas,1917,0,5,3,3,12,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3756,1.0329,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,18544,580.4069,0.316062,9,0.2817,13,0.4069,2,28.0,0.8764,14230,10044,314.3662,0.292704,14500.0,,337.0,316.0,21,17,0,10.5477,3897.0,3477.0,89.0,4128.0,3158.0,77.0,-231.0,319.0,12.0,5658.0,5588.0,132.0,6565.0,5004.0,122.0,-907.0,584.0,10.0
18856,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,5,Blue,sup,HungryPanda,WLGaming Esports,Nautilus,Ezreal,Caitlyn,Lee Sin,Elise,Gragas,1917,0,0,6,6,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3756,1.0329,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3559,111.3928,0.060659300000000006,42,1.3146,9,0.2817,15,66.0,2.0657,6678,2492,77.9969,0.0726161,6075.0,,39.0,39.0,0,0,0,1.2207,2229.0,2880.0,15.0,2458.0,3121.0,11.0,-229.0,-241.0,4.0,3387.0,3818.0,25.0,4002.0,4356.0,18.0,-615.0,-538.0,7.0
18857,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,6,Red,top,Phoenix,Sector One,Aatrox,Cassiopeia,Yasuo,Syndra,Ekko,Olaf,1917,1,2,0,8,21,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573,1.0329,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14493,453.615,0.180864,13,0.4069,1,0.0313,3,32.0,1.0016,12353,8167,255.6182,0.203377,11535.0,,243.0,211.0,32,12,0,7.6056,3274.0,4876.0,74.0,3097.0,4674.0,79.0,177.0,202.0,-5.0,4925.0,7494.0,121.0,4895.0,7133.0,124.0,30.0,361.0,-3.0
18858,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,7,Red,jng,dibu,Sector One,Jarvan IV,Cassiopeia,Yasuo,Syndra,Ekko,Olaf,1917,1,2,5,16,21,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6573,1.0329,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7517,235.2739,0.0938077,31,0.9703,11,0.3443,12,61.0,1.9092,9694,5508,172.3944,0.137159,8950.0,,101.0,29.0,72,52,5,3.1612,3611.0,3284.0,42.0,3115.0,3273.0,60.0,496.0,11.0,-18.0,5028.0,4830.0,65.0,4712.0,4709.0,91.0,316.0,121.0,-26.0
18859,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,8,Red,mid,Night,Sector One,Ziggs,Cassiopeia,Yasuo,Syndra,Ekko,Olaf,1917,1,5,1,7,21,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573,1.0329,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,31188,976.1502,0.389208,19,0.5947,5,0.1565,9,39.0,1.2207,14395,10209,319.5305,0.254229,13475.0,,301.0,289.0,12,12,0,9.421,3856.0,4739.0,87.0,3892.0,4633.0,77.0,-36.0,106.0,10.0,6442.0,7448.0,146.0,5618.0,7199.0,127.0,824.0,249.0,19.0
18860,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,9,Red,bot,Practice,Sector One,Aphelios,Cassiopeia,Yasuo,Syndra,Ekko,Olaf,1917,1,10,4,5,21,12,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6573,1.0329,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23004,720.0,0.287076,13,0.4069,11,0.3443,6,42.0,1.3146,15652,11466,358.8732,0.285532,14100.0,,275.0,227.0,48,33,8,8.6072,4128.0,3158.0,77.0,3897.0,3477.0,89.0,231.0,-319.0,-12.0,6565.0,5004.0,122.0,5658.0,5588.0,132.0,907.0,-584.0,-10.0
18861,ESPORTSTMNT06/1190178,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190178?gameHash=4d5c75d7845dd2fd,EM,2020,Spring,0,2020-04-06 16:37:01,1,10.07,10,Red,sup,Saviour,Sector One,Thresh,Cassiopeia,Yasuo,Syndra,Ekko,Olaf,1917,1,2,2,17,21,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6573,1.0329,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3930,123.0047,0.0490441,31,0.9703,12,0.3756,7,71.0,2.2222,8993,4807,150.4538,0.119702,7055.0,,31.0,31.0,0,0,0,0.9703,2458.0,3121.0,11.0,2229.0,2880.0,15.0,229.0,241.0,-4.0,4002.0,4356.0,18.0,3387.0,3818.0,25.0,615.0,538.0,-7.0
