,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
18876,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,1,Blue,top,Psclly,Racoon,Sett,Miss Fortune,Syndra,Rek'Sai,Sejuani,Jarvan IV,2937,1,4,6,9,25,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5107,0.8376,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26412,539.571,0.17553,28,0.572,10,0.2043,13,64.0,1.3075,17352,11085,226.4556,0.194429,17208.0,,330.0,316.0,14,11,0,6.7416,4015.0,4471.0,73.0,3203.0,4504.0,77.0,812.0,-33.0,-4.0,6039.0,7566.0,134.0,4963.0,7126.0,124.0,1076.0,440.0,10.0
18877,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,2,Blue,jng,Ploxy,Racoon,Lee Sin,Miss Fortune,Syndra,Rek'Sai,Sejuani,Jarvan IV,2937,1,6,1,15,25,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5107,0.8376,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23043,470.7457,0.15314,27,0.5516,11,0.2247,14,70.0,1.43,16868,10601,216.5679,0.18594000000000002,15625.0,,209.0,26.0,183,123,10,4.2697,3281.0,3084.0,56.0,2621.0,2408.0,44.0,660.0,676.0,12.0,5666.0,5410.0,88.0,4113.0,4884.0,84.0,1553.0,526.0,4.0
18878,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,3,Blue,mid,Cohle,Racoon,Ziggs,Miss Fortune,Syndra,Rek'Sai,Sejuani,Jarvan IV,2937,1,8,2,10,25,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5107,0.8376,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,55872,1141.4096,0.371317,19,0.3882,1,0.0204,8,39.0,0.7967,22322,16055,327.9877,0.28160300000000005,20175.0,,415.0,363.0,52,40,4,8.478,2924.0,3771.0,64.0,2741.0,3772.0,60.0,183.0,-1.0,4.0,5866.0,6587.0,119.0,4100.0,6008.0,96.0,1766.0,579.0,23.0
18879,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,4,Blue,bot,Rharesh,Racoon,Varus,Miss Fortune,Syndra,Rek'Sai,Sejuani,Jarvan IV,2937,1,7,1,10,25,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107,0.8376,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,38768,791.9918,0.257646,19,0.3882,26,0.5312,3,118.0,2.4106,21277,15010,306.6394,0.26327399999999995,18025.0,,445.0,387.0,58,32,8,9.0909,3262.0,3316.0,88.0,2986.0,3273.0,75.0,276.0,43.0,13.0,5510.0,5365.0,138.0,4828.0,5541.0,127.0,682.0,-176.0,11.0
18880,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,5,Blue,sup,S1d,Racoon,Braum,Miss Fortune,Syndra,Rek'Sai,Sejuani,Jarvan IV,2937,1,0,6,18,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107,0.8376,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6375,130.2349,0.042367199999999994,80,1.6343,12,0.2451,20,129.0,2.6353,10529,4262,87.0684,0.074754,8800.0,,36.0,36.0,0,0,0,0.7354,2108.0,2644.0,11.0,1966.0,2245.0,13.0,142.0,399.0,-2.0,3259.0,3676.0,15.0,2927.0,3396.0,20.0,332.0,280.0,-5.0
18881,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,6,Red,top,Frozen,Electronik Generation,Gangplank,Pantheon,Taliyah,LeBlanc,Blitzcrank,Nautilus,2937,0,4,3,8,16,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269,0.8376,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,43625,891.2155,0.397588,17,0.3473,8,0.1634,0,36.0,0.7354,21220,14953,305.475,0.29781599999999997,20108.0,,403.0,379.0,24,13,4,8.2329,3203.0,4504.0,77.0,4015.0,4471.0,73.0,-812.0,33.0,4.0,4963.0,7126.0,124.0,6039.0,7566.0,134.0,-1076.0,-440.0,-10.0
18882,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,7,Red,jng,ReAt1vo,Electronik Generation,Zac,Pantheon,Taliyah,LeBlanc,Blitzcrank,Nautilus,2937,0,2,6,10,16,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269,0.8376,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16385,334.7293,0.149329,13,0.2656,16,0.3269,10,58.0,1.1849,13922,7655,156.3841,0.152462,12800.0,,204.0,43.0,161,123,4,4.1675,2621.0,2408.0,44.0,3281.0,3084.0,56.0,-660.0,-676.0,-12.0,4113.0,4884.0,84.0,5666.0,5410.0,88.0,-1553.0,-526.0,-4.0
18883,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,8,Red,mid,Blizz,Electronik Generation,Sylas,Pantheon,Taliyah,LeBlanc,Blitzcrank,Nautilus,2937,0,4,5,4,16,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3269,0.8376,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13555,276.9152,0.123537,23,0.4699,8,0.1634,11,68.0,1.3892,16300,10033,204.9642,0.199825,15900.0,,294.0,273.0,21,17,0,6.0061,2741.0,3772.0,60.0,2924.0,3771.0,64.0,-183.0,1.0,-4.0,4100.0,6008.0,96.0,5866.0,6587.0,119.0,-1766.0,-579.0,-23.0
18884,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,9,Red,bot,Worst,Electronik Generation,Aphelios,Pantheon,Taliyah,LeBlanc,Blitzcrank,Nautilus,2937,0,5,4,8,16,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269,0.8376,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,29055,593.5649,0.264801,15,0.3064,12,0.2451,3,39.0,0.7967,20121,13854,283.0235,0.275927,17325.0,,429.0,367.0,62,55,0,8.764,2986.0,3273.0,75.0,3262.0,3316.0,88.0,-276.0,-43.0,-13.0,4828.0,5541.0,127.0,5510.0,5365.0,138.0,-682.0,176.0,-11.0
18885,ESPORTSTMNT06/1190181,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190181?gameHash=9b283eba8b23e2c0,EM,2020,Spring,0,2020-04-06 16:37:49,1,10.07,10,Red,sup,Slayer,Electronik Generation,Thresh,Pantheon,Taliyah,LeBlanc,Blitzcrank,Nautilus,2937,0,1,7,9,16,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269,0.8376,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7104,145.1277,0.0647443,83,1.6956,12,0.2451,28,139.0,2.8396,9981,3714,75.8733,0.0739698,9750.0,,38.0,38.0,0,0,0,0.7763,1966.0,2245.0,13.0,2108.0,2644.0,11.0,-142.0,-399.0,2.0,2927.0,3396.0,20.0,3259.0,3676.0,15.0,-332.0,-280.0,5.0
