,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
120,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,1,Blue,top,TheShy,Invictus Gaming,Aatrox,Pantheon,Nautilus,Elise,Gangplank,Mordekaiser,2640,1,11,6,13,28,29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,42830,973.4091,0.297061,17,0.3864,7,0.1591,2,37.0,0.8409,20569,14908,338.8182,0.275458,16850.0,,299.0,276.0,23,14,0,6.7955,3269.0,4842.0,81.0,2898.0,4137.0,59.0,371.0,705.0,22.0,6373.0,7975.0,137.0,4738.0,6159.0,84.0,1635.0,1816.0,53.0
121,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,2,Blue,jng,Ning,Invictus Gaming,Qiyana,Pantheon,Nautilus,Elise,Gangplank,Mordekaiser,2640,1,0,7,11,28,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,9984,226.9091,0.06924730000000001,66,1.5,43,0.9773,15,151.0,3.4318,13988,8327,189.25,0.153858,13400.0,,285.0,83.0,202,134,16,6.4773,3031.0,3034.0,63.0,3106.0,3186.0,50.0,-75.0,-152.0,13.0,4500.0,4688.0,92.0,4403.0,4565.0,72.0,97.0,123.0,20.0
122,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,3,Blue,mid,Rookie,Invictus Gaming,Rumble,Pantheon,Nautilus,Elise,Gangplank,Mordekaiser,2640,1,7,8,13,28,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6364,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,38663,878.7045,0.26816,13,0.2955,8,0.1818,10,38.0,0.8636,16447,10786,245.1364,0.199294,16600.0,,273.0,246.0,27,19,0,6.2045,3189.0,4539.0,82.0,3894.0,4818.0,98.0,-705.0,-279.0,-16.0,4763.0,6351.0,117.0,6770.0,8541.0,168.0,-2007.0,-2190.0,-51.0
123,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,4,Blue,bot,Puff,Invictus Gaming,Senna,Pantheon,Nautilus,Elise,Gangplank,Mordekaiser,2640,1,8,3,17,28,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,42401,963.6591,0.294086,12,0.2727,19,0.4318,3,42.0,0.9545,20479,14818,336.7727,0.27379499999999996,20525.0,,343.0,319.0,24,19,2,7.7955,2967.0,2660.0,72.0,3375.0,3250.0,88.0,-408.0,-590.0,-16.0,4702.0,4149.0,106.0,5901.0,5646.0,138.0,-1199.0,-1497.0,-32.0
124,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,5,Blue,sup,Southwind,Invictus Gaming,Braum,Pantheon,Nautilus,Elise,Gangplank,Mordekaiser,2640,1,2,5,21,28,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,10301,234.1136,0.07144589999999999,70,1.5909,11,0.25,21,108.0,2.4545,10943,5282,120.0455,0.0975942,9675.0,,37.0,37.0,0,0,0,0.8409,2066.0,2128.0,13.0,2082.0,2116.0,11.0,-16.0,12.0,2.0,3677.0,3917.0,24.0,3162.0,3144.0,20.0,515.0,773.0,4.0
125,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,6,Red,top,Khan,FunPlus Phoenix,Ornn,Aphelios,Akali,Lucian,Varus,Xayah,2640,0,7,4,16,29,28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6591,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,20268,460.6364,0.160494,33,0.75,12,0.2727,19,48.0,1.0909,13663,8002,181.8636,0.170716,13075.0,,157.0,149.0,8,0,0,3.5682,2898.0,4137.0,59.0,3269.0,4842.0,81.0,-371.0,-705.0,-22.0,4738.0,6159.0,84.0,6373.0,7975.0,137.0,-1635.0,-1816.0,-53.0
126,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,7,Red,jng,Tian,FunPlus Phoenix,Jarvan IV,Aphelios,Akali,Lucian,Varus,Xayah,2640,0,4,9,18,29,28,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6591,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,13983,317.7955,0.110726,19,0.4318,26,0.5909,21,58.0,1.3182,12455,6794,154.4091,0.14494400000000002,11750.0,,160.0,37.0,123,70,16,3.6364,3106.0,3186.0,50.0,3031.0,3034.0,63.0,75.0,152.0,-13.0,4403.0,4565.0,72.0,4500.0,4688.0,92.0,-97.0,-123.0,-20.0
127,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,8,Red,mid,Doinb,FunPlus Phoenix,Ryze,Aphelios,Akali,Lucian,Varus,Xayah,2640,0,8,5,14,29,28,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6591,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,42079,956.3409,0.33320700000000003,24,0.5455,6,0.1364,6,101.0,2.2955,19842,14181,322.2955,0.302543,20850.0,,416.0,286.0,130,92,9,9.4545,3894.0,4818.0,98.0,3189.0,4539.0,82.0,705.0,279.0,16.0,6770.0,8541.0,168.0,4763.0,6351.0,117.0,2007.0,2190.0,51.0
128,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,9,Red,bot,Lwx,FunPlus Phoenix,Miss Fortune,Aphelios,Akali,Lucian,Varus,Xayah,2640,0,9,5,12,29,28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6591,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,42554,967.1364,0.336968,13,0.2955,7,0.1591,3,43.0,0.9773,19560,13899,315.8864,0.296527,18375.0,,372.0,330.0,42,42,0,8.4545,3375.0,3250.0,88.0,2967.0,2660.0,72.0,408.0,590.0,16.0,5901.0,5646.0,138.0,4702.0,4149.0,106.0,1199.0,1497.0,32.0
129,5655-7249,complete,https://lpl.qq.com/es/stats.shtml?bmid=5655,LPL,2020,Spring,0,2020-01-13 09:22:00,1,10.1,10,Red,sup,Crisp,FunPlus Phoenix,Leona,Aphelios,Akali,Lucian,Varus,Xayah,2640,0,1,5,18,29,28,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6591,1.2955,,,,,,,,,,,,,,,,,,,,,,,,,,7401,168.2045,0.0586055,77,1.75,22,0.5,26,132.0,3.0,9658,3997,90.8409,0.0852705,8600.0,,41.0,41.0,0,0,0,0.9318,2082.0,2116.0,11.0,2066.0,2128.0,13.0,16.0,-12.0,-2.0,3162.0,3144.0,20.0,3677.0,3917.0,24.0,-515.0,-773.0,-4.0
