,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
768,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,1,Blue,top,Yang,paiN Gaming,Gangplank,Nautilus,Qiyana,Lucian,LeBlanc,Irelia,2436,0,5,5,7,15,23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3695,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30190,743.5961,0.299183,19,0.468,11,0.2709,5,39.0,0.9606,16322,11077,272.8325,0.280225,16108.0,,280.0,272.0,8,1,0,6.8966,3207.0,4583.0,80.0,3086.0,4854.0,77.0,121.0,-271.0,3.0,5181.0,6488.0,107.0,4752.0,6906.0,118.0,429.0,-418.0,-11.0
769,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,2,Blue,jng,SeongHwan,paiN Gaming,Rek'Sai,Nautilus,Qiyana,Lucian,LeBlanc,Irelia,2436,0,1,7,8,15,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3695,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9382,231.0837,0.0929758,41,1.0099,22,0.5419,15,93.0,2.2906,11053,5808,143.0542,0.14693,10475.0,,213.0,37.0,176,133,7,5.2463,3055.0,3001.0,69.0,3010.0,2947.0,61.0,45.0,54.0,8.0,4635.0,5169.0,110.0,4745.0,4675.0,95.0,-110.0,494.0,15.0
770,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,3,Blue,mid,tinowns,paiN Gaming,Rumble,Nautilus,Qiyana,Lucian,LeBlanc,Irelia,2436,0,2,2,11,15,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3695,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26951,663.8177,0.267085,29,0.7143,2,0.0493,17,36.0,0.8867,12696,7451,183.5222,0.188494,12475.0,,249.0,237.0,12,7,0,6.133,3140.0,4710.0,86.0,3237.0,4613.0,85.0,-97.0,97.0,1.0,5341.0,7075.0,131.0,4894.0,6098.0,99.0,447.0,977.0,32.0
771,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,4,Blue,bot,brTT,paiN Gaming,Varus,Nautilus,Qiyana,Lucian,LeBlanc,Irelia,2436,0,6,5,8,15,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3695,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,27039,665.9852,0.267957,11,0.2709,17,0.4187,3,44.0,1.0837,17276,12031,296.33,0.304359,17175.0,,367.0,339.0,28,19,0,9.0394,3467.0,3284.0,98.0,3281.0,3455.0,88.0,186.0,-171.0,10.0,6309.0,5650.0,144.0,5291.0,5223.0,123.0,1018.0,427.0,21.0
772,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,5,Blue,sup,Key,paiN Gaming,Braum,Nautilus,Qiyana,Lucian,LeBlanc,Irelia,2436,0,1,4,12,15,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3695,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7346,180.936,0.072799,64,1.5764,13,0.3202,19,112.0,2.7586,8407,3162,77.8818,0.0799913,8375.0,,37.0,37.0,0,0,0,0.9113,2076.0,2670.0,12.0,2009.0,2467.0,12.0,67.0,203.0,0.0,3576.0,3779.0,17.0,3533.0,3903.0,23.0,43.0,-124.0,-6.0
773,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,6,Red,top,WooFe,Flamengo Esports,Renekton,Akali,Aphelios,Miss Fortune,Ornn,Jarvan IV,2436,1,3,4,11,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5665,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12646,311.4778,0.14438199999999998,26,0.6404,20,0.4926,12,62.0,1.5271,13954,8709,214.5074,0.1842,13150.0,,243.0,223.0,20,0,4,5.9852,3086.0,4854.0,77.0,3207.0,4583.0,80.0,-121.0,271.0,-3.0,4752.0,6906.0,118.0,5181.0,6488.0,107.0,-429.0,418.0,11.0
774,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,7,Red,jng,Ranger,Flamengo Esports,Lee Sin,Akali,Aphelios,Miss Fortune,Ornn,Jarvan IV,2436,1,2,1,18,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5665,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12850,316.5025,0.14671099999999998,25,0.6158,18,0.4433,13,67.0,1.6502,13738,8493,209.1872,0.179632,11350.0,,222.0,39.0,183,118,27,5.468,3010.0,2947.0,61.0,3055.0,3001.0,69.0,-45.0,-54.0,-8.0,4745.0,4675.0,95.0,4635.0,5169.0,110.0,110.0,-494.0,-15.0
775,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,8,Red,mid,Goku,Flamengo Esports,Sylas,Akali,Aphelios,Miss Fortune,Ornn,Jarvan IV,2436,1,10,1,11,23,15,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5665,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30362,747.8325,0.34665,18,0.4433,8,0.197,4,39.0,0.9606,17514,12269,302.1921,0.259497,15600.0,,294.0,277.0,17,16,1,7.2414,3237.0,4613.0,85.0,3140.0,4710.0,86.0,97.0,-97.0,-1.0,4894.0,6098.0,99.0,5341.0,7075.0,131.0,-447.0,-977.0,-32.0
776,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,9,Red,bot,Absolut,Flamengo Esports,Xayah,Akali,Aphelios,Miss Fortune,Ornn,Jarvan IV,2436,1,7,2,12,23,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5665,0.936,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,25064,617.3399,0.286161,22,0.5419,16,0.3941,9,45.0,1.1084,18856,13611,335.2463,0.287881,17875.0,,387.0,347.0,40,28,8,9.532,3281.0,3455.0,88.0,3467.0,3284.0,98.0,-186.0,171.0,-10.0,5291.0,5223.0,123.0,6309.0,5650.0,144.0,-1018.0,-427.0,-21.0
777,ESPORTSTMNT03/1301223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1301223?gameHash=48cdb3f62492e606,CBLOL,2020,Split 1,0,2020-01-25 15:48:19,1,10.01,10,Red,sup,Luci,Flamengo Esports,Leona,Akali,Aphelios,Miss Fortune,Ornn,Jarvan IV,2436,1,1,7,16,23,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5665,0.936,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6665,164.1626,0.0760958,70,1.7241,16,0.3941,17,115.0,2.8325,9443,4198,103.399,0.0887897,9025.0,,36.0,36.0,0,0,0,0.8867,2009.0,2467.0,12.0,2076.0,2670.0,12.0,-67.0,-203.0,0.0,3533.0,3903.0,23.0,3576.0,3779.0,17.0,-43.0,124.0,6.0
