,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
22392,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,1,Blue,top,shupian,Triumphant Song Gaming,Renekton,Kindred,Ekko,Sett,Thresh,Braum,1750,0,1,1,1,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,5945,203.8286,0.201076,9,0.3086,3,0.1029,0,14.0,0.48,11763,7917,271.44,0.261154,11150.0,,284.0,270.0,14,5,5,9.7371,3339.0,4828.0,90.0,3073.0,4618.0,75.0,266.0,210.0,15.0,5268.0,7515.0,142.0,4613.0,7006.0,118.0,655.0,509.0,24.0
22393,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,2,Blue,jng,Cheats,Triumphant Song Gaming,Nidalee,Kindred,Ekko,Sett,Thresh,Braum,1750,0,2,1,3,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,10101,346.32,0.341642,19,0.6514,13,0.4457,9,57.0,1.9543,10761,6915,237.0857,0.22810300000000003,10275.0,,227.0,32.0,195,140,5,7.7829,3424.0,3983.0,69.0,3399.0,3836.0,72.0,25.0,147.0,-3.0,5177.0,6526.0,118.0,5137.0,6099.0,111.0,40.0,427.0,7.0
22394,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,3,Blue,mid,suny1ng,Triumphant Song Gaming,Nocturne,Kindred,Ekko,Sett,Thresh,Braum,1750,0,1,5,2,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1714,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,7677,263.2114,0.259656,11,0.3771,4,0.1371,6,26.0,0.8914,10159,6313,216.4457,0.20824600000000001,9575.0,,237.0,221.0,16,13,0,8.1257,3434.0,4715.0,83.0,3540.0,4837.0,86.0,-106.0,-122.0,-3.0,5317.0,7651.0,141.0,5541.0,7986.0,148.0,-224.0,-335.0,-7.0
22395,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,4,Blue,bot,MoonX,Triumphant Song Gaming,Kai'Sa,Kindred,Ekko,Sett,Thresh,Braum,1750,0,1,3,0,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,4184,143.4514,0.141514,8,0.2743,4,0.1371,2,16.0,0.5486,10685,6839,234.48,0.225596,10350.0,,268.0,260.0,8,8,0,9.1886,3230.0,3138.0,86.0,3413.0,3477.0,87.0,-183.0,-339.0,-1.0,4719.0,4881.0,129.0,5454.0,4991.0,127.0,-735.0,-110.0,2.0
22396,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,5,Blue,sup,Cherub,Triumphant Song Gaming,Taric,Kindred,Ekko,Sett,Thresh,Braum,1750,0,0,2,3,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,1659,56.88,0.056111699999999994,33,1.1314,3,0.1029,12,47.0,1.6114,6177,2331,79.92,0.0769008,5900.0,,28.0,28.0,0,0,0,0.96,2036.0,2536.0,15.0,2166.0,2707.0,0.0,-130.0,-171.0,15.0,3021.0,3700.0,20.0,3147.0,4028.0,4.0,-126.0,-328.0,16.0
22397,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,6,Red,top,zs,Invictus Gaming Young,Ornn,Kalista,Elise,Varus,Ashe,Lucian,1750,1,3,0,7,12,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4114,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,8853,303.5314,0.190707,11,0.3771,2,0.0686,2,24.0,0.8229,11233,7387,253.2686,0.224951,8350.0,,230.0,227.0,3,2,0,7.8857,3073.0,4618.0,75.0,3339.0,4828.0,90.0,-266.0,-210.0,-15.0,4613.0,7006.0,118.0,5268.0,7515.0,142.0,-655.0,-509.0,-24.0
22398,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,7,Red,jng,XUN,Invictus Gaming Young,Graves,Kalista,Elise,Varus,Ashe,Lucian,1750,1,3,2,7,12,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4114,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,7415,254.2286,0.15972999999999998,19,0.6514,11,0.3771,1,55.0,1.8857,10652,6806,233.3486,0.20725900000000003,8925.0,,194.0,35.0,159,112,3,6.6514,3399.0,3836.0,72.0,3424.0,3983.0,69.0,-25.0,-147.0,3.0,5137.0,6099.0,111.0,5177.0,6526.0,118.0,-40.0,-427.0,-7.0
22399,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,8,Red,mid,Captain,Invictus Gaming Young,LeBlanc,Kalista,Elise,Varus,Ashe,Lucian,1750,1,3,3,4,12,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4114,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,13992,479.7257,0.30140900000000004,14,0.48,7,0.24,9,30.0,1.0286,10801,6955,238.4571,0.21179699999999999,11075.0,,252.0,234.0,18,18,0,8.64,3540.0,4837.0,86.0,3434.0,4715.0,83.0,106.0,122.0,3.0,5541.0,7986.0,148.0,5317.0,7651.0,141.0,224.0,335.0,7.0
22400,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,9,Red,bot,ugly,Invictus Gaming Young,Aphelios,Kalista,Elise,Varus,Ashe,Lucian,1750,1,3,0,7,12,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4114,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,12197,418.1829,0.26274200000000003,8,0.2743,6,0.2057,1,25.0,0.8571,12554,8708,298.56,0.265177,9625.0,,275.0,261.0,14,10,4,9.4286,3413.0,3477.0,87.0,3230.0,3138.0,86.0,183.0,339.0,1.0,5454.0,4991.0,127.0,4719.0,4881.0,129.0,735.0,110.0,-2.0
22401,6104-7597,complete,https://lpl.qq.com/es/stats.shtml?bmid=6104,LDL,2020,Spring,0,2020-04-15 07:07:00,1,10.06,10,Red,sup,Lucas,Invictus Gaming Young,Bard,Kalista,Elise,Varus,Ashe,Lucian,1750,1,0,0,10,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4114,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,3965,135.9429,0.0854121,35,1.2,11,0.3771,11,82.0,2.8114,6828,2982,102.24,0.09081610000000001,5875.0,,24.0,24.0,0,0,0,0.8229,2166.0,2707.0,0.0,2036.0,2536.0,15.0,130.0,171.0,-15.0,3147.0,4028.0,4.0,3021.0,3700.0,20.0,126.0,328.0,-16.0
